"ｺｰﾄﾞ","勘定科目名","30年  2月","30年  3月","30年  4月","30年  5月","30年  6月","30年  7月","30年  8月","30年  9月","30年 10月","30年 11月","30年 12月","31年  1月"
"4111","売上高","18,674,590","21,118,613","16,936,172","17,199,190","17,137,556","14,421,483","17,096,484","16,508,819","17,300,469","19,042,873","28,819,031","22,450,524"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","18,674,590","21,118,613","16,936,172","17,199,190","17,137,556","14,421,483","17,096,484","16,508,819","17,300,469","19,042,873","28,819,031","22,450,524"
"5111","期首たな卸高","19,467,362","12,602,975","8,056,485","11,204,072","12,174,680","10,492,938","19,675,797","24,327,194","22,691,601","19,149,904","25,162,927","31,515,497"
"5211","商品仕入高","-976,720","2,305,592","8,689,168","6,969,586","3,873,658","13,786,975","10,129,383","4,379,781","4,347,253","12,232,877","20,504,329","-269,484"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","12,602,975","8,056,485","11,204,072","12,174,680","10,492,938","19,675,797","24,327,194","22,691,601","19,149,904","25,162,927","31,515,497","25,578,969"
,"当期売上原価","5,887,667","6,852,082","5,541,581","5,998,978","5,555,400","4,604,116","5,477,986","6,015,374","7,888,950","6,219,854","14,151,759","5,667,044"
,"売上総利益","12,786,923","14,266,531","11,394,591","11,200,212","11,582,156","9,817,367","11,618,498","10,493,445","9,411,519","12,823,019","14,667,272","16,783,480"
"6111","給与手当","2,021,814","2,045,299","2,150,648","2,403,579","2,115,758","2,215,091","2,268,508","2,336,000","2,132,250","2,168,620","2,132,830","2,219,660"
"6311","雑給","2,710,881","3,121,164","2,527,301","2,569,398","2,605,592","2,469,687","2,458,443","2,481,498","2,463,747","2,633,552","3,126,510","2,698,095"
"6112","旅費交通費","91,922","113,193","90,470","96,042","96,423","85,537","101,876","102,078","88,339","97,676","104,873","110,670"
"6113","広告宣伝費","1,243,886","1,423,029","1,333,805","1,305,551","1,053,055","1,088,660","1,145,377","1,257,305","1,455,834","1,475,238","1,528,978","1,289,530"
"6114","販売促進費","235,572","265,721","459,093","300,216","396,965","239,714","208,792","220,928","154,802","158,398","255,808","235,364"
"6115","荷造発送費","85,852","2,274","39,552","107,859","155,841","38,157","102,054","67,399","1,063","4,657","6,904","456"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","498,018","543,062","498,854","433,286","493,653","401,308","410,379","543,766","530,319","500,228","645,808","635,905"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","150,000","150,000","150,000","150,000","-82,855","150,000","150,000","150,000","0","0","75,747","147,000"
"6312","法定福利費","432,139","433,923","420,978","472,131","513,689","478,835","478,835","472,960","431,464","431,464","495,213","432,799"
"6226","厚生費","99,867","184,128","497,109","208,529","101,679","298,862","87,476","663,137","262,426","322,155","173,408","139,157"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","204,003","204,003","204,003","204,003","204,003","204,003","204,003","234,878","207,571","207,571","207,571","207,571"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000"
"6216","修繕／車両関係費","714,230","556,500","288,109","265,166","331,019","152,778","336,469","257,407","364,689","331,018","1,249,696","794,444"
"6217","事務用消耗品費","200","2,924","51,026","4,119","1,100","7,333","0","3,059","1,100","0","1,000","0"
"6218","通信交通費","20,571","19,131","19,200","26,903","44,124","29,054","27,537","18,207","18,957","20,094","40,224","22,368"
"6219","水道光熱費","649,270","754,201","550,692","672,078","551,047","721,595","707,350","872,979","632,113","699,508","589,512","875,644"
"6221","租税公課","10,000","10,000","11,800","0","14,000","6,000","6,000","10,000","6,000","12,000","12,000","12,000"
"6222","寄付金","0","0","6,667","0","20,000","0","0","3,000","0","0","2,000","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","55,160","55,160","55,160","55,160","55,160","55,160","55,160","55,160","57,622","55,160","55,160","55,160"
"6225","備品消耗品費","364,512","379,337","447,059","413,110","522,549","509,091","311,830","1,407,127","915,819","550,806","753,435","921,200"
"6227","管理諸費","270,022","312,332","329,203","465,433","409,434","384,109","413,663","480,552","396,346","375,724","435,495","317,473"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","24,000","9,000","0","14,000","9,000","0","0","9,000","0","9,000","9,000"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
