"ｺｰﾄﾞ","勘定科目名","30年 11月","30年 12月","31年  1月","31年  2月","31年  3月","31年  4月"," 1年  5月"," 1年  6月"," 1年  7月"," 1年  8月"," 1年  9月"," 1年 10月"
"4111","売上高","279,744,247","397,411,693","318,013,189","257,189,536","362,012,063","292,326,975","284,360,516","281,302,795","284,868,982","317,581,611","263,867,381","272,445,082"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","807,571","2,489,504","2,194,635","1,703,602","2,426,151","2,020,439","1,999,803","1,868,936","1,895,968","2,320,098","1,972,127","1,649,223"
,"純売上高","278,936,676","394,922,189","315,818,554","255,485,934","359,585,912","290,306,536","282,360,713","279,433,859","282,973,014","315,261,513","261,895,254","270,795,859"
"5111","期首たな卸高","66,609,074","78,027,542","102,032,586","75,898,627","69,983,044","63,573,985","63,089,330","66,390,494","56,076,629","69,166,375","67,338,671","61,018,290"
"5211","商品仕入高","110,472,563","162,868,365","80,167,789","84,111,800","113,744,401","96,945,674","98,425,189","85,079,203","108,513,638","105,045,575","84,484,146","106,380,438"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","78,027,542","102,032,586","75,898,627","69,983,044","63,573,985","63,089,330","66,390,494","56,076,629","69,166,375","67,338,671","61,018,290","73,958,104"
,"当期売上原価","99,054,095","138,863,321","106,301,748","90,027,383","120,153,460","97,430,329","95,124,025","95,393,068","95,423,892","106,873,279","90,804,527","93,440,624"
,"売上総利益","179,882,581","256,058,868","209,516,806","165,458,551","239,432,452","192,876,207","187,236,688","184,040,791","187,549,122","208,388,234","171,090,727","177,355,235"
"6111","給与手当","25,711,748","26,640,642","25,372,318","25,570,684","25,966,103","26,447,296","27,905,828","27,490,667","27,245,726","27,661,601","27,193,909","27,692,419"
"6311","雑給","41,750,059","50,972,998","43,218,522","37,667,413","46,084,787","40,557,434","40,177,097","39,001,022","39,161,319","41,725,299","41,023,280","42,580,275"
"6112","旅費交通費","1,925,564","2,019,662","1,979,677","1,823,646","1,995,270","1,727,445","1,874,554","1,737,264","1,728,952","1,789,485","1,872,340","1,685,037"
"6113","広告宣伝費","17,032,020","19,461,954","16,380,757","15,972,388","19,737,355","16,867,486","15,367,584","15,800,223","15,532,094","17,209,017","15,369,679","16,906,031"
"6114","販売促進費","2,102,988","3,384,337","932,322","1,696,672","3,457,784","2,310,023","2,639,118","2,908,573","1,974,357","2,970,632","1,840,042","1,771,880"
"6115","荷造発送費","205,420","314,884","211,801","244,398","296,427","282,326","291,530","287,513","279,083","286,954","256,479","329,203"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","8,540,896","10,178,024","9,289,512","8,063,032","9,509,333","8,735,032","8,829,078","8,572,584","8,660,020","9,314,869","9,269,010","11,019,358"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
