ｺｰﾄﾞ,勘定科目名,30年  2月,30年  3月,30年  4月,30年  5月,30年  6月,30年  7月,30年  8月,30年  9月,30年 10月,30年 11月,30年 12月,31年  1月,31年  1月累計
4111,売上高,"252,036,371","351,771,049","284,990,387","271,982,036","267,643,231","285,478,819","312,716,814","270,112,492","265,547,149","279,744,247","397,411,693","318,013,189","1,260,716,278"
4112,賃貸料収入,0,0,0,0,0,0,0,0,0,0,0,0,0
4113,ＬＬＰ収益,0,0,0,0,0,0,0,0,0,0,0,0,0
4114,通信売上高,0,0,0,0,0,0,0,0,0,0,0,0,0
4115,売上値引戻り高    (△),"621,590","906,101","812,358","828,910","690,838","726,842","1,007,841","1,044,559","784,975","807,571","2,489,504","2,194,635","6,276,685"
,純売上高,"251,414,781","350,864,948","284,178,029","271,153,126","266,952,393","284,751,977","311,708,973","269,067,933","264,762,174","278,936,676","394,922,189","315,818,554","1,254,439,593"
5111,期首たな卸高,"60,287,533","55,685,062","48,077,869","52,100,916","54,287,501","57,583,060","62,070,978","66,496,816","62,271,439","66,609,074","78,027,542","102,032,586","62,271,439"
5211,商品仕入高,"82,211,577","115,481,615","100,531,120","93,786,066","91,892,188","102,356,147","109,920,551","89,678,089","100,010,458","110,472,563","162,868,365","80,167,789","453,519,175"
5212,通信商品仕入高,0,0,0,0,0,0,0,0,0,0,0,0,0
5215,ｺﾐｯｼｮﾝ清掃代,0,0,0,0,0,0,0,0,0,0,0,0,0
5216,ＬＬＰ原価,0,0,0,0,0,0,0,0,0,0,0,0,0
5213,仕入値引戻し高    (△),0,0,0,0,0,0,0,0,0,0,0,0,0
5273,他勘定振替高      (△),0,0,0,0,0,0,0,0,0,0,0,0,0
5311,期末たな卸高      (△),"55,685,062","48,077,869","52,100,916","54,287,501","57,583,060","62,070,978","66,496,816","62,271,439","66,609,074","78,027,542","102,032,586","75,898,627","75,898,627"
,当期売上原価,"86,814,048","123,088,808","96,508,073","91,599,481","88,596,629","97,868,229","105,494,713","93,903,466","95,672,823","99,054,095","138,863,321","106,301,748","439,891,987"
,売上総利益,"164,600,733","227,776,140","187,669,956","179,553,645","178,355,764","186,883,748","206,214,260","175,164,467","169,089,351","179,882,581","256,058,868","209,516,806","814,547,606"
6111,給与手当,"24,822,610","23,911,747","25,933,170","27,278,822","26,676,229","26,453,441","26,845,409","25,582,673","25,610,756","25,711,748","26,640,642","25,372,318","103,335,464"
6311,雑給,"37,299,912","46,862,666","40,960,828","40,510,302","37,836,609","40,119,341","43,089,606","40,429,346","41,313,308","41,750,059","50,972,998","43,218,522","177,254,887"
6112,旅費交通費,"1,573,854","1,842,887","1,718,445","1,922,722","1,730,660","1,760,750","1,867,799","1,908,421","1,752,980","1,925,564","2,019,662","1,979,677","7,677,883"
6113,広告宣伝費,"15,481,744","19,779,546","15,552,294","16,750,758","17,400,868","16,955,674","17,465,387","17,067,347","16,055,850","17,032,020","19,461,954","16,380,757","68,930,581"
6114,販売促進費,"2,203,299","2,648,278","2,725,451","2,509,110","2,583,645","1,956,009","1,866,792","1,852,889","1,841,955","2,102,988","3,384,337","932,322","8,261,602"
6115,荷造発送費,"291,468","244,457","272,676","349,556","388,843","282,096","340,596","305,985","206,931","205,420","314,884","211,801","939,036"
6116,外注費,0,0,0,0,0,0,0,0,0,0,0,0,0
6117,支払手数料,"8,180,521","9,727,833","9,008,563","8,797,062","8,529,678","9,054,403","9,155,770","9,258,935","8,510,451","8,540,896","10,178,024","9,289,512","36,518,883"
6118,,0,0,0,0,0,0,0,0,0,0,0,0,0
6211,役員報酬,0,0,0,0,0,0,0,0,0,0,0,0,0
6232,,0,0,0,0,0,0,0,0,0,0,0,0,0
6212,事務員給与,0,0,0,0,0,0,0,0,0,0,0,0,0
6213,従業員賞与,"1,438,333","1,438,333","1,595,000","1,595,000","-1,239,466","1,595,000","1,595,000","1,595,002",0,0,"2,339,568","1,549,000","3,888,568"
6312,法定福利費,"4,551,090","4,468,221","4,514,837","4,848,175","5,723,869","5,051,735","5,045,245","4,951,797","5,082,901","4,955,357","6,045,230","5,111,253","21,194,741"
6226,厚生費,"2,420,182","3,295,608","2,856,722","2,452,475","2,282,484","2,832,158","2,793,129","6,359,530","3,621,566","3,270,085","2,716,940","2,671,204","12,279,795"
6119,退職金,0,0,0,0,0,0,0,0,0,0,0,0,0
6214,減価償却費,"9,720,102","9,720,102","9,720,102","9,720,102","9,720,102","9,720,102","9,720,102","11,577,036","7,925,962","7,925,962","7,925,962","7,925,962","31,703,848"
6234,,0,0,0,0,0,0,0,0,0,0,0,0,0
6215,地代家賃,"20,766,872","20,769,893","20,756,685","20,757,871","20,767,780","21,173,624","20,853,347","20,968,920","21,152,791","21,152,791","21,153,341","21,125,013","84,583,936"
6216,修繕／車両関係費,"2,192,637","3,436,032","2,698,412","2,265,870","4,431,440","2,257,771","3,154,285","3,871,334","2,588,059","3,012,078","5,187,412","3,064,367","13,851,916"
6217,事務用消耗品費,"30,155","90,675","105,518","46,248","69,913","43,744","57,389","40,672","79,252","129,561","79,576","96,878","385,267"
6218,通信交通費,"431,215","208,825","387,503","569,278","259,744","546,992","407,917","228,231","531,789","368,428","239,607","540,384","1,680,208"
6219,水道光熱費,"11,069,135","11,442,102","10,305,018","11,222,606","10,107,292","11,982,465","12,924,211","15,491,212","12,324,669","12,188,797","10,228,083","13,115,506","47,857,055"
6221,租税公課,"52,907","88,052","72,433","49,267","62,000","55,685","61,833","52,678","58,233","49,729","121,365","99,033","328,360"
6222,寄付金,0,0,"20,500","10,000","32,500","62,500","45,000","11,000","38,000","58,000","27,000","14,000","137,000"
6223,接待交際費,0,"23,000",0,"17,000",0,0,"25,000",0,0,"25,000",0,"21,000","46,000"
6224,保険料,"729,638","815,638","799,638","729,638","729,638","729,638","729,638","794,176","816,333","807,638","807,638","838,868","3,270,477"
6225,備品消耗品費,"7,224,285","7,594,697","6,947,791","6,434,587","7,407,960","8,935,733","8,247,420","11,724,844","12,018,342","8,552,006","11,092,601","8,466,802","40,129,751"
6227,管理諸費,"4,654,501","4,960,854","4,447,168","5,550,092","6,569,322","5,696,428","5,034,834","5,977,585","4,011,660","4,267,051","5,054,115","4,083,509","17,416,335"
6228,リース／レンタル料,0,0,0,0,0,0,0,0,0,0,0,0,0
