"ｺｰﾄﾞ","勘定科目名"," 1年  8月"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"," 2年  1月"," 2年  2月"," 2年  3月"," 2年  4月"," 2年  5月"," 2年  6月"," 2年  7月"
"4111","売上高","52,881,748","134,037,175","148,293,871","104,909,921","107,638,979","186,937,639","48,106,706","103,851,806","123,390,518","110,299,084","100,860,366","95,522,549"
"4112","賃貸料収入","250,000","254,630","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","109,263,909","84,906,032","72,470,719","114,971,182","113,781,392","74,355,264","99,822,367","120,048,759","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","162,395,657","219,197,837","221,014,590","220,131,103","221,670,371","261,542,903","148,179,073","224,150,565","123,640,518","110,549,084","101,110,366","95,772,549"
"5111","期首たな卸高","14,396,333","14,358,408","15,612,200","16,354,757","15,026,774","14,651,556","13,861,594","15,559,028","13,312,933","13,199,650","12,430,668","11,620,172"
"5211","商品仕入高","44,120,939","92,839,824","93,896,124","93,080,962","91,920,092","132,548,281","36,062,175","96,311,216","47,256,942","32,485,365","152,296","34,000"
"5212","通信商品仕入高","91,739,398","100,628,994","99,874,918","97,844,602","98,211,466","96,094,691","83,413,788","101,044,427","47,419,460","50,820,474","68,762,638","67,602,201"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","14,358,408","15,612,200","16,354,757","15,026,774","14,651,556","13,861,594","15,559,028","13,312,933","13,199,650","12,430,668","11,620,172","12,452,703"
,"当期売上原価","135,898,262","192,215,026","193,028,485","192,253,547","190,506,776","229,432,934","117,778,529","199,601,738","94,789,685","84,074,821","69,725,430","66,803,670"
,"売上総利益","26,497,395","26,982,811","27,986,105","27,877,556","31,163,595","32,109,969","30,400,544","24,548,827","28,850,833","26,474,263","31,384,936","28,968,879"
"6111","給与手当","12,536,839","11,129,483","13,069,769","12,857,878","12,928,619","10,779,809","10,654,669","10,431,696","8,908,697","8,322,573","9,477,987","9,787,316"
"6311","雑給","0","0","0","0","0","966,741","912,269","844,632","903,907","823,367","886,981","1,056,600"
"6112","旅費交通費","332,021","435,656","312,938","388,627","370,240","376,871","314,688","236,009","216,144","193,420","206,350","307,824"
"6113","広告宣伝費","511,288","593,680","641,344","929,062","2,083,751","758,834","1,266,375","1,270,535","228,471","119,751","450,236","355,722"
"6114","販売促進費","727,682","133,285","925,116","706,091","178,791","55,933","240,732","713,159","76,119","45,405","51,000","142,236"
"6115","荷造発送費","10,199","8,739","4,975","15,045","20,017","17,439","10,952","8,518","6,167","9,280","9,420","1,258"
"6116","外注費","5,043,530","4,449,594","4,739,055","5,317,988","6,669,002","3,087,843","3,073,889","4,004,624","1,140,962","890,773","4,052,124","4,608,120"
"6117","支払手数料","293,429","1,207,060","902,863","565,883","923,221","1,194,600","839,941","734,781","506,338","493,516","1,428,124","1,360,778"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","1,900,000","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","995,882","995,882","-2,218,453","995,882","995,882","995,882","995,882","995,882","-5,786,961","0","0","0"
"6312","法定福利費","1,977,921","1,963,897","1,990,209","1,987,540","1,990,345","1,901,988","1,739,041","1,772,388","1,779,223","1,781,878","1,567,019","1,573,437"
"6226","厚生費","49,723","977,985","86,334","204,681","231,515","164,967","182,665","326,598","34,833","0","79,854","233,219"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","392,867","897,401","963,085","963,085","963,085","963,085","963,085","963,085","963,085","963,085","963,085","963,085"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","2,009,261","3,243,983","4,468,936","4,590,818","4,253,545","4,253,545","4,253,545","4,253,545","3,786,273","1,986,022","4,242,636","4,242,636"
"6216","修繕／車両関係費","0","0","40,000","39,600","762,327","867,000","-39,600","4,706,868","11,140","0","50,341","4,545"
"6217","事務用消耗品費","108,373","97,290","100,598","107,875","28,275","0","23,757","87,023","83,150","21,670","49,540","5,000"
"6218","通信交通費","69,759","318,904","223,701","93,834","188,371","393,281","49,135","370,635","191,128","49,246","269,671","188,237"
"6219","水道光熱費","535,383","607,731","650,234","518,988","462,980","530,077","454,177","423,972","561,375","79,522","280,690","338,980"
"6221","租税公課","14,000","14,000","5,000","21,600","1,600","20,600","3,200","1,600","17,000","2,000","600","0"
"6222","寄付金","0","8,000","10,000","0","30,000","15,000","0","0","0","0","0","0"
"6223","接待交際費","5,006","0","0","4,344","2,000","0","0","909","0","0","0","0"
"6224","保険料","18,962","18,962","27,560","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000"
"6225","備品消耗品費","689,747","1,958,231","705,634","2,994,155","491,992","288,771","223,084","1,228,088","-13,876,333","192,276","190,836","270,127"
"6227","管理諸費","651,503","1,629,771","610,111","632,263","573,664","110,201","575,673","614,513","77,867","56,857","62,328","251,164"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","150,000","0","0","40,000","0","0","160,000","9,600","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","182"
,"販売費及び一般管理費計","26,973,375","32,739,534","28,259,009","33,960,239","34,214,222","27,767,467","26,762,159","34,174,060","-136,815","16,055,641","24,343,822","25,715,466"
,"営業利益（損失）","-475,980","-5,756,723","-272,904","-6,082,683","-3,050,627","4,342,502","3,638,385","-9,625,233","28,987,648","10,418,622","7,041,114","3,253,413"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","6,719","4,989","2,370","5,473","6,172","3,249","3,924","6,904","1,385","6,191","2,809"
,"営業外収益計","0","6,719","4,989","2,370","5,473","6,172","3,249","3,924","6,904","1,385","6,191","2,809"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","-40","0","0","104","0","0","5","-5","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","-40","0","0","104","0","0","5","-5","0","0","0","0"
,"経常利益（損失）","-475,940","-5,750,004","-267,915","-6,080,417","-3,045,154","4,348,674","3,641,629","-9,621,304","28,994,552","10,420,007","7,047,305","3,256,222"
