"ｺｰﾄﾞ","勘定科目名"," 1年  6月"," 1年  7月"," 1年  8月"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"," 2年  1月"," 2年  2月"," 2年  3月"," 2年  4月"," 2年  5月"
"4111","売上高","11,333,886","9,824,295","10,221,034","9,241,064","8,925,581","9,313,613","14,651,609","11,434,199","9,588,551","9,835,319","2,263,983","1,978,393"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","11,333,886","9,824,295","10,221,034","9,241,064","8,925,581","9,313,613","14,651,609","11,434,199","9,588,551","9,835,319","2,263,983","1,978,393"
"5111","期首たな卸高","1,368,399","1,046,410","1,316,626","1,477,232","901,820","1,054,985","806,629","1,341,495","1,145,141","995,545","1,163,333","850,866"
"5211","商品仕入高","3,674,278","3,580,297","3,663,166","2,629,769","3,383,497","3,520,486","5,815,281","3,838,729","3,448,202","3,565,736","635,576","761,657"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","1,046,410","1,316,626","1,477,232","901,820","1,054,985","806,629","1,341,495","1,145,141","995,545","1,163,333","850,866","761,386"
,"当期売上原価","3,996,267","3,310,081","3,502,560","3,205,181","3,230,332","3,768,842","5,280,415","4,035,083","3,597,798","3,397,948","948,043","851,137"
,"売上総利益","7,337,619","6,514,214","6,718,474","6,035,883","5,695,249","5,544,771","9,371,194","7,399,116","5,990,753","6,437,371","1,315,940","1,127,256"
"6111","給与手当","863,000","843,000","843,000","843,000","743,000","685,622","648,668","942,500","957,500","949,500","825,917","821,443"
"6311","雑給","1,905,458","1,831,175","1,883,556","1,766,533","1,626,732","1,783,721","2,586,965","1,778,081","1,715,239","1,736,515","976,630","715,083"
"6112","旅費交通費","86,466","92,976","81,392","87,315","90,801","79,931","78,792","65,057","49,768","62,975","24,278","9,965"
"6113","広告宣伝費","869,317","762,535","831,777","724,500","534,615","445,929","758,825","587,175","741,584","793,580","176,079","242,772"
"6114","販売促進費","44,959","47,621","52,078","42,429","48,528","54,073","70,022","53,266","56,095","48,354","16,261","16,015"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","214,475","174,574","174,206","230,641","193,689","196,739","203,732","198,540","160,321","200,680","139,640","168,637"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","402,691","59,000","59,000","59,000","59,000","59,000","-48","59,000","59,000","59,000","0","0"
