"ｺｰﾄﾞ","勘定科目名"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"
"4111","売上高","22,431,457","14,253,790","23,500,855","20,390,778","20,547,421","17,376,340","20,380,086","24,697,591","18,623,377","21,475,026","18,918,259","25,156,423"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","22,431,457","14,253,790","23,500,855","20,390,778","20,547,421","17,376,340","20,380,086","24,697,591","18,623,377","21,475,026","18,918,259","25,156,423"
"5111","期首棚卸高","6,787,359","2,907,873","2,673,344","2,281,561","3,853,292","2,843,562","2,506,450","1,801,272","1,830,915","2,587,032","1,873,257","1,698,853"
"5211","商品仕入高","6,936,737","6,584,878","11,310,164","10,933,960","8,492,126","8,221,742","7,955,404","10,787,811","8,876,709","8,886,131","8,431,673","16,442,472"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","2,907,873","2,673,344","2,281,561","3,853,292","2,843,562","2,506,450","1,801,272","1,830,915","2,587,032","1,873,257","1,698,853","7,193,273"
,"当期売上原価","10,816,223","6,819,407","11,701,947","9,362,229","9,501,856","8,558,854","8,660,582","10,758,168","8,120,592","9,599,906","8,606,077","10,948,052"
,"売上総利益","11,615,234","7,434,383","11,798,908","11,028,549","11,045,565","8,817,486","11,719,504","13,939,423","10,502,785","11,875,120","10,312,182","14,208,371"
"6111","給与手当","1,463,500","1,469,000","1,612,500","1,802,000","1,800,300","1,748,517","910,500","1,116,500","1,352,500","783,500","783,500","979,000"
"6311","雑給","3,200,659","2,505,755","3,095,747","2,978,646","3,107,773","2,856,818","3,215,474","3,394,183","3,049,030","3,731,851","3,037,146","3,695,947"
"6112","旅費交通費","79,119","72,272","82,738","69,303","74,231","72,816","78,263","91,580","67,215","81,882","79,221","76,436"
"6113","広告宣伝費","877,524","655,083","923,301","770,370","1,028,016","745,732","880,174","969,811","659,907","1,309,276","842,986","912,845"
"6114","販売促進費","96,763","99,919","119,119","163,560","103,094","101,918","71,377","121,283","76,638","86,410","119,154","118,899"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","260,463","0","0","0","0","0","0","42,809","58,023"
"6117","支払手数料","788,767","475,668","701,066","699,267","1,053,523","697,125","599,070","789,779","758,398","771,345","665,547","771,183"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","248,400","86,750","86,750","86,750","86,750","57,833","57,833","-259,167"
"6312","法定福利費","292,968","341,432","345,214","344,210","371,851","378,946","303,372","303,372","378,909","362,079","314,394","332,208"
"6226","厚生費","278,555","142,750","94,500","173,550","127,633","167,663","167,896","109,716","132,232","230,055","81,914","100,075"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","362,054","362,054","362,054","362,054","362,054","362,054","362,054","362,054","594,819","387,192","387,192","387,192"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","549,067","549,067","549,067","549,067","549,067","549,067","549,067","549,067","549,067","765,067","765,067","765,067"
"6216","修繕／車両関係費","0","26,690","45,929","0","192,000","380,000","49,450","518,260","405,950","0","90,000","400"
"6217","事務用消耗品費","0","0","2,468","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","31,731","27,815","27,825","21,514","31,749","25,496","23,866","29,357","27,908","25,543","27,847","21,568"
"6219","水道光熱費","765,971","731,889","712,142","553,253","835,847","729,795","786,433","1,189,306","1,290,359","1,006,951","1,004,081","729,310"
"6221","租税公課","2,200","0","4,234","0","0","1,000","0","0","1,000","1,000","1,000","2,000"
"6222","寄付金","0","0","0","0","0","0","0","6,666","0","3,000","0","0"
"6223","接待交際費","0","0","0","17,920","0","0","0","0","0","0","0","0"
"6224","保険料","85,338","78,568","85,144","78,568","78,568","78,568","78,568","78,568","78,614","78,568","78,568","78,568"
"6225","備品消耗品費","666,971","790,599","713,072","1,003,330","529,079","433,787","654,968","718,298","1,408,970","446,916","706,085","780,568"
"6227","管理諸費","293,920","216,902","247,180","829,998","271,761","304,205","489,775","293,075","260,074","303,954","264,124","284,448"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","14,000","0","50,000","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","6,500","0","0","0","0","0"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","9,835,107","8,545,463","9,723,300","10,677,073","10,778,946","9,720,257","9,363,557","10,727,625","11,178,340","10,432,422","9,348,468","9,834,570"
,"営業利益（損失）","1,780,127","-1,111,080","2,075,608","351,476","266,619","-902,771","2,355,947","3,211,798","-675,555","1,442,698","963,714","4,373,801"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","-6","0","206","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
