"ｺｰﾄﾞ","勘定科目名"," 2年  4月"," 2年  5月"," 2年  6月"," 2年  7月"," 2年  8月"," 2年  9月"," 2年 10月"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"
"4111","売上高","123,390,518","110,299,084","100,860,366","162,101,141","171,463,671","740,083,868","134,840,958","103,410,852","264,555,764","109,035,904","238,770,950","220,172,652"
"4112","賃貸料収入","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","-595,449,683","0","75,992,598","-75,992,598","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","123,640,518","110,549,084","101,110,366","162,351,141","171,713,671","144,884,185","135,090,958","179,653,450","188,813,166","109,285,904","239,020,950","220,422,652"
"5111","期首たな卸高","13,312,933","13,199,650","12,430,668","11,620,172","12,452,703","11,521,568","11,377,876","13,379,834","12,619,769","11,881,749","11,207,657","11,366,735"
"5211","商品仕入高","47,256,942","32,485,365","152,296","34,000","3,379","150,000","184,100","47,047","12,278","150,000","16,000","92,462,295"
"5212","通信商品仕入高","47,419,460","50,820,474","68,762,638","134,180,793","142,088,597","120,466,857","119,044,749","157,090,083","159,500,457","81,874,977","212,019,974","98,927,952"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","13,199,650","12,430,668","11,620,172","12,452,703","11,521,568","11,377,876","13,379,834","12,619,769","11,881,749","11,207,657","11,366,735","11,737,169"
,"当期売上原価","94,789,685","84,074,821","69,725,430","133,382,262","143,023,111","120,760,549","117,226,891","157,897,195","160,250,755","82,699,069","211,876,896","191,019,813"
,"売上総利益","28,850,833","26,474,263","31,384,936","28,968,879","28,690,560","24,123,636","17,864,067","21,756,255","28,562,411","26,586,835","27,144,054","29,402,839"
"6111","給与手当","8,908,697","8,322,573","9,477,987","9,787,316","10,279,082","10,522,488","11,147,115","11,162,423","11,163,743","11,225,843","10,939,133","11,623,495"
"6311","雑給","903,907","823,367","886,981","1,056,600","1,144,665","1,240,612","1,097,928","954,210","728,825","638,925","654,325","741,525"
"6112","旅費交通費","216,144","193,420","206,350","307,824","256,646","310,354","348,574","315,479","353,129","317,824","278,360","302,485"
"6113","広告宣伝費","228,471","119,751","450,236","355,722","168,842","449,651","497,074","305,229","217,342","232,505","435,016","702,709"
"6114","販売促進費","76,119","45,405","51,000","142,236","87,211","92,363","241,400","129,935","129,022","130,000","80,409","747,111"
"6115","荷造発送費","6,167","9,280","9,420","1,258","6,740","7,660","5,064","3,050","2,000","4,315","1,900","11,785"
"6116","外注費","1,140,962","890,773","4,052,124","4,608,120","3,901,186","3,869,186","3,871,162","3,932,973","4,922,664","3,910,166","3,319,897","4,339,263"
"6117","支払手数料","506,338","493,516","1,428,124","1,360,778","551,511","652,968","522,166","710,094","744,657","493,931","1,294,901","815,150"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","-5,786,961","0","0","0","0","0","0","0","6,716,329","0","0","0"
"6312","法定福利費","1,779,223","1,781,878","1,567,019","1,573,437","1,627,835","1,933,484","1,976,742","1,976,742","2,946,078","1,998,321","2,015,741","2,090,660"
"6226","厚生費","34,833","0","79,854","209,310","66,288","358,584","48,852","122,324","111,425","45,854","51,053","49,706"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","963,085","963,085","963,085","963,085","963,085","2,231,338","1,037,582","1,186,461","1,186,461","1,186,461","1,186,461","1,186,461"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","3,786,273","1,986,022","4,242,636","4,242,636","5,421,341","4,218,636","3,821,636","3,773,636","3,821,636","3,821,636","3,823,454","3,828,908"
"6216","修繕／車両関係費","11,140","0","50,341","4,545","0","362,400","28,707","9,900","0","40,500","0","0"
"6217","事務用消耗品費","83,150","21,670","49,540","5,000","5,822","5,804","0","85,595","0","0","71,340","6,181"
"6218","通信交通費","191,128","49,246","269,671","188,237","183,223","181,495","45,947","356,333","44,143","208,754","186,254","323,154"
"6219","水道光熱費","561,375","79,522","280,690","338,980","347,888","527,571","426,722","346,036","244,805","270,004","311,778","306,143"
"6221","租税公課","17,000","2,000","600","0","0","600","8,000","12,000","13,000","173,600","10,600","2,000"
"6222","寄付金","0","0","0","0","0","0","20,000","0","0","12,000","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","25,000","25,000","25,000","25,000","25,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000"
"6225","備品消耗品費","-13,876,333","192,276","190,836","270,127","266,905","810,520","318,878","204,911","356,582","367,464","137,901","507,962"
"6227","管理諸費","77,867","56,857","62,328","251,164","264,662","295,400","253,981","260,990","251,481","253,981","860,379","189,088"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","9,600","0","0","0","10,000","0","0","0","40,000","0","0","10,000"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","182","182","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","-136,815","16,055,641","24,343,822","25,691,557","25,578,114","28,101,114","25,747,530","25,878,321","34,023,322","25,362,084","25,688,902","27,813,786"
,"営業利益（損失）","28,987,648","10,418,622","7,041,114","3,277,322","3,112,446","-3,977,478","-7,883,463","-4,122,066","-5,460,911","1,224,751","1,455,152","1,589,053"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","6,904","1,385","6,191","2,809","6,722","7,107","6,922","1,046,953","10,166","5,325","8,013","3,712"
,"営業外収益計","6,904","1,385","6,191","2,809","6,722","7,107","6,922","1,046,953","10,166","5,325","8,013","3,712"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","671","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","1,167,429","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","1,167,429","0","671","0","0","0","0"
,"経常利益（損失）","28,994,552","10,420,007","7,047,305","3,280,131","3,119,168","-5,137,800","-7,876,541","-3,075,784","-5,450,745","1,230,076","1,463,165","1,592,765"
