"ｺｰﾄﾞ","勘定科目名"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"," 5年  9月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"
"4111","売上高","10,471,465","10,567,897","10,831,480","9,663,289","9,243,269","8,625,793","9,731,090","10,629,018","10,236,503","8,705,427","9,492,089","9,055,707"
"4112","会員券売上高","634,276","410,551","474,546","717,731","446,008","744,914","513,000","562,000","866,000","527,000","379,000","478,000"
"4113","ゴルフ用品・雑貨売上高","119,666","85,136","111,312","127,393","137,845","123,489","111,816","111,610","112,915","102,741","112,201","82,518"
"4114","手数料収入","285,991","326,862","846,410","352,915","388,493","356,092","401,879","1,047,172","413,619","401,298","272,348","174,590"
"4115","ポイント値引・入会金返金(△)","1,498,646","1,480,252","1,434,082","1,350,633","1,273,502","1,265,093","1,190,419","1,563,101","1,470,726","1,250,985","1,498,215","1,372,263"
,"純売上高","10,012,752","9,910,194","10,829,666","9,510,695","8,942,113","8,585,195","9,567,366","10,786,699","10,158,311","8,485,481","8,757,423","8,418,552"
"5111","期首棚卸高","0","0","0","0","0","0","573,025","0","0","0","0","0"
"5211","商品仕入高","27,960","72,061","46,568","116,185","28,604","117,777","90,663","15,870","78,085","234,814","79,221","55,564"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","551,662","0","0","0","0","0"
,"当期売上原価","27,960","72,061","46,568","116,185","28,604","117,777","112,026","15,870","78,085","234,814","79,221","55,564"
,"売上総利益","9,984,792","9,838,133","10,783,098","9,394,510","8,913,509","8,467,418","9,455,340","10,770,829","10,080,226","8,250,667","8,678,202","8,362,988"
"6111","プロ報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6311","雑給","1,177,834","1,179,425","1,456,092","1,368,684","1,470,828","1,263,677","1,308,676","1,456,666","1,380,628","1,331,757","1,378,076","1,148,237"
"6112","旅費交通費","70,931","79,355","73,275","69,687","80,562","72,246","69,176","84,071","73,399","68,891","79,010","68,215"
"6113","広告宣伝費","808,895","543,459","302,550","324,534","302,550","568,465","709,350","343,362","412,913","444,386","318,423","550,255"
"6114","教育訓練費","0","0","0","0","0","0","0","0","0","0","0","0"
"6115","接客サービス費","341,085","423,111","801,018","323,902","442,534","421,104","352,747","839,559","808,832","291,849","338,432","459,307"
"6116","コンペ参加諸費","41,492","47,260","22,414","54,121","139,013","26,283","105,437","0","41,795","63,412","83,853","30,502"
"6117","プレイ器具費","100,432","23,460","5,000","76,500","5,000","495,000","85,430","25,100","278,750","235,000","5,000","5,000"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
