"ｺｰﾄﾞ","勘定科目名"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"
"4111","売上高","27,038,919","19,121,331","19,825,854","16,926,525","17,742,956","11,241,665","6,959,871","19,157,048","18,039,717","27,025,130","20,220,315","12,975,616"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","27,038,919","19,121,331","19,825,854","16,926,525","17,742,956","11,241,665","6,959,871","19,157,048","18,039,717","27,025,130","20,220,315","12,975,616"
"5111","期首棚卸高","1,738,644","2,500,620","2,299,150","1,396,089","1,544,290","1,567,399","1,373,025","1,641,070","1,519,646","1,928,368","5,774,964","2,110,616"
"5211","商品仕入高","12,648,359","8,000,976","7,966,041","7,917,188","8,334,772","5,519,361","4,231,275","8,402,132","9,060,856","17,512,600","5,390,019","6,261,916"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","2,500,620","2,299,150","1,396,089","1,544,290","1,567,399","1,373,025","1,641,070","1,519,646","1,928,368","5,774,964","2,110,616","1,884,756"
,"当期売上原価","11,886,383","8,202,446","8,869,102","7,768,987","8,311,663","5,713,735","3,963,230","8,523,556","8,652,134","13,666,004","9,054,367","6,487,776"
,"売上総利益","15,152,536","10,918,885","10,956,752","9,157,538","9,431,293","5,527,930","2,996,641","10,633,492","9,387,583","13,359,126","11,165,948","6,487,840"
"6111","給与手当","1,671,000","1,635,000","1,634,500","1,480,000","1,600,000","1,600,000","1,543,522","1,597,000","1,513,000","1,632,000","1,549,000","1,597,500"
"6311","雑給","3,174,869","2,374,859","2,581,514","2,386,886","2,400,428","2,216,527","1,849,670","2,491,635","2,580,284","3,447,064","3,029,507","2,329,687"
"6112","旅費交通費","83,860","64,229","87,082","94,636","85,455","53,472","57,903","74,201","63,683","68,431","73,141","62,665"
"6113","広告宣伝費","1,603,659","1,109,060","1,387,152","690,465","1,243,051","609,403","1,118,899","890,612","672,651","1,342,872","1,636,789","867,983"
"6114","販売促進費","162,146","118,081","115,204","121,973","71,138","109,643","70,477","110,983","135,185","152,154","82,520","76,085"
"6115","荷造発送費","1,882","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","135,614","0"
"6117","支払手数料","830,720","559,556","590,654","542,342","593,468","399,582","288,535","592,339","542,526","765,612","699,876","432,025"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","150,000","0","0","0","0","0","50,000","0","0"
"6312","法定福利費","290,924","282,515","282,515","287,779","276,675","276,675","273,384","278,774","278,774","285,929","278,774","278,774"
"6226","厚生費","41,440","58,693","3,576","150,085","47,888","5,632","-4,364","14,000","59,396","26,634","80,716","23,588"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","93,607","93,607","93,607","93,607","93,607","93,607","340,317","110,903","110,903","110,903","110,903","110,903"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","2,205,910","2,205,910","2,205,910","2,205,910","2,205,910","2,205,910","2,205,910","2,205,910","2,205,910","2,205,910","2,205,910","2,205,910"
"6216","修繕／車両関係費","133,087","204,250","0","45,950","20,400","0","28,000","1,882,787","0","23,300","0","183,110"
"6217","事務用消耗品費","4,959","11,305","5,353","12,725","8,044","4,945","464","4,582","7,249","6,894","0","1,205"
"6218","通信交通費","11,022","9,900","12,378","14,591","16,285","13,571","13,203","22,820","13,815","19,240","16,195","13,475"
"6219","水道光熱費","450,384","785,771","427,472","688,484","509,088","808,450","532,038","542,023","536,746","739,835","627,931","814,976"
"6221","租税公課","0","0","0","0","0","0","0","0","0","0","0","0"
"6222","寄付金","0","0","0","0","0","6,667","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","30,000","0"
"6224","保険料","60,000","60,000","60,000","60,000","60,000","60,000","120,000","60,000","60,000","60,000","66,770","60,000"
"6225","備品消耗品費","2,390,098","1,053,797","610,270","701,370","853,364","308,553","383,810","541,144","715,641","947,176","719,047","541,061"
"6227","管理諸費","163,360","294,450","170,480","559,019","187,888","202,360","163,095","251,705","194,056","215,013","223,483","776,057"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","4,500","0","4,000","18,000","4,000","0","4,000","0","4,000","0","32,000","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","413","4,000","0","0","0","0","30,580","0","0","0","0"
,"販売費及び一般管理費計","13,377,427","10,921,396","10,275,667","10,303,822","10,276,689","8,974,997","8,988,863","11,701,998","9,693,819","12,098,967","11,598,176","10,375,004"
,"営業利益（損失）","1,775,109","-2,511","681,085","-1,146,284","-845,396","-3,447,067","-5,992,222","-1,068,506","-306,236","1,260,159","-432,228","-3,887,164"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
