"ｺｰﾄﾞ","勘定科目名"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"
"4111","売上高","4,873,817","2,622,928","3,010,232","4,310,176","3,396,582","3,025,948","2,954,148","3,317,193","0","0","3,127,184","4,459,690"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","4,873,817","2,622,928","3,010,232","4,310,176","3,396,582","3,025,948","2,954,148","3,317,193","0","0","3,127,184","4,459,690"
"5111","期首棚卸高","918,642","1,055,511","803,738","665,965","766,492","801,105","764,499","711,931","635,143","635,143","675,616","655,505"
"5211","商品仕入高","1,845,686","808,669","1,020,526","1,641,630","1,286,742","957,919","1,023,680","1,075,973","-6,481","54,498","1,120,093","1,727,052"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","1,055,511","803,738","665,965","766,492","801,105","764,499","711,931","635,143","635,143","675,616","655,505","821,725"
,"当期売上原価","1,708,817","1,060,442","1,158,299","1,541,103","1,252,129","994,525","1,076,248","1,152,761","-6,481","14,025","1,140,204","1,560,832"
,"売上総利益","3,165,000","1,562,486","1,851,933","2,769,073","2,144,453","2,031,423","1,877,900","2,164,432","6,481","-14,025","1,986,980","2,898,858"
"6111","給与手当","898,400","898,400","910,000","1,120,000","1,010,000","932,500","912,500","1,002,500","744,300","704,927","972,500","1,062,414"
"6311","雑給","803,360","411,801","199,263","307,286","314,876","258,551","321,023","270,656","218,120","209,760","252,260","271,172"
"6112","旅費交通費","53,575","34,881","37,063","46,833","36,819","38,316","27,705","32,789","2,209","164","34,931","40,358"
"6113","広告宣伝費","340,713","178,544","232,474","303,101","241,411","184,465","165,138","180,827","48,004","53,331","155,896","288,199"
"6114","販売促進費","58,873","44,771","68,958","52,503","59,608","63,401","70,687","52,356","31,689","21,955","51,252","60,050"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","65,317","75,172","51,154","44,055","51,439","47,294","44,828","55,186","59,903","21,581","70,586","57,419"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","250,000","0","0","0","0","0","67,000","0","0","0","0","0"
"6312","法定福利費","296,233","241,007","203,793","203,748","203,748","203,748","215,208","206,268","206,268","206,257","209,508","209,508"
"6226","厚生費","5,000","0","0","11,750","0","0","54,939","4,500","0","0","5,000","6,000"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","19,636","19,636","19,636","19,636","19,636","19,636","19,636","19,636","19,636","19,662","19,636","19,636"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","477,262","477,262","477,262","387,262","387,262","387,262","477,262","477,262","477,262","477,262","477,262","477,262"
"6216","修繕／車両関係費","0","0","0","5,500","68,200","0","0","11,000","0","0","0","2,327"
"6217","事務用消耗品費","0","0","900","0","22,166","0","300","0","0","0","1,450","500"
"6218","通信交通費","12,779","12,576","9,441","15,836","13,148","12,615","12,376","12,595","12,643","13,112","12,451","9,339"
