"ｺｰﾄﾞ","勘定科目名"," 1年  8月"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"," 2年  1月"," 2年  2月"," 2年  3月"," 2年  4月"," 2年  5月"," 2年  6月"," 2年  7月"
"4111","売上高","317,581,611","263,867,381","272,445,082","310,641,963","403,591,037","346,727,846","277,088,555","270,859,673","77,706,567","85,694,716","177,941,803","216,573,088"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","2,320,098","1,972,127","1,649,223","1,917,161","2,606,533","2,354,878","1,860,088","1,747,312","206,779","339,412","935,276","969,173"
,"純売上高","315,261,513","261,895,254","270,795,859","308,724,802","400,984,504","344,372,968","275,228,467","269,112,361","77,499,788","85,355,304","177,006,527","215,603,915"
"5111","期首たな卸高","69,166,375","67,338,671","61,018,290","73,958,104","71,619,915","91,129,851","65,948,050","62,014,153","61,036,685","54,579,271","51,716,180","52,207,858"
"5211","商品仕入高","105,045,575","84,484,146","106,380,438","104,008,060","156,865,638","90,095,931","93,599,569","94,414,868","26,868,007","30,706,249","65,301,647","77,863,636"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","67,338,671","61,018,290","73,958,104","71,619,915","91,129,851","65,948,050","62,014,153","61,036,685","54,579,271","51,716,180","52,207,858","51,745,924"
,"当期売上原価","106,873,279","90,804,527","93,440,624","106,346,249","137,355,702","115,277,732","97,533,466","95,392,336","33,325,421","33,569,340","64,809,969","78,325,570"
,"売上総利益","208,388,234","171,090,727","177,355,235","202,378,553","263,628,802","229,095,236","177,695,001","173,720,025","44,174,367","51,785,964","112,196,558","137,278,345"
"6111","給与手当","27,661,601","27,193,909","27,692,419","28,849,037","29,009,434","29,778,107","29,544,172","27,195,169","26,206,397","24,235,282","27,822,505","27,662,555"
"6311","雑給","41,725,299","41,023,280","42,580,275","47,518,922","55,547,713","47,249,991","43,564,228","40,267,939","27,323,916","26,280,545","31,088,711","33,554,934"
"6112","旅費交通費","1,789,485","1,872,340","1,685,037","1,809,619","2,149,278","1,876,331","1,752,670","1,767,254","1,200,824","781,469","1,745,284","1,716,523"
"6113","広告宣伝費","17,209,017","15,369,679","16,906,031","16,211,974","16,906,219","15,587,117","13,956,539","15,432,022","5,699,357","4,884,815","9,934,158","9,796,653"
"6114","販売促進費","2,970,632","1,840,042","1,771,880","1,803,799","2,898,105","2,948,309","2,458,297","2,681,743","654,365","543,080","1,340,023","1,101,299"
"6115","荷造発送費","286,954","256,479","329,203","210,594","347,704","295,054","394,427","297,099","195,089","195,508","262,410","292,920"
"6116","外注費","0","0","0","0","0","63,636","63,636","63,636","0","0","118,182","9,091"
"6117","支払手数料","9,314,869","9,269,010","11,019,358","11,052,699","12,328,381","11,485,090","10,407,717","11,193,717","5,864,958","4,687,543","6,391,014","8,498,033"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","1,549,000","1,549,000","1,549,000","1,549,000","3,514,622","1,662,000","1,549,000","1,549,000","0","0","0","0"
"6312","法定福利費","5,557,961","5,554,065","5,515,301","5,701,652","7,129,097","5,987,232","5,673,504","5,708,937","5,723,817","5,638,581","5,256,170","5,176,147"
"6226","厚生費","2,762,820","7,009,285","2,190,381","3,012,349","3,123,091","3,069,968","2,095,366","1,597,541","191,152","321,337","446,946","1,353,682"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","8,118,648","13,510,596","8,106,006","8,106,006","8,106,006","8,106,006","8,106,006","8,106,006","8,106,006","8,106,006","8,106,006","8,106,006"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","20,218,430","21,838,942","24,684,538","24,524,454","24,340,334","24,042,608","23,542,523","23,298,454","16,057,068","13,319,823","22,611,467","21,215,875"
"6216","修繕／車両関係費","3,799,092","5,916,571","1,705,373","3,105,892","3,964,154","2,782,118","3,390,896","2,525,351","575,867","138,000","1,888,854","371,345"
"6217","事務用消耗品費","123,162","104,351","68,997","90,488","91,028","70,754","136,060","24,017","54,296","18,157","41,778","66,950"
"6218","通信交通費","197,214","504,074","408,344","242,940","354,343","564,558","187,598","523,840","356,228","227,147","530,494","353,959"
"6219","水道光熱費","12,388,806","15,239,531","13,308,668","12,252,284","10,795,037","12,647,247","11,809,957","11,223,816","9,808,574","7,271,504","6,205,013","8,755,058"
"6221","租税公課","49,233","31,827","45,800","51,600","94,491","51,489","43,000","33,000","4,000","2,400","9,000","17,891"
"6222","寄付金","48,000","0","38,000","48,000","0","14,000","0","20,000","0","14,000","30,000","0"
"6223","接待交際費","6,144","7,250","0","27,283","0","5,677","27,734","0","0","10,000","0","1,000"
"6224","保険料","807,638","839,348","937,507","909,067","891,067","891,067","891,067","891,067","891,067","891,067","891,067","891,067"
"6225","備品消耗品費","8,289,624","28,818,353","10,713,295","10,755,106","14,948,869","8,632,722","7,753,083","8,355,303","5,763,567","4,654,608","7,722,072","7,356,461"
"6227","管理諸費","4,274,280","5,238,265","4,019,513","4,566,027","3,815,630","3,886,611","4,223,684","4,854,093","2,508,946","1,675,147","1,730,062","3,227,951"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","31,500","129,000","136,800","115,700","35,300","157,300","15,300","54,300","55,800","81,800","71,800","114,800"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","28,152","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","441,850","3,000","0","0","0","8,200","0","0","2,000","0","3,300","0"
,"販売費及び一般管理費計","169,621,259","203,146,349","175,411,726","182,514,492","200,389,903","181,863,192","171,586,464","167,663,304","117,243,294","103,977,819","134,246,316","139,640,200"
,"営業利益（損失）","38,766,975","-32,055,622","1,943,509","19,864,061","63,238,899","47,232,044","6,108,537","6,056,721","-73,068,927","-52,191,855","-22,049,758","-2,361,855"
"7111","受取利息","275","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","555,797","433,380","1,084,486","792,847","1,127,912","551,538","465,213","1,415,866","359,214","480,457","527,401","408,305"
,"営業外収益計","556,072","433,380","1,084,486","792,847","1,127,912","551,538","465,213","1,415,866","359,214","480,457","527,401","408,305"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","4,238","1,162","-390","3,282","940","1,905","-598","3,912","-591","-98","-180","1,301"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","3,179,523","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","4,238","3,180,685","-390","3,282","940","1,905","-598","3,912","-591","-98","-180","1,301"
,"経常利益（損失）","39,318,809","-34,802,927","3,028,385","20,653,626","64,365,871","47,781,677","6,574,348","7,468,675","-72,709,122","-51,711,300","-21,522,177","-1,954,851"
