"ｺｰﾄﾞ","勘定科目名"," 1年  6月"," 1年  7月"," 1年  8月"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"," 2年  1月"," 2年  2月"," 2年  3月"," 2年  4月"," 2年  5月"
"4111","売上高","13,605,544","14,520,764","17,649,978","14,323,927","12,234,020","13,472,870","21,082,762","17,078,912","13,926,454","13,173,341","1,501,938","1,798,639"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","1,147,727","1,162,791","1,417,778","1,104,030","1,012,761","1,149,838","1,646,675","1,402,019","1,148,760","1,068,116","125,934","201,841"
,"純売上高","12,457,817","13,357,973","16,232,200","13,219,897","11,221,259","12,323,032","19,436,087","15,676,893","12,777,694","12,105,225","1,376,004","1,596,798"
"5111","期首たな卸高","1,414,524","1,145,029","1,084,605","1,131,856","1,020,032","1,027,424","1,026,258","1,881,586","1,198,021","1,001,746","1,008,706","1,098,402"
"5211","商品仕入高","2,036,733","2,130,029","2,655,810","2,043,062","1,963,184","1,997,062","3,891,867","1,500,573","1,832,635","1,820,128","315,104","51,969"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","1,145,029","1,084,605","1,131,856","1,020,032","1,027,424","1,026,258","1,881,586","1,198,021","1,001,746","1,008,706","1,098,402","994,844"
,"当期売上原価","2,306,228","2,190,453","2,608,559","2,154,886","1,955,792","1,998,228","3,036,539","2,184,138","2,028,910","1,813,168","225,408","155,527"
,"売上総利益","10,151,589","11,167,520","13,623,641","11,065,011","9,265,467","10,324,804","16,399,548","13,492,755","10,748,784","10,292,057","1,150,596","1,441,271"
"6111","給与手当","1,103,870","1,142,205","1,148,540","1,121,035","1,166,500","1,135,500","1,267,500","1,244,500","1,239,500","1,219,500","1,005,544","906,365"
"6311","雑給","1,411,441","1,381,861","1,523,812","1,348,548","1,457,900","1,479,580","1,669,177","1,558,203","1,359,784","1,413,292","871,213","771,132"
"6112","旅費交通費","105,304","78,069","78,722","76,902","68,999","67,691","76,601","71,656","57,489","65,862","32,954","5,065"
"6113","広告宣伝費","704,347","646,039","573,207","561,957","1,305,631","890,388","457,175","476,960","515,629","843,918","151,117","103,332"
"6114","販売促進費","85,633","59,580","67,730","57,750","49,317","54,708","87,587","153,248","146,885","100,204","15,285","12,191"
"6115","荷造発送費","0","2,578","950","0","0","1,173","3,800","0","0","7,200","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","703,515","794,580","773,211","733,202","716,703","753,318","739,021","698,857","739,998","703,801","638,439","432,928"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","-191,582","50,000","50,000","50,000","50,000","50,000","154,415","50,000","50,000","50,000","0","0"
"6312","法定福利費","183,075","174,885","174,885","177,690","182,190","182,190","238,539","182,190","192,707","196,099","196,099","196,099"
"6226","厚生費","48,150","26,593","44,285","120,500","21,157","246,722","57,650","11,750","5,000","95,944","11,157","0"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","896,742","896,742","896,742","1,837,356","812,354","812,354","812,354","812,354","812,354","812,354","812,354","812,354"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","1,385,100","1,385,100","1,385,100","1,410,750","1,385,100","1,385,100","1,385,100","1,385,100","1,385,100","1,385,100","1,108,080","1,108,080"
"6216","修繕／車両関係費","15,000","3,905,442","58,400","23,800","135,423","130,370","176,020","28,100","49,400","56,300","10,300","138,000"
"6217","事務用消耗品費","0","0","0","1,866","5,505","0","0","0","0","0","3,970","5,502"
"6218","通信交通費","19,659","35,405","20,079","61,346","35,162","31,262","33,710","58,107","23,012","59,628","35,442","30,687"
"6219","水道光熱費","665,190","543,720","721,104","738,824","1,093,702","723,119","682,048","519,336","792,376","517,071","597,877","411,683"
"6221","租税公課","0","2,000","0","0","2,000","2,000","1,000","0","2,000","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","60,000","60,000","60,000","60,000","62,560","60,000","60,000","60,000","60,000","60,000","60,000","60,000"
"6225","備品消耗品費","936,011","1,536,388","286,320","235,462","226,987","396,448","413,433","165,833","201,331","212,043","47,335","67,740"
"6227","管理諸費","286,871","316,656","277,587","273,526","313,254","340,183","311,964","252,014","267,794","860,334","121,534","-13,806"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","12,000","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","10,580","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
