"ｺｰﾄﾞ","勘定科目名"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"
"4111","売上高","9,841,421","11,056,718","12,066,040","10,444,117","13,754,678","14,222,191","17,890,317","11,501,810","12,433,189","16,151,508","13,197,140","13,606,904"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","9,841,421","11,056,718","12,066,040","10,444,117","13,754,678","14,222,191","17,890,317","11,501,810","12,433,189","16,151,508","13,197,140","13,606,904"
"5111","期首棚卸高","1,078,218","931,969","917,978","947,030","1,039,352","844,426","818,248","1,965,630","902,840","1,186,944","1,474,409","1,412,118"
"5211","商品仕入高","3,747,608","4,375,147","4,979,772","4,505,881","5,083,808","5,556,889","7,820,165","3,542,466","5,478,115","6,643,098","5,384,959","5,295,828"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","931,969","917,978","947,030","1,039,352","844,426","818,248","1,965,630","902,840","1,186,944","1,474,409","1,412,118","1,328,784"
,"当期売上原価","3,893,857","4,389,138","4,950,720","4,413,559","5,278,734","5,583,067","6,672,783","4,605,256","5,194,011","6,355,633","5,447,250","5,379,162"
,"売上総利益","5,947,564","6,667,580","7,115,320","6,030,558","8,475,944","8,639,124","11,217,534","6,896,554","7,239,178","9,795,875","7,749,890","8,227,742"
"6111","給与手当","1,018,000","1,008,000","1,078,000","1,008,000","1,091,500","1,093,500","1,317,412","1,046,673","1,145,847","1,141,738","1,111,848","1,061,848"
"6311","雑給","1,531,709","1,514,933","1,453,265","1,540,981","1,591,870","1,739,330","2,096,616","1,468,722","1,758,340","2,070,279","1,769,412","1,898,158"
"6112","旅費交通費","52,966","57,452","57,207","68,402","79,423","65,426","67,270","50,759","58,949","62,108","85,304","78,844"
