"ｺｰﾄﾞ","勘定科目名","30年  2月","30年  3月","30年  4月","30年  5月","30年  6月","30年  7月","30年  8月","30年  9月","30年 10月","30年 11月","30年 12月","31年  1月"
"4111","売上高","11,353,163","16,401,284","13,057,325","12,780,017","12,986,107","13,167,742","15,878,175","12,675,847","10,590,434","10,699,061","20,300,992","15,983,034"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","125,434","139,806","178,047","182,041","129,101","125,114","168,335","171,132","98,419","163,800","1,425,246","1,318,435"
,"純売上高","11,227,729","16,261,478","12,879,278","12,597,976","12,857,006","13,042,628","15,709,840","12,504,715","10,492,015","10,535,261","18,875,746","14,664,599"
"5111","期首たな卸高","1,222,067","1,379,863","1,391,944","1,804,644","1,264,131","1,361,269","1,278,006","1,082,425","1,045,861","1,010,489","957,821","1,295,513"
"5211","商品仕入高","1,801,204","2,306,002","2,180,957","1,464,223","1,809,672","1,616,380","2,168,197","1,867,166","1,622,309","1,729,488","2,779,266","1,958,778"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","1,379,863","1,391,944","1,804,644","1,264,131","1,361,269","1,278,006","1,082,425","1,045,861","1,010,489","957,821","1,295,513","1,135,190"
,"当期売上原価","1,643,408","2,293,921","1,768,257","2,004,736","1,712,534","1,699,643","2,363,778","1,903,730","1,657,681","1,782,156","2,441,574","2,119,101"
,"売上総利益","9,584,321","13,967,557","11,111,021","10,593,240","11,144,472","11,342,985","13,346,062","10,600,985","8,834,334","8,753,105","16,434,172","12,545,498"
"6111","給与手当","823,857","925,825","1,086,308","1,119,814","859,378","986,791","1,053,775","1,042,057","973,552","961,271","986,848","945,743"
"6311","雑給","1,284,438","1,518,610","1,301,181","1,249,045","1,326,731","1,389,559","1,563,025","1,489,317","1,502,978","1,410,654","1,840,728","1,663,896"
"6112","旅費交通費","88,745","96,957","101,331","94,862","103,338","98,488","115,579","108,243","96,208","98,224","118,092","101,401"
"6113","広告宣伝費","287,327","429,840","406,542","545,245","442,290","388,964","751,774","393,208","385,816","339,282","418,819","388,331"
"6114","販売促進費","139,041","187,836","143,889","313,072","153,311","148,474","127,980","116,757","89,515","169,323","275,783","131,486"
"6115","荷造発送費","0","0","0","2,962","1,168","0","0","0","1,268","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","725,796","726,775","739,727","745,360","719,737","715,993","754,670","712,052","724,081","741,222","717,233","749,636"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","50,000","50,000","70,000","70,000","-280,000","70,000","70,000","70,000","0","0","-88,654","50,000"
"6312","法定福利費","141,315","146,315","172,192","200,262","138,508","138,508","144,122","149,736","149,736","149,736","158,009","118,859"
"6226","厚生費","9,920","38,762","59,400","146,218","90,895","104,683","68,083","146,232","94,096","81,100","58,311","69,279"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","987,548","987,548","987,548","987,548","987,548","987,548","987,548","1,533,547","896,742","896,742","896,742","896,742"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","1,385,100","1,385,100","1,385,100","1,385,100","1,385,100","1,385,100","1,385,100","1,385,100","1,385,100","1,385,100","1,385,100","1,385,100"
"6216","修繕／車両関係費","28,000","68,950","81,000","30,870","757,189","10,185","300,370","0","66,750","207,614","124,678","33,470"
"6217","事務用消耗品費","2,076","1,485","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","36,840","20,866","36,751","52,243","21,443","51,379","37,399","20,733","44,919","18,878","17,073","35,633"
"6219","水道光熱費","204,604","528,567","640,527","586,803","592,144","621,800","685,088","840,649","997,581","725,780","712,516","546,174"
"6221","租税公課","0","2,000","2,000","0","2,000","0","0","2,000","0","0","3,200","2,000"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000","62,461","60,000","60,000","60,000"
"6225","備品消耗品費","138,366","277,083","232,505","148,255","235,324","210,562","151,958","346,956","357,528","231,346","287,693","397,855"
"6227","管理諸費","335,750","359,152","347,512","382,331","313,895","346,584","386,821","310,524","315,856","286,256","312,856","291,356"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","6,728,723","7,811,671","7,853,513","8,119,990","7,909,999","7,714,618","8,643,292","8,727,111","8,144,187","7,762,528","8,285,027","7,866,961"
,"営業利益（損失）","2,855,598","6,155,886","3,257,508","2,473,250","3,234,473","3,628,367","4,702,770","1,873,874","690,147","990,577","8,149,145","4,678,537"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","-2","0","0","0","-2,753"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","-2","0","0","0","-2,753"
,"経常利益（損失）","2,855,598","6,155,886","3,257,508","2,473,250","3,234,473","3,628,367","4,702,770","1,873,876","690,147","990,577","8,149,145","4,681,290"
