"ｺｰﾄﾞ","勘定科目名"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"
"4111","売上高","416,754,421","467,161,065","379,603,846","365,890,371","327,112,674","355,936,280","274,408,463","244,477,255","317,244,361","315,381,533","406,341,320","310,789,231"
"4112","賃貸料収入","5,091,146","3,668,301","2,950,840","3,069,081","2,930,779","4,442,160","4,281,815","4,120,051","5,446,404","4,730,670","4,693,503","4,503,179"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","170,850,274","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","925,070","848,978","751,864","794,574","730,408","825,511","121,687","0","795,262","704,114","1,039,590","730,800"
,"純売上高","420,920,497","469,980,388","381,802,822","368,164,878","329,313,045","359,552,929","278,568,591","419,447,580","321,895,503","319,408,089","409,995,233","314,561,610"
"5111","期首棚卸高","53,348,325","50,994,335","55,032,003","59,544,157","53,500,068","54,776,822","57,028,346","60,856,598","76,929,519","88,532,713","85,959,832","113,028,721"
"5211","商品仕入高","60,080,082","182,263,564","73,580,921","67,770,147","70,453,830","80,721,571","54,358,944","39,739,853","82,449,274","82,693,079","133,418,342","61,971,898"
"5212","通信商品仕入高","212,019,974","98,927,952","154,598,338","135,860,412","115,156,369","120,219,791","116,452,921","141,448,942","82,468,501","59,831,390","80,770,218","72,229,512"
"5215","ｺﾐｯｼｮﾝ清掃代","43,211","31,253","33,873","42,086","30,790","33,143","13,430","24,673","79,206","43,127","38,993","32,173"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","99,963,208","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","50,994,335","55,032,003","59,544,157","53,500,068","54,776,822","57,028,346","60,856,598","76,929,519","88,532,713","85,959,832","113,028,721","102,350,348"
,"当期売上原価","274,497,257","277,185,101","223,700,978","209,716,734","184,364,235","198,722,981","166,997,043","265,103,755","153,393,787","145,140,477","187,158,664","144,911,956"
,"売上総利益","146,423,240","192,795,287","158,101,844","158,448,144","144,948,810","160,829,948","111,571,548","154,343,825","168,501,716","174,267,612","222,836,569","169,649,654"
"6111","給与手当","41,222,934","40,939,967","38,932,571","39,925,928","38,007,316","37,956,231","36,738,257","36,789,353","37,491,605","38,628,536","38,791,555","36,866,187"
"6311","雑給","27,741,575","32,572,587","29,629,764","29,848,710","28,316,212","31,170,988","28,518,891","-8,163,850","32,118,559","32,867,959","39,238,764","35,221,992"
"6112","旅費交通費","2,239,533","2,681,068","2,518,380","2,432,602","2,525,391","2,655,994","2,071,914","2,440,810","3,004,738","2,824,978","2,788,867","2,972,120"
"6113","広告宣伝費","11,558,135","14,394,743","11,480,529","9,367,901","8,396,759","10,863,657","6,007,487","8,133,665","10,723,931","8,957,803","12,439,437","11,154,906"
"6114","販売促進費","3,694,771","3,114,008","3,811,818","2,254,677","2,274,401","1,341,387","2,321,278","1,587,747","2,362,318","2,991,811","3,183,522","1,657,342"
"6115","荷造発送費","241,803","315,413","289,209","351,524","317,734","392,745","271,372","234,750","366,125","320,738","409,058","306,974"
"6116","外注費","3,963,897","4,707,263","3,976,701","4,585,469","3,705,552","5,201,320","1,426,400","2,379,158","4,617,843","3,594,124","4,791,210","2,901,849"
"6117","支払手数料","10,418,005","11,397,463","13,945,250","11,078,825","10,083,178","18,116,238","8,944,369","7,712,155","10,266,141","14,942,311","12,670,920","12,570,774"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","450,002","650,002","650,002","650,002","650,002","650,002","650,002","650,002","650,002","650,002","650,002","650,002"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","1,302,083","1,302,083","3,152,083","1,302,083","0","2,371,326","0","-1,220,000","1,600,000","0"
"6312","法定福利費","6,967,740","6,648,015","6,995,935","15,088,174","5,743,981","6,587,466","7,038,546","6,926,778","6,322,379","6,785,222","6,614,524","6,970,812"
"6226","厚生費","317,852","17,682,163","6,263,287","6,693,319","6,325,786","2,198,636","616,325","923,329","886,843","1,686,802","1,779,941","4,344,301"
"6119","退職金","0","0","0","0","0","0","0","0","0","2,000,000","0","0"
"6214","減価償却費","13,692,182","13,692,182","13,692,182","13,692,182","13,692,182","13,692,182","13,692,182","14,155,794","13,936,914","13,936,914","13,936,914","13,936,914"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","23,723,941","23,516,097","23,403,404","23,523,084","23,386,593","24,475,174","24,014,644","23,925,066","25,157,867","25,791,804","26,200,255","25,610,807"
"6216","修繕／車両関係費","5,770,754","5,547,430","1,639,754","1,736,238","2,079,522","9,494,530","1,352,683","1,417,766","2,555,264","662,751","1,834,454","555,379"
"6217","事務用消耗品費","94,380","98,394","109,324","46,109","44,699","45,052","53,090","16,837","61,107","63,829","38,076","57,011"
"6218","通信交通費","897,831","1,344,788","806,899","794,717","899,603","297,779","1,271,975","1,184,371","320,291","1,253,420","372,701","1,154,647"
"6219","水道光熱費","9,348,179","9,193,950","8,690,434","9,372,657","9,392,772","10,361,674","11,332,427","4,665,734","8,549,626","9,983,101","10,342,259","12,106,560"
"6221","租税公課","11,882","89,300","458,712","1,109,826","8,900","153,000","560,490","3,048,610","52,600","296,400","31,400","74,790"
"6222","寄付金","0","0","69,000","70,000","44,000","30,000","70,000","50,000","0","4,000","7,000","42,000"
"6223","接待交際費","267,114","604,877","527,105","426,094","570,566","1,340,221","844,105","791,261","781,303","1,086,615","1,933,051","1,614,751"
"6224","保険料","801,637","811,587","782,247","757,837","757,837","777,847","757,837","1,689,534","779,857","855,227","698,887","728,177"
"6225","備品消耗品費","6,367,560","14,589,054","12,079,691","11,414,229","12,261,608","9,289,180","6,116,460","11,234,653","7,201,457","9,693,282","11,355,925","6,485,420"
"6227","管理諸費","5,424,258","3,698,891","3,885,152","5,472,569","5,219,075","4,109,152","4,877,074","4,245,520","3,068,653","7,966,436","4,652,601","3,885,972"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","125,800","80,300","512,140","226,800","234,800","316,800","82,400","76,800","322,800","160,300","139,800","287,600"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","135,898","0","0","0","0"
"6231","雑費","0","11,485","19,249","4,000","1,336","10,361","65,000","0","39,580","0","3,214","0"
,"販売費及び一般管理費計","175,341,765","208,381,027","186,470,822","192,225,556","178,091,888","192,829,699","159,695,208","128,623,067","171,637,803","186,784,365","196,504,337","182,157,287"
,"営業利益（損失）","-28,918,525","-15,585,740","-28,368,978","-33,777,412","-33,143,078","-31,999,751","-48,123,660","25,720,758","-3,136,087","-12,516,753","26,332,232","-12,507,633"
"7111","受取利息","77,489","455","1","9","833,348","833,356","835,047","919,425","2,103,091","833,481","833,344","833,350"
"7112","為替差益","0","0","0","0","0","0","0","2,358,508","2,567,311","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","509","0","12,000,000","91","9,490,200","0","0","-75,400","0","10,000,000","890","0"
"7118","雑収入","15,757,227","4,042,086","2,920,173","5,571,387","15,106,013","1,615,769","4,553,200","10,907,810","770,283","2,161,411","452,454","1,709,287"
,"営業外収益計","15,835,225","4,042,541","14,920,174","5,571,487","25,429,561","2,449,125","5,388,247","14,110,343","5,440,685","12,994,892","1,286,688","2,542,637"
"7511","支払利息","759,830","157,392","542,847","542,245","90,769","539,332","545,381","1,612,659","-163,142","684,897","256,652","674,263"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","-308","-632","0","1,100","2,888","8,900","5,750","15,593","-6,857","29,819","-34,456","979"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","10,469,679","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","6,556,804","0","0","0","0"
,"営業外費用計","759,522","156,760","542,847","543,345","93,657","548,232","551,131","18,654,735","-169,999","714,716","222,196","675,242"
,"経常利益（損失）","-13,842,822","-11,699,959","-13,991,651","-28,749,270","-7,807,174","-30,098,858","-43,286,544","21,176,366","2,474,597","-236,577","27,396,724","-10,640,238"
