"ｺｰﾄﾞ","勘定科目名"," 2年  8月"," 2年  9月"," 2年 10月"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"
"4111","売上高","0","10,470,810","10,478,092","9,045,660","8,086,456","6,251,310","5,999,792","7,091,464","6,144,348","6,777,195","6,046,119","6,557,042"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","0","10,470,810","10,478,092","9,045,660","8,086,456","6,251,310","5,999,792","7,091,464","6,144,348","6,777,195","6,046,119","6,557,042"
"5111","期首たな卸高","0","296,885","722,050","508,300","466,076","662,798","363,428","507,195","591,836","598,666","413,805","600,160"
"5211","商品仕入高","296,885","3,209,528","2,848,176","2,014,026","2,442,828","1,471,039","1,791,010","1,706,237","1,696,925","2,006,924","1,844,795","1,809,280"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","296,885","722,050","508,300","466,076","662,798","363,428","507,195","591,836","598,666","413,805","600,160","541,777"
,"当期売上原価","0","2,784,363","3,061,926","2,056,250","2,246,106","1,770,409","1,647,243","1,621,596","1,690,095","2,191,785","1,658,440","1,867,663"
,"売上総利益","0","7,686,447","7,416,166","6,989,410","5,840,350","4,480,901","4,352,549","5,469,868","4,454,253","4,585,410","4,387,679","4,689,379"
"6111","給与手当","595,300","885,300","615,300","876,800","876,800","615,300","660,300","630,300","613,300","649,800","609,800","649,800"
"6311","雑給","415,462","2,988,263","2,234,969","1,726,191","1,636,602","1,256,193","1,243,745","1,265,423","1,139,763","1,210,230","1,071,454","1,201,350"
"6112","旅費交通費","235,683","302,412","362,233","301,564","70,687","193,873","46,235","43,114","33,066","37,660","34,025","42,537"
"6113","広告宣伝費","0","10,102","10,000","31,727","33,573","0","11,573","10,000","10,045","4,671","10,000","91,786"
"6114","販売促進費","309","3,000","5,864","14,000","16,000","14,000","15,970","15,940","16,000","16,000","16,000","22,797"
"6115","荷造発送費","0","0","0","0","0","6,191","3,104","1,365","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","1,336","1,044,231","863,328","820,278","774,726","651,862","713,346","706,210","634,780","722,848","677,106","663,698"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","150,000","0","0","0","0","0","100,000","0"
"6312","法定福利費","86,893","98,090","98,090","98,090","158,147","95,445","98,090","98,060","98,060","98,060","112,070","98,060"
"6226","厚生費","314,022","172,168","12,002","81,000","-3,636","61,180","-909","5,000","7,150","0","0","5,000"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
