"ｺｰﾄﾞ","勘定科目名","30年  7月","30年  8月","30年  9月","30年 10月","30年 11月","30年 12月","31年  1月","31年  2月","31年  3月","31年  4月"," 1年  5月"," 1年  6月"
"4111","売上高","14,000,759","14,330,748","13,308,088","15,053,562","16,681,982","21,516,576","18,030,983","13,423,608","16,195,626","15,177,576","15,452,983","12,802,581"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","14,000,759","14,330,748","13,308,088","15,053,562","16,681,982","21,516,576","18,030,983","13,423,608","16,195,626","15,177,576","15,452,983","12,802,581"
"5111","期首たな卸高","5,279,246","4,469,835","4,464,250","4,066,039","3,921,747","5,303,467","6,401,930","5,101,366","4,713,873","4,074,544","4,770,517","4,654,468"
"5211","商品仕入高","4,076,913","4,933,280","4,394,711","5,288,263","7,058,436","8,919,475","4,365,821","4,517,006","4,710,936","5,833,823","4,990,602","3,989,910"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","4,469,835","4,464,250","4,066,039","3,921,747","5,303,467","6,401,930","5,101,366","4,713,873","4,074,544","4,770,517","4,654,468","4,376,163"
,"当期売上原価","4,886,324","4,938,865","4,792,922","5,432,555","5,676,716","7,821,012","5,666,385","4,904,499","5,350,265","5,137,850","5,106,651","4,268,215"
,"売上総利益","9,114,435","9,391,883","8,515,166","9,621,007","11,005,266","13,695,564","12,364,598","8,519,109","10,845,361","10,039,726","10,346,332","8,534,366"
"6111","給与手当","1,615,030","1,791,640","1,744,920","1,848,680","1,842,280","1,797,390","1,708,730","1,752,150","1,646,600","1,781,200","1,961,897","1,937,037"
"6311","雑給","2,562,262","2,568,415","2,144,293","2,519,756","2,572,084","3,027,171","2,781,253","2,367,418","2,642,494","2,291,914","2,128,305","1,989,183"
"6112","旅費交通費","102,688","107,508","100,720","102,142","113,910","132,514","159,393","116,286","130,034","150,539","131,044","104,344"
"6113","広告宣伝費","1,074,133","1,111,261","1,076,449","1,076,548","1,242,334","1,436,222","1,086,998","941,371","1,290,874","1,067,634","1,170,101","823,032"
"6114","販売促進費","249,876","253,087","101,598","85,544","189,057","273,289","38,456","81,370","407,311","255,037","254,632","405,210"
"6115","荷造発送費","9,450","1,400","5,401","0","0","28,300","0","0","1,600","0","0","700"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","817,091","562,526","742,994","754,098","956,130","961,891","822,475","488,904","617,142","584,340","532,812","629,221"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","120,000","120,000","120,000","0","0","369,334","148,000","148,000","148,000","148,000","148,000","-326,250"
"6312","法定福利費","355,036","355,036","360,144","386,810","386,810","492,646","386,810","386,810","363,713","397,373","371,581","462,027"
"6226","厚生費","231,691","166,740","318,278","107,490","198,461","109,528","136,871","103,961","136,960","173,953","81,440","152,642"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","1,062,030","1,062,030","829,690","988,828","988,828","988,828","988,828","988,828","988,828","988,828","988,828","988,828"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","953,918","953,918","953,918","953,918","953,918","953,918","953,918","953,918","953,918","953,000","947,492","953,000"
"6216","修繕／車両関係費","68,981","28,241","139,037","50,000","9,722","230,703","109,324","81,019","165,270","199,316","72,160","113,500"
"6217","事務用消耗品費","1,806","0","2,062","5,105","0","0","0","0","15,280","0","0","7,881"
"6218","通信交通費","27,484","17,760","18,277","20,160","18,005","3,177","27,445","17,378","10,584","20,656","26,900","8,129"
"6219","水道光熱費","692,401","673,422","857,042","575,400","669,801","548,811","837,637","627,200","731,304","531,109","618,245","479,140"
"6221","租税公課","8,000","6,000","4,000","8,000","8,000","14,000","8,000","8,000","10,000","8,000","8,000","10,000"
"6222","寄付金","5,000","0","0","5,000","5,000","0","0","0","0","6,666","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","2,750"
"6224","保険料","46,292","46,292","46,292","48,754","46,292","46,292","46,292","46,292","46,292","46,292","46,292","46,292"
"6225","備品消耗品費","421,412","355,620","356,628","509,261","628,095","473,500","565,625","254,858","361,451","587,653","406,781","408,564"
"6227","管理諸費","294,790","296,127","281,381","335,111","436,976","300,082","259,276","294,163","264,597","337,191","323,825","283,942"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","30,000","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","10,719,371","10,477,023","10,203,124","10,410,605","11,265,703","12,187,596","11,065,331","9,657,926","10,932,252","10,528,701","10,218,335","9,479,172"
,"営業利益（損失）","-1,604,936","-1,085,140","-1,687,958","-789,598","-260,437","1,507,968","1,299,267","-1,138,817","-86,891","-488,975","127,997","-944,806"
"7111","受取利息","0","23","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","23","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","-300","-1,252","0","0","0","0","0","0","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","312,171","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","-300","-1,252","312,171","0","0","0","0","0","0","0","0","0"
,"経常利益（損失）","-1,604,636","-1,083,865","-2,000,129","-789,598","-260,437","1,507,968","1,299,267","-1,138,817","-86,891","-488,975","127,997","-944,806"
