"ｺｰﾄﾞ","勘定科目名"," 2年  6月"," 2年  7月"," 2年  8月"," 2年  9月"," 2年 10月"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"
"4111","売上高","14,538,420","17,537,531","17,119,555","15,066,391","17,620,324","19,597,940","20,016,307","15,632,742","12,472,695","18,124,057","13,922,775","15,106,911"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","14,538,420","17,537,531","17,119,555","15,066,391","17,620,324","19,597,940","20,016,307","15,632,742","12,472,695","18,124,057","13,922,775","15,106,911"
"5111","期首たな卸高","989,401","1,228,936","1,511,642","1,281,677","1,313,082","1,872,798","1,338,594","3,464,573","1,672,232","1,209,252","1,643,888","2,250,488"
"5211","商品仕入高","6,787,951","8,354,932","7,408,125","7,102,466","8,610,999","8,400,537","11,473,167","5,357,785","5,297,767","8,498,764","7,138,025","6,561,738"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","1,228,936","1,511,642","1,281,677","1,313,082","1,872,798","1,338,594","3,464,573","1,672,232","1,209,252","1,643,888","2,250,488","1,638,821"
,"当期売上原価","6,548,416","8,072,226","7,638,090","7,071,061","8,051,283","8,934,741","9,347,188","7,150,126","5,760,747","8,064,128","6,531,425","7,173,405"
,"売上総利益","7,990,004","9,465,305","9,481,465","7,995,330","9,569,041","10,663,199","10,669,119","8,482,616","6,711,948","10,059,929","7,391,350","7,933,506"
"6111","給与手当","1,297,500","1,522,703","1,588,000","1,491,500","1,536,500","1,574,500","1,566,500","1,306,500","1,505,425","1,553,524","1,528,500","1,548,500"
"6311","雑給","2,238,461","2,627,010","2,331,773","2,145,789","2,286,201","2,441,272","2,572,668","2,273,491","1,898,605","2,306,926","2,018,439","2,163,244"
"6112","旅費交通費","84,429","86,593","101,314","106,792","97,322","89,235","93,690","87,587","83,793","119,663","96,925","100,466"
"6113","広告宣伝費","819,072","871,325","895,297","855,895","1,016,062","998,297","1,255,872","941,999","839,902","1,171,843","860,243","622,767"
"6114","販売促進費","46,931","62,630","75,379","43,026","71,103","88,569","129,280","104,144","131,299","116,742","99,627","94,848"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","593,990","499,648","516,802","486,244","541,910","628,264","590,335","524,373","428,416","517,964","434,456","462,187"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","0","192,500","0","0","0","0","0"
"6312","法定福利費","366,737","381,279","388,313","400,445","415,556","415,556","416,107","396,452","384,365","438,980","421,088","421,088"
"6226","厚生費","7,200","307,600","94,609","61,689","95,964","158,900","21,200","5,054","0","99,100","56,371","44,000"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","660,730","660,730","660,730","143,557","602,713","602,713","602,713","602,713","602,713","602,713","602,713","602,713"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","747,273","1,227,273","1,227,273","1,227,273","1,227,273","1,227,273","1,227,273","1,227,273","1,227,273","987,273","987,273","987,273"
"6216","修繕／車両関係費","10,909","92,000","0","0","368,636","0","25,000","56,000","65,700","8,000","286,250","0"
"6217","事務用消耗品費","0","644","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","21,349","11,861","12,503","11,881","2,203","21,749","2,203","12,029","11,916","27,789","23,410","11,714"
"6219","水道光熱費","212,986","610,068","406,820","837,921","488,854","705,234","410,608","904,958","479,719","807,640","354,096","826,736"
"6221","租税公課","0","0","0","0","0","0","0","0","0","2,000","0","0"
"6222","寄付金","0","0","5,000","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000"
"6225","備品消耗品費","660,998","769,653","477,715","705,065","516,517","594,582","1,030,050","338,654","488,822","647,390","493,681","802,675"
"6227","管理諸費","173,630","244,045","192,330","191,030","594,336","76,680","277,180","194,320","232,330","174,138","231,680","630,680"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","8,002,195","10,035,062","9,033,858","8,768,107","9,921,150","9,682,824","10,473,179","9,035,547","8,440,278","9,641,685","8,554,752","9,378,891"
,"営業利益（損失）","-12,191","-569,757","447,607","-772,777","-352,109","980,375","195,940","-552,931","-1,728,330","418,244","-1,163,402","-1,445,385"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","160","-160","0","0","0","-330","330","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","200,000","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","160","-160","200,000","0","0","-330","330","0","0","0","0"
,"経常利益（損失）","-12,191","-569,917","447,767","-972,777","-352,109","980,375","196,270","-553,261","-1,728,330","418,244","-1,163,402","-1,445,385"
