"ｺｰﾄﾞ","勘定科目名"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"
"4111","売上高","3,258,490","252,208","6,553,391","6,209,665","6,280,320","3,483,057","5,670,662","4,888,450","11,550,866","-1,003,940","4,860,831","4,225,688"
"4112","賃貸料収入","3,732,587","1,317,934","4,841,146","3,418,301","2,700,840","2,819,081","2,680,779","4,192,160","4,031,815","2,270,051","5,196,404","4,480,670"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","170,850,274","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","6,991,077","1,570,142","11,394,537","9,627,966","8,981,160","6,302,138","8,351,441","9,080,610","15,582,681","172,116,385","10,057,235","8,706,358"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","0","0","0","0"
"5211","商品仕入高","0","0","0","2,650","0","0","0","0","0","0","0","0"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","45,483","32,263","43,211","31,253","33,873","42,086","30,790","33,143","13,430","24,673","79,206","43,127"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","99,963,208","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","45,483","32,263","43,211","33,903","33,873","42,086","30,790","33,143","13,430","99,987,881","79,206","43,127"
,"売上総利益","6,945,594","1,537,879","11,351,326","9,594,063","8,947,287","6,260,052","8,320,651","9,047,467","15,569,251","72,128,504","9,978,029","8,663,231"
"6111","給与手当","2,396,375","2,917,413","4,150,100","3,230,021","1,658,680","3,212,556","2,681,909","2,843,000","2,806,470","2,797,728","1,812,500","1,814,500"
"6311","雑給","713,661","524,732","535,422","592,918","554,516","471,365","482,619","280,668","415,146","-34,900,963","295,783","277,384"
"6112","旅費交通費","646,605","405,306","638,878","546,841","740,276","347,807","672,611","726,973","501,737","914,498","931,795","928,987"
"6113","広告宣伝費","656,612","785,882","1,955,654","760,298","305,518","1,119,746","596,095","855,471","531,459","81,291","860,967","412,838"
"6114","販売促進費","393,000","463,303","0","0","0","32,073","0","43,491","316,773","125,776","189,436","5,040"
"6115","荷造発送費","26,590","3,490","4,669","3,510","0","2,425","1,751","12,830","10,420","1,180","3,010","1,180"
