"ｺｰﾄﾞ","勘定科目名"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"
"4111","売上高","4,447,248","4,678,254","5,792,941","3,973,406","3,884,565","5,951,022","5,697,146","6,178,651","5,386,656","5,721,237","6,133,274","5,479,487"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","4,447,248","4,678,254","5,792,941","3,973,406","3,884,565","5,951,022","5,697,146","6,178,651","5,386,656","5,721,237","6,133,274","5,479,487"
"5111","期首棚卸高","383,086","310,180","466,064","419,429","440,562","405,330","391,614","525,946","458,042","442,333","428,615","474,378"
"5211","商品仕入高","1,409,717","1,542,910","1,889,680","1,188,997","1,196,171","1,926,921","2,042,632","1,913,409","1,795,601","1,851,789","1,930,769","1,832,191"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","310,180","466,064","419,429","440,562","405,330","391,614","525,946","458,042","442,333","428,615","474,378","550,382"
,"当期売上原価","1,482,623","1,387,026","1,936,315","1,167,864","1,231,403","1,940,637","1,908,300","1,981,313","1,811,310","1,865,507","1,885,006","1,756,187"
,"売上総利益","2,964,625","3,291,228","3,856,626","2,805,542","2,653,162","4,010,385","3,788,846","4,197,338","3,575,346","3,855,730","4,248,268","3,723,300"
"6111","給与手当","502,500","504,500","734,500","744,500","746,500","496,000","496,000","579,132","486,000","486,000","496,000","476,000"
"6311","雑給","882,297","870,019","634,719","566,566","722,959","1,289,815","886,473","973,459","983,546","1,030,485","888,238","941,580"
"6112","旅費交通費","101,753","56,086","65,882","87,366","46,497","75,285","75,733","82,454","76,385","95,311","54,835","80,826"
"6113","広告宣伝費","106,082","65,427","283,981","103,913","60,291","204,390","203,840","85,080","95,109","131,645","116,395","84,533"
"6114","販売促進費","96,808","55,823","101,467","47,258","39,354","93,204","97,984","75,753","64,312","53,015","38,925","70,202"
"6115","荷造発送費","0","0","0","0","0","0","3,127","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","14,865","0","0","0","45,664","0"
"6117","支払手数料","210,435","273,444","375,784","309,493","292,792","302,479","297,580","639,978","284,431","378,704","308,320","385,814"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","0","0","35,000","58,000","58,000","58,000","58,000"
"6312","法定福利費","88,248","88,248","95,403","121,872","121,872","86,061","86,808","91,733","93,228","88,320","88,320","93,930"
"6226","厚生費","10,800","15,500","5,000","39,278","76,400","58,900","180,600","87,933","20,000","193,680","83,166","81,178"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","135,687","135,687","135,687","135,687","135,687","135,687","135,687","135,687","135,687","135,687","135,687","135,687"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","486,305","516,871","476,000"
"6216","修繕／車両関係費","75,000","0","0","0","0","0","0","0","27,750","0","0","0"
"6217","事務用消耗品費","0","1,869","502","0","2,104","300","1,200","0","2,000","0","0","600"
"6218","通信交通費","4,864","5,356","4,615","4,925","0","4,974","5,222","5,093","5,075","5,180","7,273","5,325"
"6219","水道光熱費","413,135","372,245","424,675","414,790","369,545","398,605","419,970","436,445","452,495","554,995","598,610","507,715"
"6221","租税公課","0","0","0","200","0","0","0","0","400","55,000","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000"
"6225","備品消耗品費","178,899","125,986","132,922","80,376","227,808","236,499","185,148","249,052","138,073","160,281","184,668","114,633"
"6227","管理諸費","206,740","20,740","20,740","20,740","66,740","20,740","20,740","90,241","20,740","20,740","32,480","66,222"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","10,000","0","0","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","3,438,248","3,005,930","3,430,877","3,101,964","3,333,549","3,827,939","3,535,977","3,992,040","3,368,231","3,958,348","3,678,452","3,603,245"
,"営業利益（損失）","-473,623","285,298","425,749","-296,422","-680,387","182,446","252,869","205,298","207,115","-102,618","569,816","120,055"
"7111","受取利息","0","0","0","0","10","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","10","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","550","0","0","0","0","-2,323","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","550","0","0","0","0","-2,323","0"
,"経常利益（損失）","-473,623","285,298","425,749","-296,422","-680,377","181,896","252,869","205,298","207,115","-102,618","572,139","120,055"
