"ｺｰﾄﾞ","勘定科目名"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"," 5年  9月"
"4111","売上高","13,754,678","14,222,191","17,890,317","11,501,810","12,433,189","16,151,508","13,197,140","13,606,904","12,853,935","14,151,026","15,580,963","12,425,650"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","13,754,678","14,222,191","17,890,317","11,501,810","12,433,189","16,151,508","13,197,140","13,606,904","12,853,935","14,151,026","15,580,963","12,425,650"
"5111","期首棚卸高","1,039,352","844,426","818,248","1,965,630","902,840","1,186,944","1,474,409","1,412,118","1,328,784","1,248,976","1,366,798","1,077,801"
"5211","商品仕入高","5,083,808","5,556,889","7,820,165","3,542,466","5,478,115","6,643,098","5,384,959","5,295,828","5,177,490","5,569,825","6,096,879","5,188,449"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","844,426","818,248","1,965,630","902,840","1,186,944","1,474,409","1,412,118","1,328,784","1,248,976","1,366,798","1,077,801","1,349,993"
,"当期売上原価","5,278,734","5,583,067","6,672,783","4,605,256","5,194,011","6,355,633","5,447,250","5,379,162","5,257,298","5,452,003","6,385,876","4,916,257"
,"売上総利益","8,475,944","8,639,124","11,217,534","6,896,554","7,239,178","9,795,875","7,749,890","8,227,742","7,596,637","8,699,023","9,195,087","7,509,393"
"6111","給与手当","1,091,500","1,093,500","1,317,412","1,046,673","1,145,847","1,141,738","1,111,848","1,061,848","912,916","908,266","986,640","857,159"
"6311","雑給","1,591,870","1,739,330","2,096,616","1,468,722","1,758,340","2,070,279","1,769,412","1,898,158","1,959,943","2,130,405","2,408,814","2,180,762"
"6112","旅費交通費","79,423","65,426","67,270","50,759","58,949","62,108","85,304","78,844","77,723","66,568","80,003","62,822"
"6113","広告宣伝費","668,289","581,881","535,663","450,511","938,447","820,933","616,004","695,836","749,324","631,839","779,542","695,916"
"6114","販売促進費","33,436","41,838","37,044","34,696","20,216","20,931","20,194","20,916","22,608","32,759","25,353","22,611"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","360,490","355,695","374,797","350,209","353,862","390,473","383,788","350,219","380,166","330,260","366,763","468,166"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
