"ｺｰﾄﾞ","勘定科目名"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"
"4111","授業料等収入","1,453,887","767,063","1,769,450","5,973,684","732,864","413,400","830,227","508,955","360,773","296,173","29,956,833","23,238,991"
"4112","寮費等収入","240,000","240,000","100,000","1,000,000","630,000","0","60,000","70,000","50,000","90,000","6,800,000","-4,296,100"
"4113","職業紹介売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","特定技能売上高","0","50,000","50,000","50,000","50,000","50,000","100,000","146,364","100,000","100,909","146,364","100,909"
"4116","児発放デイ売上高","0","0","0","0","0","34,543","207,557","283,041","545,569","698,741","2,706,944","3,586,838"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","1,693,887","1,057,063","1,919,450","7,023,684","1,412,864","497,943","1,197,784","1,008,360","1,056,342","1,185,823","39,610,141","22,630,638"
"5111","期首棚卸高","1,128,600","1,128,600","1,128,600","1,128,600","1,128,600","1,128,600","1,128,600","1,128,600","1,128,600","1,128,600","1,128,600","1,128,600"
"5211","商品仕入高","0","0","0","0","0","1,245","14,157","2,225","3,527","1,060","21,176","8,568"
"5212","教材費等","52,000","10,880","18,000","50,220","112,205","4,531","12,045","32,700","4,205","56,817","1,809,300","762,813"
"5215","紹介手数料","0","0","0","0","0","0","0","0","0","90,000","120,000","2,548,680"
"5216","他売上原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","1,128,600","1,128,600","1,128,600","1,128,600","1,128,600","1,128,600","1,128,600","1,128,600","1,128,600","1,128,600","1,128,600","1,128,600"
,"当期売上原価","52,000","10,880","18,000","50,220","112,205","5,776","26,202","34,925","7,732","147,877","1,950,476","3,320,061"
,"売上総利益","1,641,887","1,046,183","1,901,450","6,973,464","1,300,659","492,167","1,171,582","973,435","1,048,610","1,037,946","37,659,665","19,310,577"
"6111","給与手当","2,083,419","1,976,137","1,505,528","1,747,677","2,001,555","2,323,253","2,103,138","2,477,535","2,769,569","2,635,401","3,048,330","3,376,539"
"6311","雑給","0","0","0","0","0","0","0","0","0","0","0","0"
"6112","旅費交通費","79,435","102,560","69,479","87,030","63,054","73,052","112,355","122,806","121,387","129,958","272,532","391,422"
"6113","広告宣伝費","10,300","10,300","10,300","10,300","10,300","10,300","10,300","10,300","10,300","13,800","10,300","10,300"
"6114","販売促進費","0","0","0","0","3,645","0","0","0","0","0","0","0"
"6115","発送配達費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","50,791","1,698,364","47,791","66,691","541,135","48,891","1,390,950","103,227","187,686","692,555","356,160","231,725"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6210","処遇改善手当","0","0","0","0","0","0","0","18,211","21,294","39,699","54,551","189,673"
"6213","従業員賞与","0","0","0","0","0","0","0","0","0","0","0","135,000"
"6312","法定福利費","583,854","390,735","390,735","-357,633","0","562,496","478,113","440,751","501,759","501,759","605,700","621,291"
"6226","厚生費","0","0","20,000","40,570","0","555,048","91,043","2,520","0","18,697","0","0"
"6119",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","248,000","248,000","248,000","248,000","248,000","248,000","248,000","248,000","248,000","248,000","248,000","248,000"
"6234","リース料","0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","386,364","386,364","386,364","386,364","386,364","386,364","335,364","390,000","408,182","386,364","643,864","853,864"
"6216","修繕費","0","0","0","0","0","0","0","0","0","228,500","0","0"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","10,057","42,173","72,743","43,672","56,306","72,720","59,927","55,723","68,311","58,834","88,227","73,677"
"6219","水道光熱費","24,104","22,516","29,062","38,585","41,297","72,759","70,085","82,236","97,564","124,904","117,827","101,861"
"6221","租税公課","0","30,000","17,000","0","1,200","17,000","0","17,000","45,210","37,700","0","121,000"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","1,000","0","0","32,749","0","2,300","0","0","907","828","0"
"6224","保険料","22,177","4,897","4,897","4,897","4,897","67,477","144,347","4,897","25,507","97,907","-10,593","116,777"
"6225","備品消耗品費","2,341","63,329","16,835","288,033","37,547","174,961","320,361","65,494","319,182","1,263,714","417,569","1,043,374"
"6227","管理諸費","85,773","482,243","129,313","61,220","57,909","53,529","52,334","50,000","50,000","64,845","56,500","57,864"
"6228","諸会費","0","0","2,000","12,000","0","0","8,000","0","10,000","0","24,000","27,400"
"6229","清掃・衛生費","0","0","0","0","0","0","0","30,000","0","30,000","30,000","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","227","0","0","0","0","0","0"
,"販売費及び一般管理費計","4,186,615","6,058,618","3,550,047","3,277,406","4,085,958","5,266,077","6,026,617","4,718,700","5,483,951","7,173,544","6,563,795","8,199,767"
,"営業利益（損失）","-2,544,728","-5,012,435","-1,648,597","3,696,058","-2,785,299","-4,773,910","-4,855,035","-3,745,265","-4,435,341","-6,135,598","31,095,870","11,110,810"
"7111","受取利息","0","0","325","67","0","0","0","0","375","57","0","0"
"7112","受取手数料","0","0","0","0","0","0","0","0","0","0","0","0"
"7113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","199","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","38,013","11,425","29,205","30,351","36,327","28,263","52,743","68,857","15,519","34,133","168,651","1,316,130"
,"営業外収益計","38,212","11,425","29,530","30,418","36,327","28,263","52,743","68,857","15,894","34,190","168,651","1,316,130"
"7511","支払利息","-31,817","0","68,968","34,597","0","67,185","-67,684","63,859","33,095","31,736","0","63,221"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7513",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7514","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","-31,817","0","68,968","34,597","0","67,185","-67,684","63,859","33,095","31,736","0","63,221"
,"経常利益（損失）","-2,474,699","-5,001,010","-1,688,035","3,691,879","-2,748,972","-4,812,832","-4,734,608","-3,740,267","-4,452,542","-6,133,144","31,264,521","12,363,719"
