"ｺｰﾄﾞ","勘定科目名"," 4年 12月"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"," 5年  9月"," 5年 10月"," 5年 11月"
"4111","売上高","4,828,768","5,029,099","4,670,243","5,558,296","5,292,479","5,601,546","5,164,198","4,727,712","4,539,214","4,968,109","5,548,638","5,436,680"
"4112","会員券売上高","234,638","167,730","244,822","425,637","272,730","246,819","542,819","250,369","371,456","254,000","303,000","270,000"
"4113","ゴルフ用品・雑貨売上高","70,984","79,010","44,702","60,887","52,594","59,032","62,058","78,076","59,829","47,630","65,841","65,386"
"4114","手数料収入","137,993","165,275","85,019","95,317","153,838","447,441","165,919","189,937","172,882","197,765","628,519","184,654"
"4115","ポイント値引・入会金返金(△)","624,230","696,381","641,172","764,559","674,636","628,294","702,163","569,363","582,626","571,556","638,301","627,498"
,"純売上高","4,648,153","4,744,733","4,403,614","5,375,578","5,097,005","5,726,544","5,232,831","4,676,731","4,560,755","4,895,948","5,907,697","5,329,222"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","0","246,818","0","0"
"5211","商品仕入高","26,331","11,251","72,469","0","66,781","41,583","5,240","20,084","111,937","5,471","4,416","74,969"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","0","0","175,957","0","0"
,"当期売上原価","26,331","11,251","72,469","0","66,781","41,583","5,240","20,084","111,937","76,332","4,416","74,969"
,"売上総利益","4,621,822","4,733,482","4,331,145","5,375,578","5,030,224","5,684,961","5,227,591","4,656,647","4,448,818","4,819,616","5,903,281","5,254,253"
"6111","プロ報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6311","雑給","577,774","521,787","466,861","488,808","474,109","563,340","591,809","701,750","654,188","504,153","632,103","579,147"
"6112","旅費交通費","49,522","44,997","39,254","44,030","44,299","47,823","44,201","54,108","46,282","43,718","56,721","46,194"
"6113","広告宣伝費","166,025","295,198","146,525","343,825","236,479","116,025","125,117","136,025","251,204","141,325","130,331","230,966"
"6114","教育訓練費","0","0","0","0","0","0","0","0","0","0","0","0"
"6115","接客サービス費","246,949","148,438","295,097","154,939","203,808","613,799","154,506","188,235","153,589","198,830","665,848","331,847"
"6116","コンペ参加諸費","25,477","40,012","59,392","17,200","18,033","9,350","12,000","79,727","10,673","93,557","0","15,000"
"6117","プレイ器具費","75,100","5,000","5,000","65,000","5,000","5,000","76,500","5,000","495,000","85,430","25,100","48,750"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","315,000","285,000","285,000","285,000","285,000","285,000","285,000","285,000","285,000","285,000","385,000","285,000"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","社員給与","1,149,522","1,055,930","1,051,876","1,106,385","1,171,329","1,133,667","1,103,055","1,145,456","1,155,562","1,170,021","1,114,578","1,088,465"
"6213","従業員賞与","99,000","99,000","99,000","99,000","99,000","-334,108","99,000","99,000","99,000","-97,000","99,000","110,345"
"6312","法定福利費","174,891","199,462","199,904","200,812","199,146","200,271","174,067","348,291","200,494","346,602","221,018","250,834"
"6226","厚生費","31,034","5,700","5,700","30,700","5,700","5,700","5,700","5,700","5,700","32,973","5,700","16,364"
"6119","退職手当等","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","224,000","285,000","285,000","285,000","285,000","285,000","285,000","285,000","285,000","370,061","233,792","233,792"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃・リース料","1,799,669","658,917","658,917","658,917","642,251","678,615","660,433","660,433","660,433","660,433","755,496","755,496"
"6216","修繕費","0","0","4,600","794,455","0","24,364","110,300","0","111,879","20,000","0","273,760"
"6217","事務用消耗品費","24,798","9,485","26,751","29,058","12,733","18,003","18,778","24,366","32,180","4,509","32,336","17,696"
"6218","通信交通費","7,606","6,645","7,481","0","6,377","0","0","916","13,383","2,434","5,735","0"
"6219","水道光熱費","167,466","225,395","263,934","219,488","143,869","143,006","111,503","161,922","122,991","113,410","144,931","131,531"
"6221","租税公課","6,000","5,600","40,000","0","0","22,500","0","106,000","23,950","132,000","35,541","35,541"
"6222","会議費","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","14,358","0","0","0","0","19,626","0","6,185","0","0","2,287","28,609"
"6224","保険料","112,930","55,490","48,430","-20,330","82,893","0","0","0","9,000","460,596","38,310","38,310"
"6225","備品消耗品費","51,729","57,703","23,227","46,380","45,449","24,617","22,521","42,351","36,232","29,635","33,085","71,363"
"6227","管理諸費","47,809","85,900","124,960","45,900","45,900","95,900","45,900","45,900","60,000","70,000","170,900","449,900"
"6228","寄附金","0","0","20,000","20,000","0","5,000","0","5,000","0","5,000","32,500","0"
"6229","その他の一般管理費","15,500","15,500","15,500","15,500","15,500","15,500","15,500","15,500","15,500","15,500","15,500","15,500"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
