"ｺｰﾄﾞ","勘定科目名"," 5年  8月"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"," 6年  4月"," 6年  5月"," 6年  6月"," 6年  7月"
"4111","売上高","0","0","8,081,389","8,081,991","11,150,398","7,537,943","6,919,752","8,636,719","7,314,757","7,861,588","6,734,562","5,693,953"
"4112",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4114",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","5,174"
,"純売上高","0","0","8,081,389","8,081,991","11,150,398","7,537,943","6,919,752","8,636,719","7,314,757","7,861,588","6,734,562","5,688,779"
"5111","期首棚卸高","0","0","1,284,756","1,174,263","1,288,526","1,763,044","1,467,791","1,289,193","1,192,216","1,297,712","1,291,784","1,141,586"
"5311","期末棚卸高        (△)","0","0","1,174,263","1,288,526","1,763,044","1,467,791","1,289,193","1,192,216","1,297,712","1,291,784","1,141,586","1,282,723"
"5211","商品仕入高","0","0","2,937,716","3,119,830","3,990,800","2,530,787","2,565,050","2,967,167","2,782,712","2,983,978","2,227,695","2,309,739"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","0","3,048,209","3,005,567","3,516,282","2,826,040","2,743,648","3,064,144","2,677,216","2,989,906","2,377,893","2,168,602"
,"売上総利益","0","0","5,033,180","5,076,424","7,634,116","4,711,903","4,176,104","5,572,575","4,637,541","4,871,682","4,356,669","3,520,177"
"6111","給与手当","0","0","1,303,182","1,189,628","1,250,639","1,109,500","1,158,944","1,235,735","1,131,544","1,014,831","822,635","1,161,674"
"6311","雑給","0","0","1,007,981","1,026,818","1,043,896","1,043,527","1,039,430","913,420","827,544","1,068,132","1,184,685","1,071,952"
"6112","旅費交通費","0","0","57,701","55,753","52,687","92,387","30,663","79,596","88,779","52,852","45,918","24,437"
"6113","広告宣伝費","0","0","305,576","302,583","413,160","362,756","237,110","432,329","285,254","277,375","271,322","241,687"
"6114","販売促進費","0","0","17,527","29,955","23,373","18,735","18,503","66,625","73,354","77,969","117,345","85,643"
"6115","荷造発送費","0","0","0","0","-3,347","0","0","0","0","764","1,391","0"
"6116","外注費","0","0","0","11,825","49,317","28,210","0","43,911","2,888","9,450","0","0"
"6117","支払手数料","0","0","183,172","135,700","153,419","804,670","178,486","190,708","157,556","158,446","169,673","347,812"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","62,499","62,499","168,535","62,499","62,499","62,499","62,499","62,499","81,093","62,499"
"6312","法定福利費","0","0","290,039","290,039","460,866","290,039","290,039","264,794","264,845","293,890","366,992","266,727"
"6226","厚生費","0","0","-5,032","63,964","7,188","11,733","49,748","57,359","88,547","335,842","140,622","14,187"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","0","79,323","79,323","79,323","79,323","79,323","79,323","79,323","79,323","79,323","79,323"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","0","477,262","477,262","477,262","477,262","477,262","477,262","477,262","477,262","477,262","167,954"
"6216","修繕／車両関係費","0","0","55,000","27,500","66,000","77,000","10,000","49,500","66,000","22,000","22,000","601,364"
"6217","事務用消耗品費","0","0","403","0","0","0","200","0","0","0","0","0"
"6218","通信交通費","0","0","9,251","9,184","9,203","9,320","9,432","9,196","6,592","6,867","11,999","9,534"
"6219","水道光熱費","0","0","804,995","471,161","348,502","502,580","392,766","472,678","378,676","461,875","381,118","574,495"
"6221","租税公課","0","0","4,000","800","0","6,000","2,000","5,000","2,000","4,000","0","18,000"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","30,000"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","0","0","0","50,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000"
"6225","備品消耗品費","0","0","173,722","107,207","242,344","99,861","85,773","139,448","112,521","129,801","86,292","1,782,334"
"6227","管理諸費","0","0","6,564","6,564","6,564","6,564","106,727","6,564","6,695","6,564","17,876","93,140"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","1,000","17,800","0","32,000","1,000","1,000","31,000","1,000","1,000","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","3,000","0","0","0","0"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","0","0","4,834,165","4,415,565","4,873,931","5,138,966","4,254,905","4,614,947","4,167,879","4,565,742","4,303,546","6,657,762"
,"営業利益（損失）","0","0","199,015","660,859","2,760,185","-427,063","-78,801","957,628","469,662","305,940","53,123","-3,137,585"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","100,000"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","100,000"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","0","0","0"
"7514",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","0","0","0","0"
,"経常利益（損失）","0","0","199,015","660,859","2,760,185","-427,063","-78,801","957,628","469,662","305,940","53,123","-3,037,585"
