"ｺｰﾄﾞ","勘定科目名"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"
"4111","売上高","8,089,151","7,060,439","7,688,491","5,599,583","8,748,532","8,046,898","6,242,812","9,875,536","7,037,552","7,179,633","6,379,315","7,631,764"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","8,089,151","7,060,439","7,688,491","5,599,583","8,748,532","8,046,898","6,242,812","9,875,536","7,037,552","7,179,633","6,379,315","7,631,764"
"5111","期首棚卸高","1,770,420","1,611,451","4,892,210","6,280,833","7,161,366","7,389,103","8,165,995","8,545,106","7,225,279","9,286,078","6,947,448","6,827,328"
"5211","商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5212","通信商品仕入高","5,611,752","10,085,524","7,281,138","4,399,104","6,454,852","7,747,607","6,048,984","7,021,970","7,362,662","2,979,975","4,201,844","5,471,874"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","1,611,451","4,892,210","6,280,833","7,161,366","7,389,103","8,165,995","8,545,106","7,225,279","9,286,078","6,947,448","6,827,328","6,667,433"
,"当期売上原価","5,770,721","6,804,765","5,892,515","3,518,571","6,227,115","6,970,715","5,669,873","8,341,797","5,301,863","5,318,605","4,321,964","5,631,769"
,"売上総利益","2,318,430","255,674","1,795,976","2,081,012","2,521,417","1,076,183","572,939","1,533,739","1,735,689","1,861,028","2,057,351","1,999,995"
"6111","給与手当","600,332","567,753","573,745","713,843","562,315","513,029","503,932","528,790","579,044","548,994","549,278","1,229,525"
"6311","雑給","0","0","0","0","0","0","0","0","0","0","0","0"
"6112","旅費交通費","26,495","19,131","27,513","33,098","29,728","33,730","32,594","29,410","35,630","27,983","42,318","34,847"
"6113","広告宣伝費","0","6,020","15,000","15,000","3,500","10,000","26,500","0","0","909","0","909"
"6114","販売促進費","0","0","0","0","0","0","26,509","0","0","0","0","90,909"
"6115","荷造発送費","0","2,580","0","2,240","540","640","1,830","540","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","181,791","164,069","165,589","129,772","189,280","246,647","188,237","192,584","16,400","222,489","305,251","224,389"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","-300,000","0","-100,000","0","0","0","0","162,500","285,792","0","0"
"6312","法定福利費","110,937","104,537","106,374","106,374","106,374","78,354","78,354","76,651","76,574","91,700","93,470","78,195"
"6226","厚生費","9,091","10,000","9,091","5,000","0","0","0","0","0","0","24,135","0"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","22,855","22,875","22,855","22,855","22,855","22,855","22,855","22,855","22,855","22,855","22,855","22,855"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","205,455","205,455","205,455","205,455","205,455","205,455","205,455","205,455","205,455","205,455","205,455","205,455"
"6216","修繕／車両関係費","0","0","0","0","0","0","0","0","0","0","0","0"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","35,552","15,109","2,947","29,394","5,247","27,726","19,914","15,422","5,249","36,277","20,142","5,750"
"6219","水道光熱費","20,089","21,488","18,079","17,683","16,770","26,539","33,261","33,790","28,656","24,660","16,032","20,348"
"6221","租税公課","0","2,000","0","2,000","0","0","0","2,000","2,000","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","5,000","10,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000"
"6225","備品消耗品費","8,793","7,677","13,351","11,147","6,650","18,479","15,280","56,341","8,098","20,732","33,915","7,914"
"6227","管理諸費","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,073","8,000","8,000","8,000","9,364"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","10,000","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","1,234,390","866,694","1,172,999","1,206,861","1,161,714","1,196,454","1,167,721","1,176,911","1,165,461","1,500,846","1,325,851","1,935,460"
,"営業利益（損失）","1,084,040","-611,020","622,977","874,151","1,359,703","-120,271","-594,782","356,828","570,228","360,182","731,500","64,535"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","0","0","0","0"
,"経常利益（損失）","1,084,040","-611,020","622,977","874,151","1,359,703","-120,271","-594,782","356,828","570,228","360,182","731,500","64,535"
