"ｺｰﾄﾞ","勘定科目名"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"
"4111","売上高","19,597,940","20,016,307","15,632,742","12,472,695","18,124,057","13,922,775","15,106,911","13,032,563","16,235,291","9,550,382","7,003,560","14,751,018"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","19,597,940","20,016,307","15,632,742","12,472,695","18,124,057","13,922,775","15,106,911","13,032,563","16,235,291","9,550,382","7,003,560","14,751,018"
"5111","期首棚卸高","1,872,798","1,338,594","3,464,573","1,672,232","1,209,252","1,643,888","2,250,488","1,638,821","1,497,548","1,541,459","1,584,906","2,454,165"
"5211","商品仕入高","8,400,537","11,473,167","5,357,785","5,297,767","8,498,764","7,138,025","6,561,738","6,251,381","8,353,671","5,151,144","4,141,677","7,032,185"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","1,338,594","3,464,573","1,672,232","1,209,252","1,643,888","2,250,488","1,638,821","1,497,548","1,541,459","1,584,906","2,454,165","1,426,480"
,"当期売上原価","8,934,741","9,347,188","7,150,126","5,760,747","8,064,128","6,531,425","7,173,405","6,392,654","8,309,760","5,107,697","3,272,418","8,059,870"
,"売上総利益","10,663,199","10,669,119","8,482,616","6,711,948","10,059,929","7,391,350","7,933,506","6,639,909","7,925,531","4,442,685","3,731,142","6,691,148"
"6111","給与手当","1,574,500","1,566,500","1,306,500","1,505,425","1,553,524","1,528,500","1,548,500","1,446,500","1,338,500","1,327,000","1,326,500","1,340,000"
"6311","雑給","2,441,272","2,572,668","2,273,491","1,898,605","2,306,926","2,018,439","2,163,244","2,088,892","2,347,942","1,604,073","1,609,745","2,128,856"
"6112","旅費交通費","89,235","93,690","87,587","83,793","119,663","96,925","100,466","83,548","104,593","85,779","83,425","92,969"
"6113","広告宣伝費","998,297","1,255,872","941,999","839,902","1,171,843","860,243","622,767","470,050","718,150","393,117","973,984","513,772"
"6114","販売促進費","88,569","129,280","104,144","131,299","116,742","99,627","94,848","113,019","96,055","85,347","74,311","122,757"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","628,264","590,335","524,373","428,416","517,964","434,456","462,187","442,826","535,205","351,109","262,072","440,914"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","192,500","0","0","0","0","0","80,000","0","0","0","0"
"6312","法定福利費","415,556","416,107","396,452","384,365","438,980","421,088","421,088","415,906","393,068","393,068","390,437","397,451"
"6226","厚生費","158,900","21,200","5,054","0","99,100","56,371","44,000","132,073","37,400","49,000","75,900","44,000"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","602,713","602,713","602,713","602,713","602,713","602,713","602,713","602,713","602,713","602,713","352,884","520,446"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","1,227,273","1,227,273","1,227,273","1,227,273","987,273","987,273","987,273","987,273","987,273","1,200,000","1,227,273","1,227,273"
"6216","修繕／車両関係費","0","25,000","56,000","65,700","8,000","286,250","0","591,300","829,080","0","159,780","56,175"
"6217","事務用消耗品費","0","0","0","0","0","0","0","2,545","891","0","0","0"
"6218","通信交通費","21,749","2,203","12,029","11,916","27,789","23,410","11,714","11,758","2,203","11,745","11,686","2,203"
"6219","水道光熱費","705,234","410,608","904,958","479,719","807,640","354,096","826,736","426,998","744,769","281,150","800,600","394,736"
"6221","租税公課","0","0","0","0","2,000","0","0","0","1,000","0","0","1,000"
"6222","寄付金","0","0","0","0","0","0","0","0","0","6,666","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000","120,000","60,000"
"6225","備品消耗品費","594,582","1,030,050","338,654","488,822","647,390","493,681","802,675","413,044","431,377","286,940","345,197","306,554"
"6227","管理諸費","76,680","277,180","194,320","232,330","174,138","231,680","630,680","232,980","221,876","232,330","192,330","227,232"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","30,000","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","9,682,824","10,473,179","9,035,547","8,440,278","9,641,685","8,554,752","9,378,891","8,631,425","9,452,095","6,970,037","8,006,124","7,876,338"
,"営業利益（損失）","980,375","195,940","-552,931","-1,728,330","418,244","-1,163,402","-1,445,385","-1,991,516","-1,526,564","-2,527,352","-4,274,982","-1,185,190"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","-330","330","0","0","0","0","0","26","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","83,334","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","-330","330","0","0","0","0","0","26","0","83,334","0"
,"経常利益（損失）","980,375","196,270","-553,261","-1,728,330","418,244","-1,163,402","-1,445,385","-1,991,516","-1,526,590","-2,527,352","-4,358,316","-1,185,190"
