"ｺｰﾄﾞ","勘定科目名"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"," 5年  3月"
"4111","売上高","3,550,173","2,608,678","2,659,883","4,997,529","4,837,545","4,506,231","2,550,314","2,447,167","4,584,019","3,113,226","3,157,953","3,980,818"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","3,550,173","2,608,678","2,659,883","4,997,529","4,837,545","4,506,231","2,550,314","2,447,167","4,584,019","3,113,226","3,157,953","3,980,818"
"5111","期首棚卸高","9,429,433","9,177,120","8,880,660","8,673,322","8,361,437","8,143,248","7,913,024","9,170,913","9,028,664","8,812,952","9,015,585","8,986,603"
"5211","商品仕入高","2,065,713","551,519","679,089","1,223,258","1,189,817","1,054,098","1,971,719","809,861","1,580,217","1,034,535","864,363","1,320,355"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","9,177,120","8,880,660","8,673,322","8,361,437","8,143,248","7,916,934","9,170,913","9,028,664","8,812,952","9,015,585","8,986,603","8,538,534"
,"当期売上原価","2,318,026","847,979","886,427","1,535,143","1,408,006","1,280,412","713,830","952,110","1,795,929","831,902","893,345","1,768,424"
,"売上総利益","1,232,147","1,760,699","1,773,456","3,462,386","3,429,539","3,225,819","1,836,484","1,495,057","2,788,090","2,281,324","2,264,608","2,212,394"
"6111","給与手当","431,230","631,230","671,230","651,230","633,230","651,230","631,230","631,230","254,000","234,000","234,000","234,000"
"6311","雑給","464,847","495,202","417,322","672,966","750,849","563,746","410,480","332,164","497,276","412,437","361,607","439,020"
"6112","旅費交通費","26,509","25,982","30,037","36,982","34,927","34,227","29,028","15,563","22,399","17,801","13,582","20,400"
"6113","広告宣伝費","90,682","94,457","199,801","178,231","208,612","241,892","121,860","111,304","141,542","-34,797","121,998","143,358"
"6114","販売促進費","61,360","56,306","43,207","57,260","67,710","72,618","50,788","38,810","87,755","35,658","47,514","41,389"
"6115","荷造発送費","600","1,155","2,673","891","600","3,336","600","0","891","0","2,055","1,364"
"6116","外注費","0","0","0","0","69,886","68,802","47,896","0","57,167","72,730","68,945","104,461"
