"ｺｰﾄﾞ","勘定科目名","31年  1月","31年  2月","31年  3月","31年  4月"," 1年  5月"," 1年  6月"," 1年  7月"," 1年  8月"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"
"4111","売上高","4,262,427","3,786,951","4,982,396","3,750,411","3,776,050","4,177,397","4,020,405","3,906,566","35,830,991","49,176,073","6,191,852","10,569,383"
"4112","賃貸料収入","250,000","250,000","250,000","250,000","250,000","250,000","250,000","250,000","254,630","250,000","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","49,309,566","33,124,198","34,351,951","27,474,839","25,727,527","29,440,845","0","0","40,398,116","43,143,299"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","4,512,427","4,036,951","54,541,962","37,124,609","38,378,001","31,902,236","29,997,932","33,597,411","36,085,621","49,426,073","46,589,968","53,712,682"
"5111","期首たな卸高","0","0","4,188,094","3,616,177","3,836,774","3,673,604","3,611,037","3,239,779","3,219,343","3,599,775","3,571,236","3,476,272"
"5211","商品仕入高","29,181","7,980","32,947","7,693","20,066","1,160","39,866","12,150","156,365","13,187","1,268","64,800"
"5212","通信商品仕入高","0","0","40,925,761","26,889,666","27,465,777","21,526,578","20,256,325","22,926,811","24,980,693","36,727,479","33,788,873","35,837,733"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","0","0","3,616,177","3,836,774","3,673,604","3,611,037","3,239,779","3,219,343","3,599,775","3,571,236","3,476,272","2,952,323"
,"当期売上原価","29,181","7,980","41,530,625","26,676,762","27,649,013","21,590,305","20,667,449","22,959,397","24,756,626","36,769,205","33,885,105","36,426,482"
,"売上総利益","4,483,246","4,028,971","13,011,337","10,447,847","10,728,988","10,311,931","9,330,483","10,638,014","11,328,995","12,656,868","12,704,863","17,286,200"
"6111","給与手当","4,214,734","4,428,008","6,006,033","4,001,189","4,305,883","4,604,647","5,277,344","4,308,137","4,387,409","4,914,382","4,661,116","4,586,901"
"6311","雑給","0","0","0","0","0","0","0","0","0","0","0","0"
"6112","旅費交通費","80,477","84,114","78,821","62,959","103,659","75,018","127,993","89,240","86,601","89,216","93,387","138,586"
"6113","広告宣伝費","327,900","86,056","782,252","163,630","60,130","376,447","35,000","131,776","40,556","490,340","857,864","982,805"
"6114","販売促進費","26,197","45,811","15,460","22,948","823,946","28,378","391,567","34,950","42,419","221,279","666,416","70,966"
"6115","荷造発送費","920","505","770","111","1,735","770","385","0","0","1,448","0","510"
"6116","外注費","1,360,944","-170,000","540,037","1,047,519","941,963","1,027,963","991,963","3,575,150","2,978,023","3,403,811","3,383,749","3,202,124"
"6117","支払手数料","97,619","79,968","104,183","171,007","139,846","141,474","96,991","84,772","166,653","686,917","357,015","347,443"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","424,858","424,858","424,858","-849,716","424,858","424,858","-849,716","424,858","424,858"
"6312","法定福利費","646,904","682,472","677,278","611,762","642,617","676,277","676,277","700,898","713,520","668,640","640,726","674,386"
"6226","厚生費","0","50,000","191,150","11,150","140,000","50,150","0","0","49,056","0","5,454","59,776"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","47,472","47,472","47,472","47,472","47,472","47,472","47,472","47,472","615,468","579,552","579,552","579,552"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","600,000","600,000","600,000","600,000","600,000","600,000","609,259","609,260","629,630","3,080,300","2,629,818","3,229,818"
"6216","修繕／車両関係費","0","0","0","0","0","0","0","0","0","40,000","39,600","0"
"6217","事務用消耗品費","35,826","23,995","80,048","0","25,879","49,063","58,421","45,192","36,210","61,259","61,961","28,275"
"6218","通信交通費","151,537","84,708","20,424","77,100","170,701","15,875","161,353","14,298","192,042","138,043","45,416","118,790"
"6219","水道光熱費","149,584","192,164","181,838","158,242","127,818","139,197","141,817","175,651","213,248","272,098","214,046","103,395"
"6221","租税公課","0","5,000","5,000","10,000","0","4,000","10,000","5,000","10,000","0","10,000","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","10,000","0","0"
"6223","接待交際費","2,000","2,694","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","7,886","7,886","7,886","7,886","7,886","7,886","7,886","7,886","7,886","10,000","10,000","10,000"
"6225","備品消耗品費","97,929","23,937","156,718","214,840","157,020","103,809","485,706","75,892","1,155,252","582,131","268,621","170,618"
"6227","管理諸費","104,232","92,774","84,093","143,894","98,514","150,737","103,362","86,450","37,111","34,235","20,499","10,900"
