"ｺｰﾄﾞ","勘定科目名","31年  2月","31年  3月","31年  4月"," 1年  5月"," 1年  6月"," 1年  7月"," 1年  8月"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"," 2年  1月"
"4111","売上高","6,678,957","9,848,608","12,892,502","12,215,796","4,954,213","8,368,773","18,744,916","3,425,254","4,590,904","6,943,270","3,592,399","3,141,384"
"4112","賃貸料収入","2,492,225","3,539,183","2,956,217","3,273,948","2,562,154","3,190,574","9,947,480","7,342,541","4,450,979","3,257,906","2,714,542","3,810,069"
"4113","ＬＬＰ収益","0","0","226,630,002","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","9,171,182","13,387,791","242,478,721","15,489,744","7,516,367","11,559,347","28,692,396","10,767,795","9,041,883","10,201,176","6,306,941","6,951,453"
"5111","期首たな卸高","0","0","0","0","0","0","0","0","0","0","0","0"
"5211","商品仕入高","0","0","0","0","0","0","511,390","0","0","0","0","-229,265"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","1,251,227","1,498,476","1,738,617","1,511,825","1,293,241","1,744,757","1,390,689","1,211,555","1,412,778","1,265,222","35,301","38,670"
"5216","ＬＬＰ原価","0","0","113,883,830","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","1,251,227","1,498,476","115,622,447","1,511,825","1,293,241","1,744,757","1,902,079","1,211,555","1,412,778","1,265,222","35,301","-190,595"
,"売上総利益","7,919,955","11,889,315","126,856,274","13,977,919","6,223,126","9,814,590","26,790,317","9,556,240","7,629,105","8,935,954","6,271,640","7,142,048"
"6111","給与手当","1,532,445","2,092,439","5,493,415","2,577,460","2,549,940","2,600,995","2,591,200","2,577,630","2,522,640","2,562,645","1,616,944","1,352,500"
"6311","雑給","0","0","0","0","0","0","0","387,176","0","0","-50,000","257,494"
"6112","旅費交通費","675,869","287,369","912,401","467,494","481,290","448,821","260,951","1,275,967","969,180","1,851,406","521,165","-601,952"
"6113","広告宣伝費","855,823","989,935","1,046,524","6,354,759","1,730,416","955,102","897,059","1,209,462","1,354,579","1,150,672","2,255,535","359,687"
"6114","販売促進費","406,212","1,127,567","393,912","294,791","424,416","468,905","562,449","306,926","874,843","395,174","250,780","450,765"
"6115","荷造発送費","0","2,770","4,700","1,471","1,060","15,624","2,449","840","2,230","910","22,090","840"
"6116","外注費","545,815","550,370","536,556","565,815","536,556","529,296","594,556","500,000","500,000","523,382","500,000","0"
"6117","支払手数料","4,857,971","613,517","605,432","466,312","1,068,776","740,440","1,406,294","743,993","3,307,096","1,214,080","826,911","3,730,184"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","9,030,000","9,030,000","8,330,000","8,330,000","8,330,000","8,330,000","8,330,000","8,330,000","8,330,000","8,330,000","8,330,000","8,330,000"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","170,000","170,000","170,000","170,000","-174,000","170,000","170,000","170,000","170,000","170,000","-274,000","170,000"
"6312","法定福利費","3,459,974","39,035","-881,349","491,095","4,469","3,016,765","-65,002","6,042,568","39,493","-87,999","-32,572","427,578"
"6226","厚生費","19,338,190","8,377,421","1,506,120","204,718","837,489","5,510,049","4,452,386","-3,195,296","507,078","5,087,539","-677,321","83,344"
"6119","退職金","0","0","0","2,000,000","0","0","0","0","0","0","0","0"
"6214","減価償却費","5,320,074","5,320,074","5,320,074","5,320,074","5,320,074","5,320,074","5,320,074","8,535,955","5,860,641","5,860,641","5,860,641","5,860,641"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","2,162,592","2,166,852","2,057,962","2,035,740","2,044,536","2,046,851","3,189,444","2,219,629","3,557,212","964,546","985,455","963,636"
"6216","修繕／車両関係費","98,111","865,200","0","95,593","98,703","46,300","92,000","3,344,648","90,654","10,050","229,400","0"
"6217","事務用消耗品費","0","0","0","0","13,000","0","21,461","20,489","0","21,423","0","0"
"6218","通信交通費","212,027","108,561","251,249","358,657","128,632","390,580","62,985","2,283,982","185,222","46,821","184,604","316,828"
"6219","水道光熱費","644,223","735,663","472,674","571,898","397,636","483,967","408,786","58,227","481,871","416,965","909,558","154,164"
"6221","租税公課","45,100","764,500","47,000","4,182,100","9,800","4,979,800","795,000","11,421,670","25,900","0","10,000","560,900"
"6222","寄付金","0","0","10,000","50,000","20,000","10,000","10,000","75,000","50,000","0","9,000","0"
"6223","接待交際費","1,105,220","987,052","604,870","839,299","878,107","1,496,824","1,023,887","1,509,778","587,293","885,868","1,419,174","560,978"
"6224","保険料","188,682","213,752","-31,898","-31,898","-6,068","37,212","-31,898","1,225,664","81,745","25,635","22,990","22,990"
"6225","備品消耗品費","440,726","2,790","294,616","1,284,945","176,577","530,477","217,790","5,969,876","90,220","115,017","155,863","-65,326"
"6227","管理諸費","6,792,077","1,523,283","2,142,579","1,624,914","1,567,180","1,562,337","576,548","1,804,769","1,454,075","3,398,385","1,173,932","3,144,201"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","60,000","205,000","346,200","205,000","362,680","199,000","72,000","66,000","155,000","269,500","125,000","60,000"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","451,853","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","57,941,131","36,173,150","29,633,037","38,460,237","26,801,269","39,889,419","30,960,419","57,336,806","31,196,972","33,212,660","24,375,149","26,139,452"
,"営業利益（損失）","-50,021,176","-24,283,835","97,223,237","-24,482,318","-20,578,143","-30,074,829","-4,170,102","-47,780,566","-23,567,867","-24,276,706","-18,103,509","-18,997,404"
"7111","受取利息","1,310","647","0","75,076","4","5","75,855","794,408","10","405,002","6","5"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
