"ｺｰﾄﾞ","勘定科目名"," 2年  5月"," 2年  6月"," 2年  7月"," 2年  8月"," 2年  9月"," 2年 10月"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"
"4111","売上高","5,371,440","5,296,640","5,253,061","5,006,150","5,387,828","5,592,211","5,567,984","5,044,470","5,298,818","4,158,730","5,346,660","5,392,959"
"4112","会員券売上高","201,094","158,365","228,093","191,004","280,365","179,821","318,181","310,094","188,911","162,001","273,637","141,637"
"4113","ゴルフ用品・雑貨売上高","60,529","45,646","85,921","65,747","123,937","65,087","54,584","65,124","53,078","36,253","39,414","56,716"
"4114","手数料収入","69,711","118,476","133,224","142,999","167,877","111,496","130,708","123,727","87,305","191,077","101,151","158,014"
"4115","ポイント値引・入会金返金(△)","846,914","916,923","757,105","787,889","832,972","808,016","914,265","871,008","842,789","701,623","954,674","768,507"
,"純売上高","4,855,860","4,702,204","4,943,194","4,618,011","5,127,035","5,140,599","5,157,192","4,672,407","4,785,323","3,846,438","4,806,188","4,980,819"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","0","331,818","0","0"
"5211","商品仕入高","39,346","42,914","50,869","133,559","72,257","60,801","9,701","16,995","50,893","5,803","75,932","32,382"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","0","0","301,996","0","0"
,"当期売上原価","39,346","42,914","50,869","133,559","72,257","60,801","9,701","16,995","50,893","35,625","75,932","32,382"
,"売上総利益","4,816,514","4,659,290","4,892,325","4,484,452","5,054,778","5,079,798","5,147,491","4,655,412","4,734,430","3,810,813","4,730,256","4,948,437"
"6111","プロ報酬","0","5,454","8,182","7,273","7,273","7,273","7,273","5,454","909","0","0","0"
"6311","雑給","802,743","732,737","757,360","791,838","774,143","767,642","740,463","810,217","694,936","512,566","625,024","599,294"
"6112","旅費交通費","32,088","31,149","31,625","30,019","29,256","31,650","31,684","34,521","33,104","25,925","30,307","35,347"
"6113","広告宣伝費","178,400","143,400","169,309","143,400","713,593","240,382","226,700","412,100","165,200","169,500","270,245","196,200"
"6114","教育訓練費","0","0","0","0","0","0","0","0","0","0","0","0"
"6115","接客サービス費","152,636","163,978","159,243","228,327","182,345","148,435","181,984","181,696","133,440","294,001","121,422","131,632"
"6116","コンペ参加諸費","1,941","26,054","17,155","25,296","54,714","12,573","21,554","19,587","27,234","23,515","15,828","33,873"
"6117","プレイ器具費","0","120,370","66,269","126,684","125,454","0","373,594","0","42,460","0","16,220","8,930"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","165,000","165,000","165,000","165,000","165,000","165,000","165,000","165,000","165,000","165,000","165,000","165,000"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","社員給与","866,019","945,278","946,050","952,932","945,064","1,040,891","987,805","989,973","967,114","927,977","953,327","949,259"
"6213","従業員賞与","25,000","25,000","25,000","25,000","25,000","25,000","25,000","55,000","25,000","25,000","25,000","25,000"
"6312","法定福利費","127,297","127,331","127,223","285,973","127,170","132,927","130,098","278,828","179,077","182,236","179,084","179,100"
"6226","厚生費","4,649","0","0","6,000","41,333","41,162","25,485","43,791","7,359","4,541","20,995","620"
"6119","退職手当等","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","295,000","295,000","295,000","295,000","295,000","295,000","295,000","295,000","295,000","373,214","286,000","286,000"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃・リース料","861,983","0","0","0","0","0","0","0","0","61,183","0","0"
"6216","修繕費","0","54,800","59,660","267,163","100,000","165,175","2,718","727,200","83,000","352,850","58,800","15,000"
"6217","事務用消耗品費","55,998","56,284","17,684","17,405","23,438","1,610","18,855","2,475","23,599","0","20,403","24,222"
"6218","通信交通費","12,767","14,476","21,579","12,756","12,764","22,047","12,763","18,707","12,654","12,550","15,305","19,029"
"6219","水道光熱費","52,183","118,428","169,024","114,844","175,456","127,517","166,052","111,127","173,121","184,454","233,023","127,678"
