"ｺｰﾄﾞ","勘定科目名"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"," 6年  4月"," 6年  5月"," 6年  6月"," 6年  7月"," 6年  8月"
"4111","売上高","0","13,918,736","14,243,425","25,352,017","15,954,046","12,766,399","15,873,682","13,462,349","12,943,064","13,389,579","12,430,430","12,585,136"
"4112",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4114",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","13,947","24,781"
,"純売上高","0","13,918,736","14,243,425","25,352,017","15,954,046","12,766,399","15,873,682","13,462,349","12,943,064","13,389,579","12,416,483","12,560,355"
"5111","期首棚卸高","0","13,727,568","12,808,119","15,138,283","17,381,633","15,200,377","13,787,369","11,829,986","15,651,296","16,234,512","15,265,454","20,409,583"
"5311","期末棚卸高        (△)","0","12,808,119","15,138,283","17,381,633","15,200,377","13,787,369","11,829,986","15,651,296","16,234,512","15,265,454","20,409,583","18,816,795"
"5211","商品仕入高","0","3,704,869","7,068,320","11,315,348","2,811,918","2,481,367","3,508,268","8,488,339","5,015,520","3,420,090","9,226,324","3,009,927"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","4,624,318","4,738,156","9,071,998","4,993,174","3,894,375","5,465,651","4,667,029","4,432,304","4,389,148","4,082,195","4,602,715"
,"売上総利益","0","9,294,418","9,505,269","16,280,019","10,960,872","8,872,024","10,408,031","8,795,320","8,510,760","9,000,431","8,334,288","7,957,640"
"6111","給与手当","0","1,422,910","1,509,473","1,509,839","1,427,000","1,692,000","1,369,200","1,613,600","1,269,400","1,319,400","1,284,400","1,224,400"
"6311","雑給","0","2,434,873","2,450,412","3,188,107","2,896,053","2,424,417","2,981,764","2,644,776","3,064,023","2,472,411","2,367,668","2,384,385"
"6112","旅費交通費","0","99,967","109,126","110,946","124,700","61,260","82,438","85,253","96,306","94,440","63,606","76,721"
"6113","広告宣伝費","0","885,314","1,001,394","976,632","689,571","1,152,379","766,191","721,935","683,415","830,454","773,850","756,286"
"6114","販売促進費","0","183,973","237,517","235,123","286,937","349,412","313,649","278,651","260,184","359,858","227,099","178,794"
"6115","荷造発送費","0","2,200","0","0","1,100","4,474","2,800","11,200","0","0","11,200","4,005"
"6116","外注費","0","35,041","17,834","47,750","34,884","21,017","21,900","42,767","27,500","11,300","10,500","13,500"
"6117","支払手数料","0","490,726","517,352","788,434","585,091","518,802","527,151","436,336","463,233","442,409","409,318","424,088"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","60,333","60,333","79,477","60,333","60,333","60,333","60,333","60,333","-17,394","60,333","60,333"
"6312","法定福利費","0","491,838","460,983","561,577","460,983","460,983","430,128","429,658","393,063","481,308","400,071","406,237"
"6226","厚生費","0","17,000","32,588","50,400","11,733","197,004","80,003","141,287","163,708","199,664","7,187","89,234"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","116,664","116,664","116,664","116,664","116,664","116,664","116,664","116,664","116,664","116,664","116,664"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","640,818","640,818","640,818","640,818","640,818","640,818","640,818","640,818","640,818","640,818","640,818"
"6216","修繕／車両関係費","0","91,780","22,000","174,000","163,555","70,227","87,000","907,132","45,500","481,800","137,600","55,764"
"6217","事務用消耗品費","0","0","0","0","527","0","0","1,500","0","0","0","0"
"6218","通信交通費","0","16,949","11,960","10,959","20,513","29,002","21,286","6,564","24,140","10,628","15,111","36,496"
"6219","水道光熱費","0","737,852","508,982","370,561","604,654","422,582","581,781","467,223","585,838","593,841","660,062","643,991"
"6221","租税公課","0","0","5,000","5,000","0","6,000","4,000","0","0","0","6,100","4,000"
"6222","寄付金","0","0","0","0","0","0","0","10,000","0","0","0","5,000"
"6223","接待交際費","0","0","0","0","0","0","0","0","3,472","4,852","0","4,426"
"6224","保険料","0","0","60,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000"
