"ｺｰﾄﾞ","勘定科目名"," 1年  7月"," 1年  8月"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"," 2年  1月"," 2年  2月"," 2年  3月"," 2年  4月"," 2年  5月"," 2年  6月"
"4111","売上高","10,282,663","10,619,636","9,309,950","3,977,224","3,656,970","5,863,526","5,665,303","4,666,479","5,622,778","1,661,463","251,785","2,993,244"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","10,282,663","10,619,636","9,309,950","3,977,224","3,656,970","5,863,526","5,665,303","4,666,479","5,622,778","1,661,463","251,785","2,993,244"
"5111","期首たな卸高","11,596,408","12,922,818","11,489,915","10,306,002","11,254,792","10,586,381","10,320,637","8,975,480","9,919,293","9,406,900","9,127,730","9,098,658"
"5211","商品仕入高","4,853,805","3,152,285","2,513,136","2,273,877","935,890","1,823,651","1,000,234","2,698,111","1,772,761","439,102","37,070","723,552"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","12,922,818","11,489,915","10,305,502","11,254,792","10,586,381","10,320,637","8,975,480","9,919,293","9,406,900","9,127,730","9,098,658","8,813,614"
,"当期売上原価","3,527,395","4,585,188","3,697,549","1,325,087","1,604,301","2,089,395","2,345,391","1,754,298","2,285,154","718,272","66,142","1,008,596"
,"売上総利益","6,755,268","6,034,448","5,612,401","2,652,137","2,052,669","3,774,131","3,319,912","2,912,181","3,337,624","943,191","185,643","1,984,648"
"6111","給与手当","652,500","546,500","562,500","90,000","319,000","334,000","329,000","444,000","319,000","312,176","259,956","321,000"
"6311","雑給","1,594,795","1,680,822","1,527,543","1,305,402","1,176,146","1,358,478","1,158,263","1,160,027","1,053,058","945,582","785,947","946,478"
"6112","旅費交通費","102,951","94,101","87,399","76,418","78,679","100,964","79,604","79,776","81,171","47,051","11,018","39,709"
"6113","広告宣伝費","154,795","203,422","97,283","319,896","146,958","172,552","142,023","123,158","846,146","39,683","7,220","108,686"
"6114","販売促進費","8,970","31,925","51,309","16,000","18,727","115,736","45,848","57,269","59,004","45,655","25,364","30,790"
"6115","荷造発送費","0","-152","0","0","0","0","0","172","0","700","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","635,929","664,545","604,513","314,640","249,207","384,167","362,989","295,232","357,123","132,523","40,496","245,951"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","65,000","65,000","65,000","65,000","65,000","-149,682","65,000","65,000","65,000","0","0","0"
"6312","法定福利費","101,904","101,904","104,709","68,849","101,607","124,165","101,607","99,125","101,733","101,733","101,733","98,548"
"6226","厚生費","13,851","63,945","87,205","49,544","74,903","38,174","65,950","-2,691","16,667","0","0","0"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","134,403","134,403","3,254,996","181,704","181,704","181,704","181,704","181,704","181,704","181,704","181,704","181,704"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","330,000","330,000","336,111","330,000","330,000","330,000","330,000","330,000","330,000","330,000","0","0"
"6216","修繕／車両関係費","0","0","106,000","0","25,000","0","0","0","0","5,000","0","0"
"6217","事務用消耗品費","3,888","0","0","0","200","3,936","5,330","5,785","0","5,775","0","714"
"6218","通信交通費","23,968","3,494","23,538","13,292","2,916","14,832","23,902","3,360","23,852","13,097","3,360","22,492"
"6219","水道光熱費","265,223","245,620","324,384","275,800","266,067","213,719","362,846","328,002","295,486","331,570","31,234","111,408"
"6221","租税公課","0","0","0","0","0","0","0","0","0","0","200","0"
"6222","寄付金","0","0","0","0","0","0","9,000","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","25,000","0","0","0","0"
"6224","保険料","12,420","12,420","43,976","17,560","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000"
"6225","備品消耗品費","332,579","123,463","470,017","55,420","93,252","84,198","-460,212","38,778","134,445","25,136","74,710","24,146"
"6227","管理諸費","27,034","24,739","24,728","21,079","43,942","26,987","24,112","20,197","31,618","51,870","2,495","18,455"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","10,000","10,000","10,000","10,000","16,000","10,000","30,000","10,000","22,000","10,000","10,000","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","4,470,210","4,336,151","7,781,211","3,210,604","3,204,308","3,358,930","2,871,966","3,278,894","3,933,007","2,594,255","1,550,437","2,165,081"
,"営業利益（損失）","2,285,058","1,698,297","-2,168,810","-558,467","-1,151,639","415,201","447,946","-366,713","-595,383","-1,651,064","-1,364,794","-180,433"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","0","0","0","0"
,"経常利益（損失）","2,285,058","1,698,297","-2,168,810","-558,467","-1,151,639","415,201","447,946","-366,713","-595,383","-1,651,064","-1,364,794","-180,433"
