"ｺｰﾄﾞ","勘定科目名","31年  3月","31年  4月"," 1年  5月"," 1年  6月"," 1年  7月"," 1年  8月"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"," 2年  1月"," 2年  2月"
"4111","売上高","12,737,141","9,868,112","9,975,800","10,380,373","10,204,698","12,636,791","8,754,038","8,318,947","8,642,751","15,211,531","12,362,980","7,985,842"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","96,026","79,657","82,250","62,229","75,973","89,685","124,708","67,631","69,460","124,030","84,807","69,155"
,"純売上高","12,641,115","9,788,455","9,893,550","10,318,144","10,128,725","12,547,106","8,629,330","8,251,316","8,573,291","15,087,501","12,278,173","7,916,687"
"5111","期首たな卸高","534,486","667,772","655,833","682,723","512,625","584,658","640,921","584,423","642,466","627,585","1,147,596","722,416"
"5211","商品仕入高","1,467,268","1,093,876","1,067,760","907,994","1,260,559","1,298,698","1,032,333","930,469","971,188","2,072,877","1,023,806","768,705"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","667,772","655,833","682,723","512,625","584,658","640,921","584,423","642,466","627,585","1,147,596","722,416","586,420"
,"当期売上原価","1,333,982","1,105,815","1,040,870","1,078,092","1,188,526","1,242,435","1,088,831","872,426","986,069","1,552,866","1,448,986","904,701"
,"売上総利益","11,307,133","8,682,640","8,852,680","9,240,052","8,940,199","11,304,671","7,540,499","7,378,890","7,587,222","13,534,635","10,829,187","7,011,986"
"6111","給与手当","1,050,860","981,220","994,955","985,495","1,003,080","1,060,665","1,009,245","996,540","1,012,900","1,095,354","1,052,900","1,019,900"
"6311","雑給","1,094,987","859,570","937,690","961,238","847,087","974,654","807,331","688,780","826,908","1,200,948","827,433","815,811"
"6112","旅費交通費","86,074","77,306","80,288","79,887","75,315","75,157","69,098","58,800","62,100","71,519","72,168","63,355"
"6113","広告宣伝費","295,423","331,111","353,070","187,134","215,586","231,889","183,355","167,248","350,840","272,898","219,579","211,281"
"6114","販売促進費","126,038","113,960","144,931","132,549","145,613","97,202","113,878","99,217","113,560","188,862","50,940","127,198"
"6115","荷造発送費","0","0","0","0","947","0","0","0","982","0","827","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","434,845","465,925","468,345","436,342","441,127","451,390","450,618","441,774","456,414","456,788","435,828","440,810"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","10,000","10,000","10,000","8,418","10,000","10,000","10,000","10,000","10,000","104,842","10,000","10,000"
"6312","法定福利費","135,496","135,496","135,496","143,686","137,399","137,399","146,987","151,587","151,587","173,093","151,587","162,713"
