ｺｰﾄﾞ,勘定科目名, 2年  8月, 2年  9月, 2年 10月, 2年 11月, 2年 12月, 3年  1月, 3年  2月, 3年  3月, 3年  4月, 3年  5月, 3年  6月, 3年  7月
4111,プレイ売上高,"10,073,637","10,992,573","11,189,893","11,047,088","9,997,612","10,853,816","9,756,036","11,320,801","11,244,689","12,514,251","10,973,754","9,338,283"
4112,会員券売上高,"373,549","542,003","473,095","524,002","678,917","421,368","363,093","700,098","403,277","401,461","368,006","607,277"
4113,ゴルフ用品・雑貨売上高,"160,632","204,196","132,327","116,629","152,875","116,102","121,086","118,790","124,570","142,589","136,287","157,029"
4114,手数料収入,"323,469","375,410","670,214","310,035","314,300","251,631","367,039","298,647","337,253","692,932","324,581","295,283"
4115,ポイント値引・入会金返金(△),"1,513,517","1,758,642","1,556,387","1,812,429","1,889,382","1,887,655","1,772,688","2,129,185","1,677,352","1,802,616","1,874,447","1,636,146"
,純売上高,"9,417,770","10,355,540","10,909,142","10,185,325","9,254,322","9,755,262","8,834,566","10,309,151","10,432,437","11,948,617","9,928,181","8,761,726"
5111,期首棚卸高,0,"248,274",0,0,0,0,"331,818",0,0,0,0,0
5211,商品仕入高,"246,508","151,354","69,699","46,783","51,833","99,793","66,682","91,290","79,029","68,201","143,866","77,189"
5212,,0,0,0,0,0,0,0,0,0,0,0,0
5215,,0,0,0,0,0,0,0,0,0,0,0,0
5213,仕入値引戻し高    (△),0,0,0,0,0,0,0,0,0,0,0,0
,当期製品製造原価,0,0,0,0,0,0,0,0,0,0,0,0
5273,他勘定振替高      (△),0,0,0,0,0,0,0,0,0,0,0,0
5311,期末棚卸高        (△),0,"303,628",0,0,0,0,"301,996",0,0,0,0,0
,当期売上原価,"246,508","96,000","69,699","46,783","51,833","99,793","96,504","91,290","79,029","68,201","143,866","77,189"
,売上総利益,"9,171,262","10,259,540","10,839,443","10,138,542","9,202,489","9,655,469","8,738,062","10,217,861","10,353,408","11,880,416","9,784,315","8,684,537"
6111,プロ報酬,"7,273","7,273","7,273","7,273","5,454",909,0,0,0,0,0,0
6311,雑給,"1,372,229","1,466,542","1,574,646","1,457,022","1,475,674","1,372,481","1,167,305","1,307,191","1,301,815","1,398,316","1,283,517","1,338,002"
6112,旅費交通費,"31,638","29,620","31,650","33,504","34,885","33,286","25,925","31,763","36,984","30,730","29,856","34,083"
