"ｺｰﾄﾞ","勘定科目名"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"
"4111","売上高","14,680,123","12,804,564","13,809,605","13,597,258","18,073,305","15,517,742","13,152,496","18,367,576","16,083,780","15,035,841","16,250,498","16,237,314"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","14,680,123","12,804,564","13,809,605","13,597,258","18,073,305","15,517,742","13,152,496","18,367,576","16,083,780","15,035,841","16,250,498","16,237,314"
"5111","期首棚卸高","1,183,337","1,287,130","1,831,476","1,625,132","1,388,024","4,092,590","1,955,717","2,055,429","2,369,084","2,178,708","1,901,019","2,420,034"
"5211","商品仕入高","6,120,310","5,959,211","5,836,034","6,422,873","10,800,105","4,650,575","5,951,402","8,738,292","7,038,069","6,256,822","7,809,922","6,556,963"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","1,287,130","1,831,476","1,625,132","1,388,024","4,092,590","1,955,717","2,055,429","2,369,084","2,178,708","1,901,019","2,420,034","1,932,265"
,"当期売上原価","6,016,517","5,414,865","6,042,378","6,659,981","8,095,539","6,787,448","5,851,690","8,424,637","7,228,445","6,534,511","7,290,907","7,044,732"
,"売上総利益","8,663,606","7,389,699","7,767,227","6,937,277","9,977,766","8,730,294","7,300,806","9,942,939","8,855,335","8,501,330","8,959,591","9,192,582"
"6111","給与手当","1,269,500","1,154,500","1,025,000","1,025,000","1,167,412","1,025,000","1,050,000","1,025,000","1,050,000","1,029,400","1,070,900","1,044,900"
"6311","雑給","2,319,604","2,305,283","2,456,424","2,342,920","2,707,605","2,264,399","2,055,687","2,597,139","2,483,582","2,718,610","2,634,348","2,758,710"
"6112","旅費交通費","93,393","64,793","88,869","93,472","79,779","80,727","79,154","101,216","93,508","94,629","85,624","99,119"
"6113","広告宣伝費","735,208","602,777","833,584","847,703","933,382","1,060,642","894,714","1,087,735","803,102","723,734","979,640","684,010"
"6114","販売促進費","92,329","67,236","52,568","71,154","67,534","61,398","48,095","73,407","67,685","67,297","53,758","77,541"
"6115","荷造発送費","0","0","0","0","1,225","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","68,631","68,032","128,913","213,014","341,672","161,825","357,307","367,767","211,100"
"6117","支払手数料","509,031","600,352","573,842","490,858","1,035,512","601,817","550,951","646,526","707,442","597,337","630,976","701,364"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","98,000","98,000","65,333","65,333","-166,667","65,333","65,333","65,333","65,333","65,333","65,333","65,333"
