"ｺｰﾄﾞ","勘定科目名"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"
"4111","授業料等収入","6,641,059","2,458,041","865,673","1,058,336","342,636","957,432","1,453,887","767,063","1,769,450","5,973,684","732,864","413,400"
"4112","寮費等収入","1,334,875","770,000","600,000","0","1,506,000","794,000","240,000","240,000","100,000","1,000,000","630,000","0"
"4113","職業紹介売上高","0","0","1,252,500","0","0","0","0","0","0","0","0","0"
"4114","特定技能売上高","0","0","50,000","50,000","50,000","100,000","0","50,000","50,000","50,000","50,000","50,000"
"4116","児発放デイ売上高","0","0","0","0","0","0","0","0","0","0","0","34,543"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","7,975,934","3,228,041","2,768,173","1,108,336","1,898,636","1,851,432","1,693,887","1,057,063","1,919,450","7,023,684","1,412,864","497,943"
"5111","期首棚卸高","693,100","484,300","484,300","484,300","484,300","484,300","1,128,600","1,128,600","1,128,600","1,128,600","1,128,600","1,128,600"
"5211","商品仕入高","0","0","0","0","0","0","0","0","0","0","0","1,245"
"5212","教材費等","68,765","281,525","9,160","820,500","217,200","303,711","52,000","10,880","18,000","50,220","112,205","4,531"
"5215","紹介手数料","970,000","960,000","0","0","0","0","0","0","0","0","0","0"
"5216","他売上原価","0","0","0","136,364","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","484,300","484,300","484,300","484,300","484,300","1,128,600","1,128,600","1,128,600","1,128,600","1,128,600","1,128,600","1,128,600"
,"当期売上原価","1,247,565","1,241,525","9,160","956,864","217,200","-340,589","52,000","10,880","18,000","50,220","112,205","5,776"
,"売上総利益","6,728,369","1,986,516","2,759,013","151,472","1,681,436","2,192,021","1,641,887","1,046,183","1,901,450","6,973,464","1,300,659","492,167"
"6111","給与手当","1,376,899","1,922,313","1,644,267","1,767,027","1,824,565","1,264,819","2,083,419","1,976,137","1,505,528","1,747,677","2,001,555","2,323,253"
"6311","雑給","0","0","0","0","0","0","0","0","0","0","0","0"
"6112","旅費交通費","226,569","103,997","83,200","119,223","112,034","62,666","79,435","102,560","69,479","87,030","63,054","73,052"
"6113","広告宣伝費","10,300","10,300","10,300","10,300","10,300","10,300","10,300","10,300","10,300","10,300","10,300","10,300"
"6114","販売促進費","0","0","0","0","0","0","0","0","0","0","3,645","0"
"6115","発送配達費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","59,982","57,591","208,406","57,998","204,418","359,882","50,791","1,698,364","47,791","66,691","541,135","48,891"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","0","0","0","0","0","0","0"
"6312","法定福利費","396,738","396,738","396,738","390,774","390,735","781,470","583,854","390,735","390,735","-357,633","0","562,496"
"6226","厚生費","76,230","970","0","24,288","2,420","5,000","0","0","20,000","40,570","0","555,048"
"6119",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","245,000","245,000","245,000","245,000","245,000","232,809","248,000","248,000","248,000","248,000","248,000","248,000"
"6234","リース料","0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","1,171,364","801,364","801,364","746,364","386,364","386,364","386,364","386,364","386,364","386,364","386,364","386,364"
"6216","修繕費","0","0","0","0","0","0","0","0","0","0","0","0"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","48,762","39,737","75,516","47,776","68,438","89,369","10,057","42,173","72,743","43,672","56,306","72,720"
"6219","水道光熱費","36,576","-22,090","-53,837","71,169","254,034","24,523","24,104","22,516","29,062","38,585","41,297","72,759"
"6221","租税公課","0","39,000","0","0","17,600","0","0","30,000","17,000","0","1,200","17,000"
"6222","寄付金","20,000","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","16,500","3,545","0","0","0","1,000","0","0","32,749","0"
"6224","保険料","4,897","77,387","4,897","77,297","-66,323","19,457","22,177","4,897","4,897","4,897","4,897","67,477"
"6225","備品消耗品費","1,175,465","176,200","390,207","44,797","84,669","178,183","2,341","63,329","16,835","288,033","37,547","174,961"
"6227","管理諸費","55,543","65,000","50,000","75,216","50,000","105,976","85,773","482,243","129,313","61,220","57,909","53,529"
"6228","諸会費","8,000","0","0","0","37,000","93,600","0","0","2,000","12,000","0","0"
"6229",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","189,793","0","0","0","0","0","0","0","0","0","227"
,"販売費及び一般管理費計","5,512,325","4,703,300","4,472,558","4,280,774","4,221,254","4,214,418","4,186,615","6,058,618","3,550,047","3,277,406","4,085,958","5,266,077"
,"営業利益（損失）","1,216,044","-2,716,784","-1,713,545","-4,129,302","-2,539,818","-2,022,397","-2,544,728","-5,012,435","-1,648,597","3,696,058","-2,785,299","-4,773,910"
"7111","受取利息","0","0","270","120","0","111","0","0","325","67","0","0"
"7112","受取手数料","0","0","0","0","0","0","0","0","0","0","0","0"
"7113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","199","0","0","0","0","0"
"7118","雑収入","85,626","67,029","35,935","65,603","93,728","647,729","38,013","11,425","29,205","30,351","36,327","28,263"
,"営業外収益計","85,626","67,029","36,205","65,723","93,728","647,840","38,212","11,425","29,530","30,418","36,327","28,263"
"7511","支払利息","-47,712","35,798","32,333","-21,663","35,798","934,642","-31,817","0","68,968","34,597","0","67,185"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7513",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7514","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","50,000","0","0","0","0","0","0"
