"ｺｰﾄﾞ","勘定科目名"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"
"4111","売上高","16,042,232","17,459,219","18,413,889","18,097,566","23,764,274","18,027,263","19,903,348","21,860,068","19,629,357","24,520,439","16,595,747","19,238,360"
"4112","賃貸料収入","250,000","250,000","250,000","250,000","250,000","0","250,000","250,000","250,000","250,000","250,000","250,000"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","16,292,232","17,709,219","18,663,889","18,347,566","24,014,274","18,027,263","20,153,348","22,110,068","19,879,357","24,770,439","16,845,747","19,488,360"
"5111","期首棚卸高","3,538,177","3,744,269","3,359,193","3,300,010","3,682,447","3,711,377","3,711,088","3,522,724","3,369,663","3,602,579","3,536,607","3,627,458"
"5211","商品仕入高","0","0","0","0","0","0","0","151,350","0","0","0","0"
"5212","通信商品仕入高","11,123,624","12,404,180","13,237,881","13,574,728","19,028,461","13,594,016","14,818,170","16,635,559","14,553,722","17,986,919","12,063,796","13,731,839"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","3,744,269","3,359,193","3,300,010","3,682,447","3,711,377","3,711,088","3,522,724","3,369,663","3,602,579","3,536,607","3,627,458","3,368,858"
,"当期売上原価","10,917,532","12,789,256","13,297,064","13,192,291","18,999,531","13,594,305","15,006,534","16,939,970","14,320,806","18,052,891","11,972,945","13,990,439"
,"売上総利益","5,374,700","4,919,963","5,366,825","5,155,275","5,014,743","4,432,958","5,146,814","5,170,098","5,558,551","6,717,548","4,872,802","5,497,921"
"6111","給与手当","2,290,332","2,247,357","2,371,423","2,313,645","2,190,333","2,415,089","2,263,512","2,138,728","2,206,707","2,320,245","2,316,295","2,166,928"
"6311","雑給","564,800","532,750","572,675","433,900","405,600","395,925","422,388","422,625","405,272","421,050","383,495","387,735"
"6112","旅費交通費","88,555","72,957","72,515","58,080","59,617","41,441","43,735","44,217","40,009","45,990","41,204","44,380"
"6113","広告宣伝費","81,727","110,595","60,818","98,600","74,009","96,736","92,637","126,387","90,477","82,409","44,000","101,500"
