"ｺｰﾄﾞ","勘定科目名"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"
"4111","売上高","24,687,548","21,034,953","18,601,895","26,401,505","20,336,256","20,358,107","18,445,904","21,522,727","15,856,547","12,343,275","20,873,296","19,829,879"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","24,687,548","21,034,953","18,601,895","26,401,505","20,336,256","20,358,107","18,445,904","21,522,727","15,856,547","12,343,275","20,873,296","19,829,879"
"5111","期首棚卸高","2,348,089","4,379,000","1,859,896","2,009,255","2,428,693","2,860,000","2,012,392","2,004,650","2,824,818","2,330,321","2,051,045","2,126,156"
"5211","商品仕入高","13,651,616","6,822,725","8,544,071","11,380,154","9,479,221","8,695,173","8,396,584","11,140,975","7,548,658","6,543,542","9,792,217","9,765,496"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","4,379,000","1,859,896","2,009,255","2,428,693","2,860,000","2,012,392","2,004,650","2,824,818","2,330,321","2,051,045","2,126,156","2,610,118"
,"当期売上原価","11,620,705","9,341,829","8,394,712","10,960,716","9,047,914","9,542,781","8,404,326","10,320,807","8,043,155","6,822,818","9,717,106","9,281,534"
