"ｺｰﾄﾞ","勘定科目名"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"
"4111","売上高","4,225,688","3,536,419","3,583,380","3,933,427","10,692,818","6,462,286","7,880,138","7,872,430","7,073,466","8,002,554","19,579,381","6,173,493"
"4112","賃貸料収入","4,480,670","4,443,503","4,253,179","3,766,865","5,090,102","4,491,143","4,847,730","4,204,350","4,086,879","6,336,797","5,519,107","4,093,334"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","212,485,969","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","8,706,358","7,979,922","7,836,559","7,700,292","15,782,920","10,953,429","12,727,868","12,076,780","11,160,345","14,339,351","237,584,457","10,266,827"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","0","0","0","0"
"5211","商品仕入高","0","0","11,200","0","5,141,000","48,500","921,500","921,500","1,043,204","1,320,770","1,620,662","1,716,450"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","43,127","38,993","32,173","35,191","16,100","28,698","32,080","33,624","22,880","28,279","35,822","28,921"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","106,992,013","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","43,127","38,993","43,373","35,191","5,157,100","77,198","953,580","955,124","1,066,084","1,349,049","108,648,497","1,745,371"
,"売上総利益","8,663,231","7,940,929","7,793,186","7,665,101","10,625,820","10,876,231","11,774,288","11,121,656","10,094,261","12,990,302","128,935,960","8,521,456"
"6111","給与手当","1,814,500","1,845,500","1,814,500","1,814,500","1,904,500","2,832,000","2,737,424","1,814,500","1,814,500","2,264,500","1,814,500","664,500"
"6311","雑給","277,384","302,891","279,360","272,178","294,516","285,955","288,455","309,609","308,442","317,973","305,963","317,965"
"6112","旅費交通費","928,987","676,377","732,378","494,164","421,184","630,020","489,807","555,991","628,787","835,302","433,938","916,562"
"6113","広告宣伝費","412,838","1,018,233","531,550","427,654","461,462","486,291","1,626,746","2,159,429","449,929","1,168,416","131,101","1,934,018"
"6114","販売促進費","5,040","-168","0","0","44,930","0","191,212","52,308","149,636","56,625","45,267","27,273"
"6115","荷造発送費","1,180","21,104","2,975","590","1,070","1,800","1,110","690","6,095","4,580","1,065","0"
"6116","外注費","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000"
"6117","支払手数料","3,179,853","804,338","683,613","3,769,474","544,676","701,456","4,200,634","597,263","806,102","555,612","342,001","1,569,070"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","650,002","650,002","650,002","650,002","650,002","650,002","650,002","650,002","650,002","650,002","20,650,002","650,002"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","100,000","0","0","0","0","335,400","151,750","151,750","151,750","151,750","101,166"
"6312","法定福利費","-170,549","-639,576","-33,680","-584,389","98,749","-504,769","303,111","-425,151","2,017,805","-1,357,147","6,262,871","-826,966"
"6226","厚生費","930,091","685,644","890,656","754,955","4,161,538","4,888,273","490,490","1,879,583","4,961,347","210,980","146,790","260,287"
"6119","退職金","2,000,000","0","0","0","0","0","0","1,600,000","0","0","0","0"
