"ｺｰﾄﾞ","勘定科目名"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"
"4111","売上高","7,874,379","8,984,272","7,913,672","10,505,153","9,641,517","14,350,571","10,711,076","10,176,073","12,463,869","8,976,835","9,904,203","9,577,058"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","7,874,379","8,984,272","7,913,672","10,505,153","9,641,517","14,350,571","10,711,076","10,176,073","12,463,869","8,976,835","9,904,203","9,577,058"
"5111","期首棚卸高","694,753","807,753","728,301","1,026,375","785,143","958,444","1,887,779","931,566","917,161","1,191,880","970,981","861,606"
"5211","商品仕入高","3,267,854","3,593,492","3,562,140","3,685,193","3,908,746","6,270,257","3,306,814","3,914,753","5,184,833","3,328,846","3,723,814","3,947,251"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","807,753","728,301","1,026,375","785,143","958,444","1,887,779","931,566","917,161","1,191,880","970,981","861,606","1,067,148"
,"当期売上原価","3,154,854","3,672,944","3,264,066","3,926,425","3,735,445","5,340,922","4,263,027","3,929,158","4,910,114","3,549,745","3,833,189","3,741,709"
,"売上総利益","4,719,525","5,311,328","4,649,606","6,578,728","5,906,072","9,009,649","6,448,049","6,246,915","7,553,755","5,427,090","6,071,014","5,835,349"
"6111","給与手当","613,245","598,000","598,000","622,000","613,000","634,000","613,000","625,174","643,870","634,522","854,391","832,500"
"6311","雑給","1,334,545","1,508,674","1,254,728","1,483,669","1,608,852","2,018,294","1,676,592","1,657,144","1,745,852","1,342,857","1,358,465","1,327,964"
"6112","旅費交通費","70,095","92,044","89,924","89,987","37,709","50,700","62,207","77,604","71,756","85,782","82,238","86,399"
"6113","広告宣伝費","468,510","526,826","576,949","678,336","397,702","527,877","491,958","716,175","622,311","443,905","622,475","506,136"
"6114","販売促進費","34,774","46,981","31,273","35,010","48,673","42,397","36,531","34,720","33,300","26,367","28,913","26,279"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","236,839","302,610","289,633","324,752","317,732","308,996","301,901","327,397","287,746","466,181","267,156","294,650"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","82,500","82,500","82,500","55,000","55,000","-151,000","55,000","55,000","55,000","55,000","55,000","55,000"
"6312","法定福利費","133,199","148,444","157,994","138,809","207,252","221,277","210,057","210,021","210,146","161,142","189,216","296,036"
"6226","厚生費","-1,897","5,666","30,733","-2,655","44,878","53,546","10,384","-1,358","-22,345","165,395","165,333","96,657"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","76,715","76,715","-13,961","84,655","84,655","84,655","84,655","84,655","84,655","84,655","84,655","84,655"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","463,740","463,740","463,740","463,740","463,741","463,740","463,740","463,740","463,741","463,740","463,740","463,740"
"6216","修繕／車両関係費","350,000","0","27,600","281,545","74,750","30,360","0","0","0","0","930,818","11,000"
"6217","事務用消耗品費","134","0","1,868","0","0","0","0","0","0","0","5,290","0"
"6218","通信交通費","2,856","3,245","2,703","2,703","2,703","3,194","2,703","2,703","2,703","2,703","2,703","2,703"
"6219","水道光熱費","358,785","486,164","505,199","632,237","522,498","471,183","472,117","598,869","422,607","428,787","345,827","345,168"
"6221","租税公課","0","0","0","0","2,000","2,000","16,000","0","4,000","0","2,000","2,000"
