"ｺｰﾄﾞ","勘定科目名"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"," 5年  9月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"
"4111","売上高","454,826,398","367,888,605","285,520,037","258,645,856","292,497,031","303,256,183","313,861,581","26,172,826","22,075,640","26,257,879","25,414,149","28,865,874"
"4112","賃貸料収入","4,934,515","5,142,260","4,069,424","5,609,732","5,442,424","4,805,224","3,971,515","6,414,542","6,111,005","7,414,259","7,639,750","7,774,059"
"4113","ＬＬＰ収益","0","0","0","0","0","0","244,333,629","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","178,535","167,427","161,525","167,884","216,203","173,426","119,767","0","0","0","0","0"
,"純売上高","459,582,378","372,863,438","289,427,936","264,087,704","297,723,252","307,887,981","562,046,958","32,587,368","28,186,645","33,672,138","33,053,899","36,639,933"
"5111","期首棚卸高","87,122,844","92,367,849","92,919,709","92,353,035","54,222,550","66,426,992","63,752,423","0","0","0","0","0"
"5211","商品仕入高","126,491,617","97,573,888","104,939,823","100,172,493","118,878,719","107,187,917","107,400,303","7,900,000","6,140,000","7,900,000","8,800,000","7,000,000"
"5212","通信商品仕入高","94,654,961","65,728,193","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","26,698","28,918","24,390","29,700","26,698","36,808","22,880","43,925","27,755","27,010","21,501","23,520"
"5216","ＬＬＰ原価","0","0","0","0","0","0","135,186,388","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","92,367,849","92,919,709","92,353,035","54,222,550","66,426,992","63,752,423","60,322,578","0","0","0","0","0"
