"ｺｰﾄﾞ","勘定科目名"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"
"4111","売上高","3,396,582","3,025,948","2,954,148","3,317,193","0","0","3,127,184","4,459,690","7,061,917","2,612,035","892,885","1,819,426"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","3,396,582","3,025,948","2,954,148","3,317,193","0","0","3,127,184","4,459,690","7,061,917","2,612,035","892,885","1,819,426"
"5111","期首棚卸高","766,492","801,105","764,499","711,931","635,143","635,143","675,616","655,505","821,725","789,098","727,398","705,392"
"5211","商品仕入高","1,286,742","957,919","1,023,680","1,075,973","-6,481","54,498","1,120,093","1,727,052","2,571,536","829,176","454,533","788,137"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","801,105","764,499","711,931","635,143","635,143","675,616","655,505","821,725","789,098","727,398","705,392","817,704"
,"当期売上原価","1,252,129","994,525","1,076,248","1,152,761","-6,481","14,025","1,140,204","1,560,832","2,604,163","890,876","476,539","675,825"
,"売上総利益","2,144,453","2,031,423","1,877,900","2,164,432","6,481","-14,025","1,986,980","2,898,858","4,457,754","1,721,159","416,346","1,143,601"
"6111","給与手当","1,010,000","932,500","912,500","1,002,500","744,300","704,927","972,500","1,062,414","1,103,740","869,175","603,271","588,691"
"6311","雑給","314,876","258,551","321,023","270,656","218,120","209,760","252,260","271,172","710,213","483,165","335,205","329,680"
"6112","旅費交通費","36,819","38,316","27,705","32,789","2,209","164","34,931","40,358","43,969","31,409","20,562","22,466"
"6113","広告宣伝費","241,411","184,465","165,138","180,827","48,004","53,331","155,896","288,199","403,008","143,518","49,164","147,760"
"6114","販売促進費","59,608","63,401","70,687","52,356","31,689","21,955","51,252","60,050","57,061","22,417","30,355","21,494"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","51,439","47,294","44,828","55,186","59,903","21,581","70,586","57,419","65,567","93,458","38,609","25,124"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","67,000","0","0","0","0","0","112,500","0","0","0"
"6312","法定福利費","203,748","203,748","215,208","206,268","206,268","206,257","209,508","209,508","232,323","209,508","209,508","205,160"
"6226","厚生費","0","0","54,939","4,500","0","0","5,000","6,000","31,750","120,478","95,400","113,650"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","19,636","19,636","19,636","19,636","19,636","19,662","19,636","19,636","19,636","19,636","19,636","19,636"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","387,262","387,262","477,262","477,262","477,262","477,262","477,262","477,262","477,262","477,262","477,262","477,262"
"6216","修繕／車両関係費","68,200","0","0","11,000","0","0","0","2,327","0","0","0","0"
