"ｺｰﾄﾞ","勘定科目名"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"
"4111","売上高","5,099,603","5,249,681","5,788,167","4,954,630","4,937,512","4,923,901","5,209,798","5,844,989","5,389,272","4,384,841","4,862,031","4,592,622"
"4112","会員券売上高","228,090","157,363","215,094","130,274","210,459","282,274","286,914","504,454","281,277","294,459","220,637","251,547"
"4113","ゴルフ用品・雑貨売上高","60,052","73,924","68,493","47,266","68,877","48,558","49,614","65,642","75,870","63,869","47,062","56,188"
"4114","手数料収入","203,520","172,321","301,663","204,897","209,681","267,437","292,942","368,236","240,514","191,133","186,368","166,488"
"4115","ポイント値引・入会金返金(△)","800,170","778,797","891,049","704,915","761,867","820,968","783,308","865,987","863,365","718,385","743,361","805,976"
,"純売上高","4,791,095","4,874,492","5,482,368","4,632,152","4,664,662","4,701,202","5,055,960","5,917,334","5,123,568","4,215,917","4,572,737","4,260,869"
"5111","期首棚卸高","0","0","0","0","0","0","368,101","0","0","0","0","0"
"5211","商品仕入高","382","1,909","1,145","71,028","121,779","66,655","7,192","1,909","205,908","64,563","6,321","1,527"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","326,207","0","0","0","0","0"
,"当期売上原価","382","1,909","1,145","71,028","121,779","66,655","49,086","1,909","205,908","64,563","6,321","1,527"
,"売上総利益","4,790,713","4,872,583","5,481,223","4,561,124","4,542,883","4,634,547","5,006,874","5,915,425","4,917,660","4,151,354","4,566,416","4,259,342"
"6111","プロ報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6311","雑給","642,206","610,880","679,554","601,634","645,686","670,828","640,421","715,306","653,540","682,118","704,884","659,817"
"6112","旅費交通費","39,991","38,118","30,822","28,693","30,056","31,462","30,276","29,645","30,043","25,539","26,654","22,865"
"6113","広告宣伝費","301,445","364,400","237,445","173,100","296,400","367,473","604,700","433,270","190,400","206,525","195,025","191,025"
