"ｺｰﾄﾞ","勘定科目名"," 2年  6月"," 2年  7月"," 2年  8月"," 2年  9月"," 2年 10月"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"
"4111","プレイ売上高","5,228,175","5,845,904","5,067,487","5,604,745","5,597,682","5,479,104","4,953,142","5,554,998","5,597,306","5,974,141","5,851,730","6,439,429"
"4112","会員券売上高","235,548","405,819","182,545","261,638","293,274","205,821","368,823","232,457","201,092","426,461","261,640","221,733"
"4113","ゴルフ用品・雑貨売上高","84,568","65,556","94,885","80,259","67,240","62,045","87,751","63,024","84,833","79,376","67,854","75,499"
"4114","手数料収入","82,873","196,141","180,470","207,533","558,718","179,327","190,573","164,326","175,962","197,496","179,239","580,877"
"4115","ポイント値引・入会金返金(△)","753,216","793,393","725,628","925,670","748,371","898,164","1,018,374","1,044,866","1,071,065","1,174,511","908,845","912,511"
,"純売上高","4,877,948","5,720,027","4,799,759","5,228,505","5,768,543","5,028,133","4,581,915","4,969,939","4,988,128","5,502,963","5,451,618","6,405,027"
"5111","期首棚卸高","0","0","0","248,274","0","0","0","0","0","0","0","0"
"5211","商品仕入高","68,103","23,735","112,949","79,097","8,898","37,082","34,838","48,900","60,879","15,358","46,647","10,556"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期製品製造原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","303,628","0","0","0","0","0","0","0","0"
,"当期売上原価","68,103","23,735","112,949","23,743","8,898","37,082","34,838","48,900","60,879","15,358","46,647","10,556"
,"売上総利益","4,809,845","5,696,292","4,686,810","5,204,762","5,759,645","4,991,051","4,547,077","4,921,039","4,927,249","5,487,605","5,404,971","6,394,471"
"6111","プロ報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6311","雑給","576,359","568,963","580,391","692,399","807,004","716,559","665,457","677,545","654,739","682,167","702,521","773,546"
"6112","旅費交通費","0","527","1,619","364","0","1,820","364","182","0","1,456","1,637","0"
"6113","広告宣伝費","119,200","124,200","83,500","113,045","98,500","180,500","104,000","182,573","98,500","104,800","121,500","104,800"
"6114","教育訓練費","0","0","0","0","0","0","0","0","0","0","0","0"
"6115","接客サービス費","111,037","290,062","162,809","166,220","496,992","135,819","220,661","150,060","262,340","195,619","124,802","462,264"
"6116","コンペ参加諸費","12,527","58,772","26,354","32,868","7,000","36,518","32,240","41,047","31,068","26,154","57,587","3,809"
"6117","プレイ器具費","25,000","112,725","27,800","25,000","25,000","40,000","10,000","20,000","74,300","10,000","127,000","715,000"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","252,000","252,000","252,000","252,000","252,000","252,000","402,000","402,000","402,000","402,000","402,000","402,000"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","社員給与","1,076,801","1,175,695","1,067,031","1,127,601","1,110,694","1,059,074","1,032,258","1,089,959","1,072,664","1,176,576","1,121,424","1,153,849"
"6213","従業員賞与","50,000","50,000","50,000","-250,000","50,000","50,000","194,220","50,000","50,000","50,000","50,000","50,000"
"6312","法定福利費","203,658","203,687","375,282","205,735","206,542","201,420","134,164","201,508","201,440","201,463","201,171","241,762"
"6226","厚生費","6,555","5,700","15,111","12,518","17,769","24,789","56,496","5,700","5,700","11,791","5,700","5,700"
"6119","退職手当等","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","170,000","170,000","170,000","182,766","147,000","147,000","147,000","147,000","147,000","147,000","147,000","147,000"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃・リース料","677,306","677,306","677,306","677,306","677,306","677,306","1,873,287","677,306","677,306","677,306","677,306","677,306"
"6216","修繕費","0","0","0","8,600","336,855","50,000","160,000","0","28,000","15,500","0","0"
"6217","事務用消耗品費","21,413","20,685","19,350","0","27,052","19,733","4,114","50,045","14,066","4,895","15,455","8,494"
"6218","通信交通費","53,473","55,723","56,521","63,501","74,230","63,539","63,683","63,166","59,686","62,615","69,281","64,084"
