"ｺｰﾄﾞ","勘定科目名"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"
"4111","売上高","4,158,730","5,346,660","5,392,959","6,074,822","5,383,560","4,915,746","5,273,901","5,427,687","11,536,005","11,341,735","10,269,947","10,377,796"
"4112","会員券売上高","162,001","273,637","141,637","179,728","149,003","210,367","295,642","360,003","674,278","434,001","775,639","425,643"
"4113","ゴルフ用品・雑貨売上高","36,253","39,414","56,716","67,090","67,347","79,142","52,029","52,978","128,052","155,217","114,905","111,184"
"4114","手数料収入","191,077","101,151","158,014","112,055","171,820","146,738","113,744","213,248","751,002","374,837","311,655","293,451"
"4115","ポイント値引・入会金返金(△)","701,623","954,674","768,507","890,105","943,152","828,499","822,997","882,745","2,014,932","1,857,741","1,546,469","1,589,006"
,"純売上高","3,846,438","4,806,188","4,980,819","5,543,590","4,828,578","4,523,494","4,912,319","5,171,171","11,074,405","10,448,049","9,925,677","9,619,068"
"5111","期首棚卸高","331,818","0","0","0","0","0","0","301,996","0","0","0","0"
"5211","商品仕入高","5,803","75,932","32,382","57,645","39,930","59,765","28,950","41,876","81,694","20,001","131,833","27,173"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","301,996","0","0","0","0","0","0","368,101","0","0","0","0"
,"当期売上原価","35,625","75,932","32,382","57,645","39,930","59,765","28,950","-24,229","81,694","20,001","131,833","27,173"
,"売上総利益","3,810,813","4,730,256","4,948,437","5,485,945","4,788,648","4,463,729","4,883,369","5,195,400","10,992,711","10,428,048","9,793,844","9,591,895"
"6111","プロ報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6311","雑給","512,566","625,024","599,294","624,770","611,226","615,266","676,861","633,280","1,384,645","1,307,754","1,364,349","1,386,826"
"6112","旅費交通費","25,925","30,307","35,347","30,730","29,856","34,083","34,084","31,628","79,097","87,125","76,632","76,344"
"6113","広告宣伝費","169,500","270,245","196,200","171,000","171,000","261,000","169,700","577,200","300,136","289,000","401,255","328,700"
"6114","教育訓練費","0","0","0","0","0","0","0","0","0","0","0","0"
"6115","接客サービス費","294,001","121,422","131,632","195,829","254,084","262,815","271,626","127,190","777,005","377,923","551,716","345,422"
"6116","コンペ参加諸費","23,515","15,828","33,873","4,468","37,568","3,614","3,882","20,205","20,895","70,022","74,292","38,680"
"6117","プレイ器具費","0","16,220","8,930","0","142,630","0","22,497","2,250,000","51,850","163,200","42,281","220,960"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","165,000","165,000","165,000","165,000","165,000","165,000","165,000","165,000","567,000","567,000","630,000","630,000"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","社員給与","927,977","953,327","949,259","1,029,605","1,016,314","1,055,450","957,645","996,868","2,084,841","2,047,128","2,090,409","1,981,705"
