"ｺｰﾄﾞ","勘定科目名"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"
"4111","売上高","10,391,254","10,224,136","8,708,811","11,122,329","6,852,649","6,001,192","11,625,678","12,747,722","20,847,021","14,257,358","7,901,439","11,340,697"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","10,391,254","10,224,136","8,708,811","11,122,329","6,852,649","6,001,192","11,625,678","12,747,722","20,847,021","14,257,358","7,901,439","11,340,697"
"5111","期首棚卸高","9,408,139","9,061,982","9,977,405","9,908,029","9,412,805","8,888,902","7,412,680","8,884,986","7,487,709","10,716,547","11,283,050","10,416,619"
"5211","商品仕入高","3,723,373","4,728,061","3,195,955","3,697,938","1,864,709","569,216","5,493,612","2,847,939","11,615,150","5,526,627","2,109,936","3,146,127"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","9,061,982","9,977,405","9,908,029","9,412,805","8,888,902","7,412,680","8,884,986","7,487,709","10,716,547","11,283,050","10,416,619","9,476,212"
,"当期売上原価","4,069,530","3,812,638","3,265,331","4,193,162","2,388,612","2,045,438","4,021,306","4,245,216","8,386,312","4,960,124","2,976,367","4,086,534"
,"売上総利益","6,321,724","6,411,498","5,443,480","6,929,167","4,464,037","3,955,754","7,604,372","8,502,506","12,460,709","9,297,234","4,925,072","7,254,163"
"6111","給与手当","1,763,400","1,786,400","1,506,000","1,348,400","1,553,898","1,791,783","1,366,400","1,525,400","1,555,400","1,314,400","1,750,331","1,494,400"
"6311","雑給","1,884,343","1,726,453","1,540,952","2,033,878","1,718,620","1,530,806","1,690,064","1,767,571","2,549,133","2,405,980","1,579,545","1,842,923"
"6112","旅費交通費","98,590","110,223","115,325","123,834","93,748","85,383","113,647","120,321","102,855","117,804","79,882","100,291"
"6113","広告宣伝費","677,418","521,276","590,006","758,021","360,378","417,804","640,640","557,890","739,937","567,662","468,456","762,306"
"6114","販売促進費","441,408","280,989","298,398","177,748","161,071","183,646","227,082","180,289","109,983","243,419","57,469","248,975"
"6115","荷造発送費","0","0","1,500","3,700","0","0","2,200","0","0","0","2,200","2,200"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","1,387","0"
"6117","支払手数料","348,916","289,962","255,608","293,672","232,107","199,178","314,067","336,902","492,387","480,101","319,368","331,859"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
