"ｺｰﾄﾞ","勘定科目名"," 2年  4月"," 2年  5月"," 2年  6月"," 2年  7月"," 2年  8月"," 2年  9月"," 2年 10月"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"
"4111","売上高","21,536,993","15,767,152","38,164,901","35,713,555","39,938,121","192,305,298","32,266,880","42,008,799","46,643,029","44,767,135","42,904,163","56,381,464"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","-160,707,027","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","21,536,993","15,767,152","38,164,901","35,713,555","39,938,121","31,598,271","32,266,880","42,008,799","46,643,029","44,767,135","42,904,163","56,381,464"
"5111","期首たな卸高","3,047,902","2,874,067","2,771,725","2,656,833","2,983,595","2,649,533","2,670,585","3,014,039","3,086,309","3,234,192","3,024,863","2,793,451"
"5211","商品仕入高","0","0","2,296","0","3,379","0","184,100","47,047","12,278","150,000","0","0"
"5212","通信商品仕入高","10,532,354","6,462,156","24,213,392","21,441,160","25,283,066","20,721,701","20,716,080","29,272,919","33,081,530","30,701,956","28,661,404","40,796,338"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","2,874,067","2,771,725","2,656,833","2,983,595","2,649,533","2,670,585","3,014,039","3,086,309","3,234,192","3,024,863","2,793,451","2,128,653"
,"当期売上原価","10,706,189","6,564,498","24,330,580","21,114,398","25,620,507","20,700,649","20,556,726","29,247,696","32,945,925","31,061,285","28,892,816","41,461,136"
,"売上総利益","10,830,804","9,202,654","13,834,321","14,599,157","14,317,614","10,897,622","11,710,154","12,761,103","13,697,104","13,705,850","14,011,347","14,920,328"
"6111","給与手当","2,541,453","2,359,652","3,029,134","3,326,866","3,472,109","3,917,621","4,179,515","4,268,666","4,357,803","4,378,497","4,231,464","4,550,091"
"6311","雑給","172,055","115,527","126,750","238,400","221,000","320,175","340,950","288,600","324,000","263,250","297,450","337,650"
"6112","旅費交通費","15,305","12,547","30,318","50,445","38,968","65,039","82,373","84,307","88,830","77,412","95,976","63,970"
"6113","広告宣伝費","87,627","51,273","147,982","39,346","51,273","231,618","173,232","58,955","53,545","62,614","301,727","535,400"
"6114","販売促進費","20,600","5,000","5,000","5,000","5,000","5,000","42,512","5,035","68,110","5,000","5,000","465,811"
"6115","荷造発送費","1,464","0","0","0","0","0","0","0","0","0","0","0"
