"ｺｰﾄﾞ","勘定科目名"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"
"4111","売上高","5,273,901","5,427,687","11,536,005","11,341,735","10,269,947","10,377,796","9,851,754","10,993,868","11,007,634","12,023,268","10,030,533","10,048,354"
"4112","会員券売上高","295,642","360,003","674,278","434,001","775,639","425,643","414,276","537,277","574,637","502,732","401,277","475,917"
"4113","ゴルフ用品・雑貨売上高","52,029","52,978","128,052","155,217","114,905","111,184","109,069","158,501","146,048","131,583","113,341","166,417"
"4114","手数料収入","113,744","213,248","751,002","374,837","311,655","293,451","289,021","368,557","350,789","769,445","417,778","360,943"
"4115","ポイント値引・入会金返金(△)","822,997","882,745","2,014,932","1,857,741","1,546,469","1,589,006","1,402,665","1,607,518","1,504,798","1,563,227","1,309,097","1,408,718"
,"純売上高","4,912,319","5,171,171","11,074,405","10,448,049","9,925,677","9,619,068","9,261,455","10,450,685","10,574,310","11,863,801","9,653,832","9,642,913"
"5111","期首棚卸高","0","301,996","0","0","0","0","0","0","0","0","0","0"
"5211","商品仕入高","28,950","41,876","81,694","20,001","131,833","27,173","173,881","36,246","53,147","12,187","85,607","200,671"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","368,101","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","28,950","-24,229","81,694","20,001","131,833","27,173","173,881","36,246","53,147","12,187","85,607","200,671"
,"売上総利益","4,883,369","5,195,400","10,992,711","10,428,048","9,793,844","9,591,895","9,087,574","10,414,439","10,521,163","11,851,614","9,568,225","9,442,242"
"6111","プロ報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6311","雑給","676,861","633,280","1,384,645","1,307,754","1,364,349","1,386,826","1,213,963","1,317,769","1,258,620","1,377,879","1,274,449","1,424,316"
"6112","旅費交通費","34,084","31,628","79,097","87,125","76,632","76,344","68,586","87,983","85,575","77,166","74,316","80,325"
"6113","広告宣伝費","169,700","577,200","300,136","289,000","401,255","328,700","300,200","423,745","500,700","367,745","303,400","466,200"
"6114","教育訓練費","0","0","0","0","0","0","0","0","0","0","0","0"
"6115","接客サービス費","271,626","127,190","777,005","377,923","551,716","345,422","579,313","386,198","508,193","712,138","327,085","375,462"
"6116","コンペ参加諸費","3,882","20,205","20,895","70,022","74,292","38,680","37,776","69,017","65,751","20,045","92,634","42,136"
"6117","プレイ器具費","22,497","2,250,000","51,850","163,200","42,281","220,960","18,991","5,000","48,364","39,200","293,250","673,804"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","165,000","165,000","567,000","567,000","630,000","630,000","630,000","630,000","630,000","630,000","630,000","630,000"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","社員給与","957,645","996,868","2,084,841","2,047,128","2,090,409","1,981,705","1,997,236","2,127,272","2,060,205","2,288,723","2,038,752","2,274,245"
"6213","従業員賞与","89,000","88,000","188,000","158,560","188,000","188,000","188,000","188,000","188,000","188,000","-338,813","188,000"
"6312","法定福利費","153,722","610,098","461,289","437,961","-30,567","320,137","320,453","320,282","318,959","319,013","232,169","771,350"
"6226","厚生費","4,282","29,314","22,079","25,000","72,684","13,059","9,380","32,019","9,380","9,380","9,380","9,380"
"6119","退職手当等","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","433,000","442,665","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃・リース料","21,820","5,455","682,761","682,761","1,699,546","664,372","664,372","769,950","664,372","1,526,355","664,372","664,372"
"6216","修繕費","55,000","50,000","437,530","74,000","169,960","180,230","124,000","697,530","36,230","261,030","183,182","710,390"
"6217","事務用消耗品費","10,355","18,074","72,427","35,290","34,503","39,055","36,885","37,573","14,693","37,317","68,985","44,555"
"6218","通信交通費","13,902","12,708","47,775","29,335","37,697","39,980","42,819","39,349","51,695","33,818","32,086","39,195"
"6219","水道光熱費","115,698","110,277","266,375","307,408","260,434","443,023","438,116","544,178","405,177","369,194","268,484","302,507"
"6221","租税公課","114,000","97,600","3,000","71,000","117,600","0","185,000","35,600","9,420","216,900","0","0"
"6222","会議費","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","5,111","0","0","0","1,900","12,446","0","5,957"
"6224","保険料","-18,000","393,190","60,700","67,760","96,610","114,460","48,430","20,010","54,675","0","0","0"
"6225","備品消耗品費","105,721","34,860","65,275","36,097","117,364","97,170","112,477","99,790","55,794","51,496","789,848","453,382"
"6227","管理諸費","215,735","105,800","147,600","998,600","489,372","172,800","289,020","91,800","91,800","191,800","91,800","91,800"
"6228","寄附金","0","20,000","4,545","0","0","5,455","0","20,000","1,000","5,000","0","5,000"
"6229","その他の一般管理費","33,000","16,500","15,500","48,500","15,500","48,500","32,000","32,000","15,500","48,500","32,000","15,500"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","3,613","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","31,786","45,129","110,291","98,883","78,339","112,374","90,127","104,436","115,062","141,912","105,072","132,419"
,"販売費及び一般管理費計","3,680,316","6,884,654","8,350,616","8,480,307","9,083,087","7,947,252","7,927,144","8,579,501","7,691,065","9,425,057","7,672,451","9,900,295"
