"ｺｰﾄﾞ","勘定科目名","30年  2月","30年  3月","30年  4月","30年  5月","30年  6月","30年  7月","30年  8月","30年  9月","30年 10月","30年 11月","30年 12月","31年  1月"
"4111","売上高","15,008,976","21,540,608","17,842,429","16,622,478","18,387,290","19,457,463","18,747,022","17,645,993","19,376,285","18,770,506","24,507,360","18,280,840"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","15,008,976","21,540,608","17,842,429","16,622,478","18,387,290","19,457,463","18,747,022","17,645,993","19,376,285","18,770,506","24,507,360","18,280,840"
"5111","期首たな卸高","1,337,708","1,690,893","1,658,064","1,626,734","1,320,228","1,489,296","1,273,137","1,331,655","1,335,123","896,044","1,203,937","2,584,651"
"5211","商品仕入高","6,156,390","7,777,186","6,304,409","5,492,443","6,625,321","6,873,020","6,739,164","6,496,516","6,573,858","7,148,592","10,150,361","5,281,268"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","1,690,893","1,658,064","1,626,734","1,320,228","1,489,296","1,273,137","1,331,655","1,335,123","896,044","1,203,937","2,584,651","1,179,364"
,"当期売上原価","5,803,205","7,810,015","6,335,739","5,798,949","6,456,253","7,089,179","6,680,646","6,493,048","7,012,937","6,840,699","8,769,647","6,686,555"
,"売上総利益","9,205,771","13,730,593","11,506,690","10,823,529","11,931,037","12,368,284","12,066,376","11,152,945","12,363,348","11,929,807","15,737,713","11,594,285"
"6111","給与手当","1,270,900","1,170,091","1,278,464","1,394,852","1,426,683","1,424,017","1,487,596","1,307,639","1,018,912","1,086,349","1,222,035","1,046,760"
"6311","雑給","2,673,455","3,185,499","2,680,032","2,677,709","2,661,320","2,833,530","2,921,028","2,961,220","3,142,851","3,166,870","3,368,728","2,899,703"
"6112","旅費交通費","91,499","104,154","101,614","110,852","94,454","113,065","114,857","108,898","97,381","102,420","126,435","155,228"
"6113","広告宣伝費","1,156,397","1,297,251","905,113","919,626","973,221","1,156,153","875,930","1,107,447","1,239,955","1,167,225","1,310,557","1,048,418"
"6114","販売促進費","98,092","76,400","53,815","28,091","100,013","49,937","38,895","20,586","86,542","72,521","51,904","54,147"
"6115","荷造発送費","4,740","2,700","3,300","1,500","2,700","2,800","3,401","6,900","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","361,747","414,914","445,131","381,512","396,316","462,225","449,517","446,828","448,275","394,303","472,593","483,604"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","100,000","100,000","100,000","100,000","80,320","100,000","100,000","100,000","0","0","232,645","54,000"
"6312","法定福利費","241,457","241,457","216,194","247,071","306,601","275,935","275,935","289,689","248,193","248,193","295,913","248,193"
"6226","厚生費","186,515","113,350","213,866","72,945","234,637","311,124","353,179","257,560","179,202","168,600","88,415","294,074"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","206,338","206,338","206,338","206,338","206,338","206,338","206,338","63,374","192,762","192,762","192,762","192,762"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","816,000","817,185","814,815","816,000","817,185","816,000","816,000","816,000","816,000","816,000","816,000","816,000"
"6216","修繕／車両関係費","74,000","212,000","304,569","141,481","157,018","212,361","159,482","183,796","187,222","259,241","251,445","85,740"
"6217","事務用消耗品費","0","1,437","1,554","0","0","0","2,315","0","0","29,000","0","0"
"6218","通信交通費","20,511","15,654","21,812","23,737","20,101","23,325","20,364","22,217","19,611","21,606","18,319","20,581"
"6219","水道光熱費","399,923","936,485","502,988","643,096","461,894","663,631","639,126","841,567","532,413","654,052","528,857","827,224"
"6221","租税公課","4,000","6,000","8,000","4,000","8,000","5,000","12,000","4,000","7,000","4,000","8,000","5,000"
"6222","寄付金","0","0","0","0","0","0","0","0","0","5,000","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","29,120","29,120","29,120","29,120","29,120","29,120","29,120","29,120","31,581","29,120","29,120","29,120"
"6225","備品消耗品費","560,743","472,383","419,631","455,378","414,910","441,466","360,376","370,164","669,072","580,212","869,507","560,166"
"6227","管理諸費","288,109","260,236","286,953","333,865","253,781","458,078","282,826","348,393","194,309","226,595","771,313","158,906"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","1,000","0","38,000","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","8,583,546","9,662,654","8,593,309","8,587,173","8,644,612","9,584,105","9,149,285","9,285,398","9,149,281","9,224,069","10,654,548","8,979,626"
,"営業利益（損失）","622,225","4,067,939","2,913,381","2,236,356","3,286,425","2,784,179","2,917,091","1,867,547","3,214,067","2,705,738","5,083,165","2,614,659"
"7111","受取利息","28","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","28","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","500","0","0","0","0","0","-100"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","200,000","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","500","0","200,000","0","0","0","-100"
,"経常利益（損失）","622,253","4,067,939","2,913,381","2,236,356","3,286,425","2,783,679","2,917,091","1,667,547","3,214,067","2,705,738","5,083,165","2,614,759"
