"ｺｰﾄﾞ","勘定科目名"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"
"4111","売上高","20,380,086","24,697,591","18,623,377","21,475,026","18,918,259","25,156,423","24,755,013","17,889,310","25,295,952","19,576,335","20,684,037","17,891,565"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","20,380,086","24,697,591","18,623,377","21,475,026","18,918,259","25,156,423","24,755,013","17,889,310","25,295,952","19,576,335","20,684,037","17,891,565"
"5111","期首棚卸高","2,506,450","1,801,272","1,830,915","2,587,032","1,873,257","1,698,853","7,193,273","2,655,422","2,518,760","2,878,998","2,559,081","2,215,959"
"5211","商品仕入高","7,955,404","10,787,811","8,876,709","8,886,131","8,431,673","16,442,472","7,138,160","8,088,574","12,403,012","8,498,972","9,043,255","8,598,930"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","1,801,272","1,830,915","2,587,032","1,873,257","1,698,853","7,193,273","2,655,422","2,518,760","2,878,998","2,559,081","2,215,959","2,673,624"
,"当期売上原価","8,660,582","10,758,168","8,120,592","9,599,906","8,606,077","10,948,052","11,676,011","8,225,236","12,042,774","8,818,889","9,386,377","8,141,265"
,"売上総利益","11,719,504","13,939,423","10,502,785","11,875,120","10,312,182","14,208,371","13,079,002","9,664,074","13,253,178","10,757,446","11,297,660","9,750,300"
"6111","給与手当","910,500","1,116,500","1,352,500","783,500","783,500","979,000","829,500","872,650","832,000","803,500","807,400","1,071,900"
"6311","雑給","3,215,474","3,394,183","3,049,030","3,731,851","3,037,146","3,695,947","3,428,560","2,816,778","3,773,475","3,005,688","3,222,098","2,764,835"
"6112","旅費交通費","78,263","91,580","67,215","81,882","79,221","76,436","76,020","73,926","83,683","78,565","84,856","69,502"
"6113","広告宣伝費","880,174","969,811","659,907","1,309,276","842,986","912,845","1,228,550","814,603","1,150,676","605,010","727,139","974,718"
"6114","販売促進費","71,377","121,283","76,638","86,410","119,154","119,067","86,211","98,153","103,038","89,528","102,243","97,522"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","42,809","58,023","73,543","10,797","38,309","44,739","114,957","0"
"6117","支払手数料","599,070","789,779","758,398","771,345","665,547","806,322","780,391","617,828","803,316","835,412","707,302","686,621"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","86,750","86,750","86,750","57,833","57,833","-259,167","57,833","57,833","57,833","57,833","57,833","57,833"
"6312","法定福利費","303,372","303,372","378,909","362,079","314,394","332,208","283,539","321,929","283,539","339,451","339,461","432,953"
"6226","厚生費","167,896","109,716","132,232","230,055","81,914","100,075","121,430","53,004","45,439","163,302","132,721","307,375"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","362,054","362,054","594,819","387,192","387,192","387,192","387,192","387,192","387,192","387,192","387,192","387,192"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","549,067","549,067","549,067","765,067","765,067","765,067","765,067","765,067","765,067","765,067","765,067","765,067"
"6216","修繕／車両関係費","49,450","518,260","405,950","0","90,000","400","174,345","727","0","44,678","224,500","60,500"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","100","0","0"
"6218","通信交通費","23,866","29,357","27,908","25,543","27,847","21,568","31,687","25,354","27,703","21,458","31,551","25,372"
"6219","水道光熱費","786,433","1,189,306","1,290,359","1,006,951","1,004,081","729,310","1,021,426","976,776","867,076","682,808","908,718","704,168"
"6221","租税公課","0","0","1,000","1,000","1,000","2,000","1,000","2,000","5,000","1,000","1,000","1,000"
"6222","寄付金","0","6,666","0","3,000","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","78,568","78,568","78,614","78,568","78,568","78,568","78,568","78,568","78,568","78,568","78,568","78,568"
"6225","備品消耗品費","654,968","718,298","1,408,970","446,916","706,085","780,568","634,438","523,933","907,092","598,332","520,678","552,284"
"6227","管理諸費","489,775","293,075","260,074","303,954","264,124","284,448","590,075","272,530","257,982","281,975","248,975","297,435"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","50,000","0","0","0","0","0","20,000","0","0","0","14,000","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
