"ｺｰﾄﾞ","勘定科目名"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"," 6年  4月"," 6年  5月"," 6年  6月"," 6年  7月"," 6年  8月"
"4111","売上高","0","11,633,230","11,211,758","13,165,133","14,267,077","10,979,214","14,516,281","10,834,558","12,206,117","11,471,421","12,175,711","15,533,384"
"4112",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4114",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","-30","0"
,"純売上高","0","11,633,230","11,211,758","13,165,133","14,267,077","10,979,214","14,516,281","10,834,558","12,206,117","11,471,421","12,175,741","15,533,384"
"5111","期首棚卸高","0","711,700","771,700","755,500","876,900","685,500","554,600","556,491","735,002","779,371","426,840","623,068"
"5311","期末棚卸高        (△)","0","771,700","755,500","876,900","685,500","554,600","556,491","735,002","779,371","426,840","623,068","596,320"
"5211","商品仕入高","0","4,939,341","4,763,291","5,833,374","5,643,467","4,710,769","6,370,533","4,713,001","5,231,755","4,687,166","5,246,466","6,253,847"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","4,879,341","4,779,491","5,711,974","5,834,867","4,841,669","6,368,642","4,534,490","5,187,386","5,039,697","5,050,238","6,280,595"
,"売上総利益","0","6,753,889","6,432,267","7,453,159","8,432,210","6,137,545","8,147,639","6,300,068","7,018,731","6,431,724","7,125,503","9,252,789"
"6111","給与手当","0","783,400","788,600","788,600","778,600","728,600","688,600","499,239","318,500","573,500","485,500","547,375"
"6311","雑給","0","1,659,798","1,765,110","1,985,288","1,984,201","1,719,298","2,013,214","1,768,670","1,824,987","1,664,194","1,719,846","1,945,671"
"6112","旅費交通費","0","45,860","47,283","50,961","45,507","39,568","46,415","40,353","40,339","45,892","37,964","53,693"
"6113","広告宣伝費","0","42,968","28,572","77,156","77,056","18,410","79,761","36,729","64,860","59,104","40,065","36,766"
"6114","販売促進費","0","0","3,671","7,483","2,360","114,471","0","2,825","0","7,148","6,994","0"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","40,200","36,000","60,000","60,400","40,000","44,000","4,000","5,500","0","0","8,000"
"6117","支払手数料","0","1,349,245","1,212,133","1,912,524","1,927,597","1,289,935","1,773,692","1,293,605","1,527,320","1,352,370","1,459,094","1,846,538"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","49,000","49,000","-7,360","49,000","49,000","49,000","49,000","49,000","-6,156","49,000","49,000"
"6312","法定福利費","0","318,756","350,577","316,663","274,484","299,729","299,729","246,267","199,820","250,097","233,072","232,804"
"6226","厚生費","0","145,230","13,182","84,002","0","84,418","11,955","52,158","50,539","50,490","14,187","17,947"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","447,834","447,834","447,834","447,834","447,834","447,834","447,834","447,834","447,834","447,834","447,834"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","1,163,323","1,163,175","1,358,695","1,468,707","1,097,920","1,451,628","1,083,455","1,220,610","1,147,141","1,217,574","1,553,338"
"6216","修繕／車両関係費","0","0","0","0","0","0","0","103,500","0","0","0","0"
"6217","事務用消耗品費","0","355","0","0","547","0","0","2,100","100","5,593","0","448"
