"ｺｰﾄﾞ","勘定科目名"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"
"4111","売上高","3,836,786","3,299,065","3,259,797","3,748,667","4,214,569","899,291","0","3,956,221","4,095,655","5,366,974","3,011,446","2,025,655"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","3,836,786","3,299,065","3,259,797","3,748,667","4,214,569","899,291","0","3,956,221","4,095,655","5,366,974","3,011,446","2,025,655"
"5111","期首棚卸高","257,221","315,369","315,369","270,935","263,331","263,331","263,331","263,331","206,045","278,552","398,267","398,267"
"5211","商品仕入高","1,229,482","1,153,179","1,053,550","1,253,634","1,434,892","348,283","71,628","1,441,282","1,661,339","2,004,057","1,092,755","749,368"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","315,369","315,369","270,935","263,331","263,331","263,331","263,331","206,045","278,552","398,267","398,267","398,267"
,"当期売上原価","1,171,334","1,153,179","1,097,984","1,261,238","1,434,892","348,283","71,628","1,498,568","1,588,832","1,884,342","1,092,755","749,368"
,"売上総利益","2,665,452","2,145,886","2,161,813","2,487,429","2,779,677","551,008","-71,628","2,457,653","2,506,823","3,482,632","1,918,691","1,276,287"
"6111","給与手当","480,000","480,000","486,000","486,000","496,000","416,176","393,800","488,000","490,000","510,000","445,000","485,571"
"6311","雑給","512,237","512,310","463,133","512,773","555,990","449,622","417,460","500,469","565,273","628,914","484,663","464,730"
"6112","旅費交通費","200,591","-134,368","27,381","20,500","21,111","10,272","2,386","24,982","18,499","38,181","26,334","20,280"
"6113","広告宣伝費","105,982","58,873","77,917","74,924","61,883","73,302","80,330","54,466","69,848","83,609","90,194","59,627"
