"ｺｰﾄﾞ","勘定科目名","31年  3月","31年  4月"," 1年  5月"," 1年  6月"," 1年  7月"," 1年  8月"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"," 2年  1月"," 2年  2月"
"4111","売上高","19,132,354","15,483,282","15,286,864","14,238,336","15,326,011","16,381,088","13,673,008","13,652,622","15,609,475","18,666,253","16,276,620","14,159,774"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","19,132,354","15,483,282","15,286,864","14,238,336","15,326,011","16,381,088","13,673,008","13,652,622","15,609,475","18,666,253","16,276,620","14,159,774"
"5111","期首たな卸高","882,248","1,077,958","1,151,904","1,335,431","1,222,652","1,075,991","1,389,519","1,039,448","1,083,254","1,043,760","1,901,582","1,129,592"
"5211","商品仕入高","6,704,805","5,489,728","5,571,852","4,569,003","5,368,638","5,878,279","4,658,251","4,607,640","5,762,268","7,705,684","4,997,810","4,976,543"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","1,077,958","1,151,904","1,335,431","1,222,652","1,075,991","1,389,519","1,039,448","1,083,254","1,043,760","1,901,582","1,129,592","1,055,837"
,"当期売上原価","6,509,095","5,415,782","5,388,325","4,681,782","5,515,299","5,564,751","5,008,322","4,563,834","5,801,762","6,847,862","5,769,800","5,050,298"
,"売上総利益","12,623,259","10,067,500","9,898,539","9,556,554","9,810,712","10,816,337","8,664,686","9,088,788","9,807,713","11,818,391","10,506,820","9,109,476"
"6111","給与手当","1,100,759","1,110,802","1,244,282","1,211,133","1,201,116","1,079,804","991,593","1,063,564","1,079,064","1,049,159","992,500","1,025,500"
