ｺｰﾄﾞ,勘定科目名, 3年  10月, 3年  11月, 3年  12月, 4年 1月, 4年 2月, 4年 3月, 4年 4月, 4年 5月, 4年 6月, 4年 7月, 4年 8月, 4年 9月,合計
4111,売上高,"12,000,000","13,000,000","14,000,000","12,500,000","12,000,000","14,500,000","13,000,000","14,500,000","13,000,000","14,000,000","14,300,000","13,300,000","160,100,000"
4112,賃貸料収入,,,,,,,,,,,,,0
4113,ＬＬＰ収益,,,,,,,,,,,,,0
4114,通信売上高,,,,,,,,,,,,,0
4115,売上値引戻り高    (△),,,,,,,,,,,,,0
,純売上高,"12,000,000","13,000,000","14,000,000","12,500,000","12,000,000","14,500,000","13,000,000","14,500,000","13,000,000","14,000,000","14,300,000","13,300,000","160,100,000"
5111,期首たな卸高,"500,000","500,000","500,000","700,000","500,000","500,000","500,000","700,000","500,000","500,000","500,000","500,000","500,000"
5211,商品仕入高,"4,800,000","5,200,000","5,600,000","5,000,000","4,800,000","5,800,000","5,200,000","5,800,000","5,200,000","5,600,000","5,720,000","5,320,000","64,040,000"
5212,通信商品仕入高,,,,,,,,,,,,,0
5215,ｺﾐｯｼｮﾝ清掃代,,,,,,,,,,,,,0
5216,ＬＬＰ原価,,,,,,,,,,,,,0
5213,仕入値引戻し高    (△),,,,,,,,,,,,,0
5273,他勘定振替高      (△),,,,,,,,,,,,,0
5311,期末たな卸高      (△),"500,000","500,000","700,000","500,000","500,000","500,000","700,000","500,000","500,000","500,000","500,000","500,000","500,000"
,当期売上原価,"4,800,000","5,200,000","5,400,000","5,200,000","4,800,000","5,800,000","5,000,000","6,000,000","5,200,000","5,600,000","5,720,000","5,320,000","64,040,000"
,売上総利益,"7,200,000","7,800,000","8,600,000","7,300,000","7,200,000","8,700,000","8,000,000","8,500,000","7,800,000","8,400,000","8,580,000","7,980,000","96,060,000"
6111,給与手当,"900,000","900,000","900,000","900,000","900,000","900,000","900,000","900,000","900,000","900,000","900,000","900,000","10,800,000"
6311,雑給,"1,500,000","1,700,000","1,800,000","1,600,000","1,500,000","1,900,000","1,700,000","1,900,000","1,700,000","1,800,000","1,850,000","1,760,000","20,710,000"
6112,旅費交通費,"65,000","65,000","70,000","65,000","65,000","70,000","65,000","70,000","65,000","70,000","70,000","65,000","805,000"
6113,広告宣伝費,"200,000","80,000","90,000","200,000","70,000","90,000","200,000","80,000","70,000","200,000","100,000","60,000","1,440,000"
6114,販売促進費,"40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","480,000"
6115,荷造発送費,0,0,0,0,0,0,0,0,0,0,0,0,0
6116,外注費,0,0,0,0,0,0,0,0,0,0,0,0,0
6117,支払手数料,"1,152,000","1,248,000","1,344,000","1,200,000","1,152,000","1,392,000","1,248,000","1,392,000","1,248,000","1,344,000","1,372,800","1,276,800","15,369,600"
6118,,,,,,,,,,,,,,0
6211,役員報酬,0,0,0,0,0,0,0,0,0,0,,,0
6232,,0,0,0,0,0,0,0,0,0,0,,,0
6212,事務員給与,0,0,0,0,0,0,0,0,0,0,,,0
6213,従業員賞与,0,0,0,0,0,0,0,0,0,0,0,0,0
6312,法定福利費,"243,351","243,351","243,351","243,351","243,351","243,351","243,351","243,351","243,351","243,351","243,351","243,351","2,920,212"
6226,厚生費,"40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","480,000"
6119,退職金,0,0,0,0,0,0,0,0,0,0,,,0
6214,減価償却費,"618,944","618,944","618,944","618,944","618,944","618,944","618,944","618,944","618,944","618,944","618,944","618,944","7,427,328"
6234,,,,,,,,,,,,,,0
6215,地代家賃,"1,321,200","1,431,300","1,541,400","1,376,250","1,321,200","1,596,450","1,431,300","1,596,450","1,431,300","1,541,400","1,574,430","1,464,330","17,627,010"
6216,修繕／車両関係費,0,0,0,0,0,0,0,0,0,0,0,0,0
6217,事務用消耗品費,"3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","36,000"
6218,通信交通費,909,909,909,909,909,909,909,909,909,909,909,909,"10,908"
6219,水道光熱費,"348,000","377,000","406,000","362,500","348,000","420,500","377,000","420,500","377,000","406,000","414,700","385,700","4,642,900"
6221,租税公課,0,0,0,,0,0,0,0,0,0,,,0
6222,寄付金,0,0,0,0,0,0,0,0,0,0,,,0
6223,接待交際費,,,,,,,,,,,,,0
6224,保険料,"25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","300,000"
6225,備品消耗品費,"312,000","338,000","364,000","325,000","312,000","377,000","338,000","377,000","338,000","364,000","371,800","345,800","4,162,600"
6227,管理諸費,"10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","120,000"
6228,リース／レンタル料,0,0,0,0,0,0,0,0,0,0,0,0,0
6229,諸会費,0,0,0,0,0,0,0,0,0,0,0,0,0
6313,,0,0,0,0,0,0,0,0,0,0,0,0,0
6233,,0,0,0,0,0,0,0,0,0,0,0,0,0
6314,貸倒償却,0,0,0,0,0,0,0,0,0,0,0,0,0
6231,雑費,,,,,,,0,0,0,0,0,0,0
,販売費及び一般管理費計,"6,779,404","7,120,504","7,496,604","7,009,954","6,649,404","7,727,154","7,240,504","7,717,154","7,110,504","7,606,604","7,634,934","7,238,834","87,331,558"
